40:28:001:1	Pen . xxviij .
40:28:002:1	Cynodiat Christ . Broder Christ . Yr Archoffeiriait yn gobrio ’r
40:28:003:1	*
40:28:004:1	savvdwyr
40:28:005:1	milmyr . Christ yn ymddangos yw ddiscipulon , ac yn ei danfon ymaith i precethy , ac i vatyddio , Gan addaw yddyn borth ’oystadol .
40:28:001:0	YNo yn‐diweð y sabbath , a’r dydd centaf o’r wythnos yn dechrae gwawrio , y daeth Mair Magdalē a’r Vair arall i edrych y beð .
40:28:002:0	A’ nycha , y bu dayar‐gryn mawr : can ys descendodd Angel yr Aaglwydd o’r nef , a’ dyvot a’ threiglo y llech y wrth y drws , ac eistedd arnei .
40:28:003:0	A’ ei ðrych oedd val mellten , a’ ei wisc yn wen val eiry .
40:28:004:0	A’ rac y ofn ef yd echrynawdd y ceidweid , ac aethon val yn veirw .
40:28:005:0	A’r Angel y atepawdd ac a ddyvot wrth y gwragedd , Nac ofnwch : canys gwn mai caisio ydd ych yr Iesu yr hwn a grogwyt :
40:28:006:0	nyd ef yman , can ys cyfodawddd , megis y dyvot : dewch , gwelwch y van lle y doded yr Arglwydd ,
40:28:007:0	ac ewch a’r ffrwst , a’ dywedwch y’w ddiscipulon gyfody o hanaw o veirw : a’ nycha ef yn ych racvlaeny i Galilea : yno y gwelwch ef : nycha ys dywedais y’wch .
40:28:008:0	Yno yð aethant yn ebrwyð o’r vonwent gan ofn a’ llawenydd mawr , ac a redasan i venegy y’w ðiscipulon .
40:28:009:0	Ac a ’n hwy yn myned y venegy y’w ðiscipulon ef , a’ nycha ’r Iesu yn cyhwrdd ac wynt , gan ddywedyt , Dyw ich cadw .
40:28:010:0	Ac wy a ddaethant , ac a ymavlesont yn ei draet , ac ei addolesont . Yno y dyvot yr Iesu wrthwynt , Nac ofnwch . Ewch , a’ dywedwch im broder yn yd elont i Galilaea , yno y gwelant vi .
40:28:011:0	A’ gwedy y myned hwy , nycha y daeth yr ei o’r wiliadwriaeth i’r dinas , ac venegesont i’r Archoffeiriait , yr oll a’r wnethesit .
40:28:012:0	Ac wy a yngynullesont y gyd a’r Henyddion , ac a ymgyggoresōt , ac a roeson arian lawer ir milwyr ,
40:28:013:0	gan ddywedyt , Dywedwch , E ddaeth ei ddlscipulon o hyd nos , ac y lladratesont ef a ni yn cyscu .
40:28:014:0	Ac a chlyw y llywiawdr hyn , ni a ei dygwn ef i gredy , ac ach cadwn chwi yn ddigollet .
40:28:015:0	Ac wy a gymeresont yr ariantae , ac a wnaethant val yr addyscwyt wy : ac y gyhoeddwyt y gair hwn ym‐plith yr Inðaeon yd y dydd heddyvv .
40:28:016:0	Yno yr aeth yr vn discipul ar ddec i Galilaea , i’r mynyth lle y gosodesei’r Iesu yddwynt .
40:28:017:0	A’ phan welsant ef , yr addolasont ef : a’r ei a betrusesant .
40:28:018:0	A’r Iesu a ddaeth , ac a ymadroddawdd wrthwyn , gan ddywedyt , E roed i mi oll awturtot yn y nef ac yn ddaiar .
40:28:019:0	Ewch gan hyny , a’ dyscwch yr oll genetloedd , gan ei batyddio hwy yn Enw y Tad , a’r Map , a’r Yspryt glan ,
40:28:020:0	gan ddyscy yddwynt gadw bop peth a’r a ’orchymynais y chwy : a’ nycha , ydd wyf vi gyd a chwychvvi yn ’oystat yd diweð y byt . Amen . G . j .
