40:25:001:1	Pen . xxv .
40:25:002:1	Wrth gyffelypwriaeth y moryniō hyn y mae ’r Iesu yn discy i bawp wiliaw . Ac wrth y talentae am vot yn ddiyscaelus . Y vrawdd ddiwethaf . Y Deueit , a’r ceifr . Gwethredoedd y ffyddlonion .
40:25:001:0	YNo y cyffelypir teyrnas nefoedd i ðeic gwyryf , yr ei a gymeresont ei llugyrn , ac aethant i gyfarvot a’r gvvr‐priawd ,
40:25:002:0	A’ phemp o hanynt oedd yn bruddion , a’ phemp yn ynvydion .
40:25:003:0	Yr ei ynfydion a gymeresont ei llugyrn , ac ny chymeresont oleo y gyd ac wynt .
40:25:004:0	A’r ei pruddion a gymersant oleo yn ei llestri y gyd a ei llucern .
40:25:005:0	Ac a’r priawd yn gohirio , yr hepiawdd ac yr hunawdd pavvp oll .
40:25:006:0	Ac am haner nos y bu gawri , Nycha y priod yn dyvot : ewch allan y gyhwrdd ac ef .
40:25:007:0	Yno y cyfodawdd yr oll weryfon ac a addurnasont ei llugyrn .
40:25:008:0	A’r ei ynfydion a ddywedesont wrth y pruddion , Rowch i ni o’ch oleo chvvi , can ys diffoddawdd eyn llucern ni .
40:25:009:0	A’r ei pruddiou a atepesant , gan ddywedyt , Rac na bo digon i ni ac y chwithe : ewch yn hytrach at yr ei ’r ’sy yn gwerthy , a’ phrynwch y chwi ych hunain .
40:25:010:0	A’ thra oedent yn myned i bryny , y daeth y priawd : a’r ei oedd yn parat , aethon i mywn y gyd ac ef i’r priodas , ac a gaywyt y porth .
40:25:011:0	Gwedy hyny y daeth y gweryfon ereill , gan ddywedyt , Arglwydd , Arglwydd , agor y ni .
40:25:012:0	Ac ef a atepawdd ac a ddyvot , Yn wir y dywedaf ywch’ , nid adwaen i ddim o hanoch .
40:25:013:0	Gwiliwch am hyny : can na wyddoch na ’r dydd na ’r awr y daw Map y dyn .
40:25:014:0	Can ys teyrnas nefoedd ys y val dyu yn myned‐i‐wlad‐bell , a alwei ei weision , ac a roes ei dda attwynt .
40:25:015:0	Ac i vn y rhoddes bemp talent , ae i arall ddwy , ac i arall vn , i bop vn erwyð ei ’rym , ac yn y van yddaeth o y gartref .
