40:2:001:1	Pen ij .
40:2:002:1	¶ Yr amser , ar lle y ganed Christ . Y Dewinion yn anrhegy Christ . Ef yn ciliaw ir Aipht . Difa yr ei bychein . Ioseph yn ymchwelyt i Galilea .
40:2:001:0	YNo pan anet yr Iesu ym Beth‐lehem dinas yn Iudeah , yn‐diddiae Herod Vrenhin , nycha , Doethion a ddeuthant or Dwyrain i Gaerusalem ,
40:2:002:0	can ddywedyt , P’le mae Brenhin yr Iuddeon y aned ? can ys gwelsam y seren ef yn y Dwyrain , a’ daetham y addoly ef .
40:2:003:0	Pan glywodd Herod vrenhin hyn , e gyffroes a’ chwbl o Gaerusalem gyd ac ef .
40:2:004:0	Ac ef a alwodd ynghyt yr oll archoffeiriait , ac yscrivenyddion y popul , ac a ymovynodd ac wynt p’le y genit Christ .
40:2:005:0	Ac wynt a ddywedysont wrthaw , Ym Beth‐lem yn gvvlad Iudeah : can ys val hyn y mae yn escrivenedic trwy’r Prophwyt ,
40:2:006:0	Tithae Beth‐lem yn tir Iudah nid y lleiaf wyt ymplith Tywysogion Iudah : can ys o hanat ti y daw y tywysawc a byrth vy‐popul Israel .
40:2:007:0	Yno Herod yn gyfrinachol a alwodd y Doethion , ac a ymofynawdd yn ddiyscaelus pa amser yr ymddangosesei y seren ,
40:2:008:0	ac ef y danvones wynt i Veth‐lehem , can ddywedyt , Ewch , ac ymovynwch yn ddiyscaelus am y map‐bychan , a gwedy ychwi y gaffael ef , manegwch i mi drachefyn , mal y gallwyf vinae ddyvot a’i addoli ef .
40:2:009:0	A’ gwedy yddynt glywet y Brenhin , wy a ymadawsont : a’nycha , y seren yr hon a welsent yn y Dwyrein , oeð yn myned oei blaen hwy , yd yn y ddeuth a sefyll goruch y lle ydd oedd y map-bachan .
40:2:010:0	A’ phan welsant y seren , llawenhay a wnethan a llawenydd mawr dros pen ,
40:2:011:0	ac aethont ir tuy , ac a gawsont y dyn‐bychan gyd a Mair ei vam , ac a gwympesōt ir llawr , ac y addolesont ef , ac a egoresont ei tresawr , ac a offrymesont iddaw anregion , ysef aur , a’ thus a’ myrrh .
40:2:012:0	A’ gwedy y rhubyddio wy can Dduw trwy hun , nad ymchoelent at Herod , ydd aethant trachefyn y’w gwlat rhyd ffordd arall . Yr Euangel ar ddiegwyl y meibion gwirion .
40:2:013:0	¶ A’ gwedy yddynt ymado , wely Angel yr Arglwydd a ymddangosodd i Ioseph trwy hun , gan ddywedyt , Cyvot , a’ chymer y mab‐bychan a’ ei vam , a’ chilia ir Aipht : a’ bydd yno yd yny ddywetwyf yty : can ys caisiaw a wna Herod y map‐bychan er ei ddiva .
40:2:014:0	Ac ef pan gyvodawdd , a gymerth y Map , aei vam o hyd nos , ac a giliodd ir Aipht ,
40:2:015:0	ac yno y bu , hyd varwolaeth Herod , yn y gyflawnit yr hynn a ddywetpwyt gan yr Arglwydd trwy r Prophwyt , gan ddywedyt , O’r Aipht y gelwais vy Map .
40:2:016:0	Yno Herod , pan weles ei dwyllo gan y Doethion a ffromawdd yn aruthr , ac ef a ddanvonawdd savvdvvyr ac a laddodd yr oll veibion ar oeddynt ym‐Beth‐lehem ac yn‐cwbyl o hei chyffinydd , o ddwyvlwydd oet , a’ than hynny wrth yr amser a ymovynesei ef yn ddichlin ar Doethion .
40:2:017:0	Yno y cyflawnwyt yr hynn a ddywetsit can Ieremias y Prophwyt , gan ddywedyt ,
40:2:018:0	Llef a glywet yn Rhama , galar , ac wylofain a chwynvan mawr : Rachel yn wylo am hei phlant , ac ny vynnei hei chodfforddio , can nad oeddynt .
40:2:019:0	Yno gwedy marw Herod , wele , Angel yr Arglwydd a ymddangoses i Ioseph trwy hun yn yr Aipht ,
40:2:020:0	can ddywedyt , Cyvot , a’ chymer y bachcen ai vam , a’ dos i dir Israel : can varw yr ei oedd yn caisiaw enaid y bachcen .
40:2:021:0	A’ gwedy iddo gyvodi , ef a gymerth y bachcen a’i vam , ac a ddaeth i dir Israel .
40:2:022:0	Eithyr pan glybu af vot Archilaus yn gwladychy yn Iudea yn lle ei dat Herod , e ofnodd vyned ynow : anid gwedy ei rybyddyo gan Dduw trwy hun , ef a giliawdd i dueddae Galilaea ,
40:2:023:0	ac aeth ac a drigawdd mewn dinas a elwit Nazaret , yn y chyflawnir hyun a ddywedesit trwy ’r Prophwyti nid amgen y gelwit ef yn Nazaraiat .
