40:14:001:1	Pen . xiiij .
40:14:002:1	Tyb Herod am Christ . Lladd pen Ioan . Christ yn porthi pempmil popul a’ phemp torth a’ dau pysc . Ef yn gweddiaw yn y mynyth . Ef yn ymddangos liw nos ar y mor yw ddiscipulon . Ac yn achup Petr . Hwy yn cyffessy y vot ef yn vap Dew . Ef yn iachay pawp a gyhyrddodd‐ac emylyn y wisc ef .
40:14:001:0	Y Pryd hyny y clybu Herod y Tetrarch am Iesu ,
40:14:002:0	ac y dyvot wrth ei weison , Hwn yw Ioan Vatyddiwr . Ef gyfodes o veirw , ac am hyny y gweithredir weithredoedd‐nerthol ganthaw .
40:14:003:0	Can ys Herod a ddaliesei Ioan ac ei rhwymesei , ac ei dodesei yn‐carchar o bleit Herodias , gwraic Philip y vrawt ef .
40:14:004:0	Can ys Ioan a ddyvot wrthaw , Nid deddfol y ti y chahel hi .
40:14:005:0	A’ phan oedd yn ei vryd y roi ef yw varwolaeth , ef ofnoð y dyrva , can ys wy y cymerent ef val prophwyt .
40:14:006:0	A’ phā getwit dydd genedigaeth Herod , y dawnsioð merch Herod geyr y brō wy , ac y boddhaodd hi Herod .
40:14:007:0	Erwydd paam y gaddawodd ef dan-dwng , y rhoddei yddhi beth pynac ar a archei hi .
40:14:008:0	Ac yhi wedy hi addyscy gan hei mam , a ddyvot , Dyro i mi yma ben Ioan Vatyddiwr mewn descl .
40:14:009:0	A’r Brenhin a dristawð : eithyr o erwydd ei lw , a’r ei a eisteddent y gyd ac ef wrth y vort , y gorchymynawdd ef ei roi iddi :
40:14:010:0	ac ef a ddanvonawdd gennad ac a laddawd ben Ioan yn y carchar .
40:14:011:0	Ac a dducpwyt y ben ef mewn descyl , ac ei rhoet ir vachcennes , a’ hi ei duc y’w mam .
40:14:012:0	A’ ei ddiscipulon ef a ðaethant , ac a gymersant y gorph ef ac ei claddesont , ac aethont ac a ddywedesont , i’r Iesu .
40:14:013:0	A’ phan ei clybu yr Iesu , ef a dynnodd o ddyno mewn llong i ddiffeithfa or nailltu . A’ gwedy clybot o’r dyrva , wy y dilynesōt ef ar draet allā o’r dinasoeð .
40:14:014:0	A’r Iesu aeth ymaith ac a welodd dyrva vawr , ac a dosturiawdd wrthwynt , ac ef a iachaodd y cleifion hwy .
40:14:015:0	¶ A’ gwedy y mynd hi yn hwyr , y daeth ei ddiscipulon attaw , can ddywedyt , Diffaith yw’r lle yma , a’r awr aeth heibio : gellwng y dyrva ymaith , i vyned ir dinasoeð y bryny yddyn vwydydd .
40:14:016:0	A’r Iesu a ddyvot wrthynt , Nid rhait y yddyn vyned ymaith : Rowch chwi yddwynt beth y’w vwyta .
40:14:017:0	Yno y dywedesont wrthaw , Nid oes genym anyd pemp torth a’ dau pyscotyn .
40:14:018:0	Ac ef y ðyvot , Dugwch wy i mi yman .
40:14:019:0	Ac e orchymynawð ir dorf eisteð ar y gwelltglas , ac a gymerth y pemp torth a’r ddau byscodyn , ac a edrychawdd i vynydd tu ar nef , ac a vendithiodd , ac a dores , ac a roes y torthae y’w ddiscipulon , a’r discipulon ir dyrva .
40:14:020:0	Ac wy oll a vwytesont , ac wy a ddigonwyt . Ac a godesont o’r briwuvvyt oedd yngweðill saith bascedeit .
40:14:021:0	Ar ei a vwytesent , oedd yn‐cylch pempmil o wyr , eb law gwrageð a’ rhai bychain .
40:14:022:0	¶ Ac yn y van y cympellodd yr Iesu ei ddiscipulon i vyned mewn llong , a’ myned trosodd oei vlaen , tra ddanfonei ef y dyrfa ymaith .
40:14:023:0	A’ gwedy iddo ddanvon y dyrfa ymaith , ef escennawdd ir mynyd vvrtho ehun i weddiaw : a’ gwedy y hwyrhai hi , ydd oedd ef yno yn vnic .
40:14:024:0	Ac yno ydd oeð y llong yn‐cenol y mor , ac a drallodit gan donnae : canys gwynt gwrthwynep ytoedd .
40:14:025:0	Ac yn y bedwerydd wylfa or nos , ydd aeth yr Iesu attwynt , gan rodio ar y mor .
40:14:026:0	A’ phan welodd ei ddiscipulon ef yn rhoddiaw ar y mor , y cythrwblit wy gan ddywedyt , Drychioleth yd yw , ac a waeddeson rac ofn .
40:14:027:0	Ac yny man , yr ymadroddodd yr Iesu wrthwynt , gan ddywedyt , Cymerwch gysir da . Myvi ytyw : nac ofnwch .
40:14:028:0	Yno ydd atpawdd Petr ef , ac a ddyvot , Arglwydd , a’s ti yw , arch i mi ddewot atat ar y dwfr .
40:14:029:0	Ac ef a ddyvot , Dyred . A’ gwedy descend o Petr o’r llong , ef a rodioð rhyd y dwfr i ðyvot at yr Iesu .
40:14:030:0	An’d pan welawdd ef wynt cardarn , yr ofnawdd : a’ phan ddechreuawdd suddo y llefawð , gan ddywedyt , Arglwydd , cadw vi .
40:14:031:0	Ac yn y man yr estendawdd yr Iesu ei law , ac ymavlodd ynthaw , ac y dyvot wrtho , A dydi vychan o ffyð , paam y petruseist ?
40:14:032:0	Ac er cynted yd aethon ir llong , y peidiawdd y gwynt .
40:14:033:0	Yno yr ei oedd yn y llong , a ddaethon ac y addolesant ef , gan ddywedyt , Yn wir map Dew ytwyt .
40:14:034:0	¶ A’ gwedi yðyn vyned trosodd , vvy ddaethant i dir Genezaret .
40:14:035:0	A’ phan i adnabu gwyr y van hono efo , ys danfonesāt ir wlat hono o y amgylch , ogylch , ac a ddygesont attaw yr ei oll oedd yn gleifion .
40:14:036:0	Ac a atolygont iddo gael cyfwrdd ac emylyn y wisc ef yn vnic : a chynnifer ac a gyfyrddawð a hi , a iachawyt .
