40:11:001:1	Pen . xj .
40:11:002:1	Christ yn precethy . Ioan vatyddiwr yn anfon ei ddiscipulon ataw . Testiolaeth Christ am Ioan . Barn y popul am Christ ac Ioan . Christ yn edliw ir dinasoedd anniolchgar . Bod yn eglurhay’r Euangel i’r dinion gwirion . Am yr ei ys y yn trafaely ac ynt yn llwythoc . Am iau Christ .
40:11:001:0	AC e darvu , gwedy tervyny o’r Iesu orchmyny y’w ddauddec Apostoliō , ef aeth oddyno er ei dyscy a’phrecethy yny dinasoedd wy . Yr Euangel y trydydd Sul yn Aduent .
40:11:002:0	A’phā glybu Ioan ac ef yn‐charchar o ywrth weithredoedd Christ , e ddanvones ddau oei ddiscipulon ,
40:11:003:0	ac a ddyvot wrthaw : Ai ti yw’r hwn a ðaw , ai dysgwyl a wnawn am aral’ ?
40:11:004:0	A’r Iesu a atebawdd ac a ddyvot wrthynt . Ewch a’manegwch i Ioan , y pethae a glywsoch ac welsoch .
40:11:005:0	Y mae’r daillion yn cahel ei golwc , a’r cloffion yn rhodiaw : a’r cleifion‐gohanol wedy ei glāhay , a’r byddair yn clywet : y meirw y gyfodir , a’r tlodion yn derbyn yr Euangel .
40:11:006:0	A’ dedwydd yw’r neb ny rwystrir om plegit i .
40:11:007:0	Ac wynt yn mynet ymaith , ef a ddechreuawð yr Iesu ddywedyt wrth y popul , am Ioan , Pa beth yr aethoch ir ddiffeith i edrych am danaw ? ai corsen a yscytwei gan wynt ?
40:11:008:0	Eithyr pa beth yr aethoch yw welet ? Ai dyn wedy ’r wisco mewn dillat esmwyth ? Nycha , yr ei ys y yn gwisco dillat esmwyth , mewn tai Brenhinoedd y maent ,
40:11:009:0	Eithyr pa beth aetho chwi yw welet ? Ai Prophwyt ? Ie dywedyt ydd wyf wrthych , a’ mwy no Prophwyt .
40:11:010:0	Can ys hwn ytyw y neb y mae yn escriwenedic am danaw , Nycha , myvi sy yn danvon vy‐cenat rac dy wynep , yr hwn a paratoa dy ffordd oth blaen .
40:11:011:0	Yn wir y ddywedaf y chwi , ymplith yr ei a anet o wrageð , ny chododd neb mwy nac Ioan Vatyðiwr : er hyny yr hwn ’sy leiaf yn teyrnas nef , y ’sy , vwy nac ef .
40:11:012:0	Ac o amser Ioan Vatyddiwr yd hyn , y treisir teirnas nefoedd , a’r treiswyr ’sy yn myn’d a hi wrth nerth .
40:11:013:0	Can ys yr oll Prophwyti a’r Ddeddyf a prophwytesont hyd Ioan .
40:11:014:0	Ac a’s wyllysiwch y dderbyn , efe yw Elias , a oedd ar ddyvot .
40:11:015:0	¶ Y nep ’sy yddo glustiae i wrando , gwrandawet .
40:11:016:0	Eithyr i ba beth y cyffelyblaf i y genedleth hon ? Cyffelyp yw i vechcynos a eisteddent yn marchnatoydd , ac yn llefain wrth ei cyfeillon ,
40:11:017:0	ac yn dywedyt , Canasam chwibanoc ywch’ , ac ny neidiesoch : ys canesam alarnad ywch’ , ac ny chwynfanesoch .
40:11:018:0	Can ys daeth Ioan eb na bwyta nag yfet , ac meddant , Y mae cythrael ganthaw .
40:11:019:0	Daeth Map y dyn yn bwyta ac yn yfet , ac meddant , Wele ddyn glwth , ac yfwr gwin , car ir Publicanot a’ phechaturieit : eithyr doethinep a gyfiawnheir gan ei blant ehun .
40:11:020:0	Yno y dechreawdd ef liwio ir dinasoydd , yn yr ei y gwneythesit yr ei mwyaf oei weithredredd‐mowrion ef , can na chymeresent edifeirwch ,
40:11:021:0	Gwae dydi Chorasin : Gwae dydi Bethsaida : can ys pe gwneythesit yn Tyrus a’ Sidon y gweithredoedd‐mawrion a wnaethpwyt yno‐chwi , wy a gymeresent edifeirwch gynt mewn lliainsach a llytw .
40:11:022:0	Eithyr ys dywedaf y chwy , mai ynsmwythach vydd i Tyrus a’ Sidon yn‐dydd brawd , nac i chwi .
40:11:023:0	A’ thydi Capernaum , yr hon a dderchefir yd y nefoedd , ath dynnir y lawr yd yn yffern : can ys pey ymplith yr ei o Sodoma y gwnaethesit y gweithredoeð mawrion a wnaethpwyt yno ti , wy vysent yn aros yd heddyvv .
40:11:024:0	And mi a dywedaf y chwi , mai esmwythach vydd yddyntvvy o dir Sodoma yn‐dydd brawd , nac y ti . Yr Euangel y dydd S . Matthias .
40:11:025:0	¶ Yn yr amser hynny ydd atepawdd yr Iesu , ac y dyvot , Yty y diolchaf , Dat , Arglwydd nef a ’daear can yty guddiaw y pethae hyn rhac y doethion a’r pruddion , a’ ei egluraw hwy ir ei bychain .
40:11:026:0	Yn wir , Dad , can ys velly y bu voddlawn genyt .
40:11:027:0	Pop peth a roddwyt y‐my gan vy‐Tat : ac nyd edwyn nep y Map , eithr y Tat : ac nyd edwyn nep y Tat diethr y Map , a’r hwn yr ewyllysio ’r Map ei eglurhau iddo .
40:11:028:0	Dewchata vi , oll y sy yn vlinderawc ac yn llwythawc , a’ mi a ch esmwythaf .
40:11:029:0	Cymerwch vy iau arnoch’ a’ dyscwch genyf , can vy‐bot yn waredigennus ac yn isel o galon . A’ chvvi gewch ’orphoysfa ich eneidae .
40:11:030:0	Can ys ve Iau ’sy hyfryd , a’m llwyth ysy yscafn .
