40:3:001:1	Pen . iij .
40:3:002:1	Swydd , athrawaeth a buchedd Ioan . Ceryddy y Pharisaiait . Am ffrwythau edifeirwch . Betyddio Christ yn Iorddonen , A i awdurdodi gan Dduw ei Dat .
40:3:001:0	AC yn y dyddiae hyny , y daeth Ioan Vatyddiwr ac a precethawdd yn‐diffaith Iudaea ,
40:3:002:0	ac a ddyvot , Edifarewch : can vot teyrnas nef yn gyfagos .
40:3:003:0	Can ys hwn yw ef am bwy vn y dywetwyt gan y Prophwyt Esaias , gan ddywedyt , Llef llafarydd yn y diffaith , paratowch ffordd yr Arglwydd : vniownwch y lwybrae ef .
40:3:004:0	A’r Ioan hwnaw oedd ai ddillat o vlew camel , a gwregis o groen yn‐cylch ei lwyni : ai vwyt ef oedd locustae a mel gwyllt .
40:3:005:0	Yno ydd aeth allan atto Gaerusalem ac oll Iudaea , a’r oll wlat o ddi amgylch Iorddanen .
40:3:006:0	Ac ei batyddiwyt wy ganthaw yn Iorddonen , gan gyffessy ei pechotae .
40:3:007:0	A’phan welawdd ef lawer o’r Pharisaiait ac or Sadduceit yn dywot y’w vetydd ef , y dyvot wrthynt , A genedleth gwiperoedd , pwy ach rac rybyddiawdd i giliaw rac y digofeint a ddelai ?
40:3:008:0	Can hynny dygwch ffrwythae teilwng i edifeirwch .
40:3:009:0	Ac na veddyliwch ddywedyt ynoch eich unain , Y mae genym ni Abraham yn dat i ni : can ys dyweddaf ychwi , y dychon Duw o’r main hyn gyfodi i vyny blant i Abraham .
40:3:010:0	Ac yr awrhō hefyt y gosodwyt y vwyall ar wreiddyn y preniae : can hyny pop pren , ar ny ddwc ffrwyth da , a drychir i lawr , ac a davlir ir tan .
40:3:011:0	Myvi yn ddiau ach betyddiaf a dwfyr er edifeirwch , eithyr hwn a ddaw ar v’ol i , ys y gadarnach na myvi , a’ei escidiae nid wyf deilwng y’w dwyn : efe ach betyddia a’r Yspryt glan , ac a than .
40:3:012:0	Yr hwn ’sydd aei vvogr yn ei law , ac a garth ei lawr , ac a gasel ei wenith yw yscupawr , anid yr vs a lysc ef a than diddiffoddadwy .
40:3:013:0	¶ Yno y daeth yr Iesu o’r Galilaea i Iorddanen at Ioan , yw vetyddio y ganthaw .
40:3:014:0	Eithr Ioan y gwrthladdawdd ef , can dywedyt . Mae arnaf eisiae vy‐betyddiaw y genyti , a’ thi a ddeuy atafi ?
40:3:015:0	Yno ’r Iesu gan atep , a ddyvot wrthaw , Gad yr awrhon : can val hyn y gwedda y ni gyflawni pop cyfiawnder . Yno y gadawodd yddaw .
40:3:016:0	A’r Iesu wedi ei vetyddio , a ddaeth yn y van i vynydd o’r dwfr . Ac wely , y nefoedd a agorwyt iddaw , ac Ioan a welawdd Yspryt Duw yn descen val colomben , ac yn dewot arnaw ef .
40:3:017:0	A’ nycha , llef o’r nefoedd yn dywedyt , Hwn yw vy caredic Vap , yn yr hwn im boddlonir .
