58:8:001:1	Bee aha'deet'áanii ániidíii bik'ehgo Jesus aláahgo náá'iiłniihii nilį́
58:8:001:0	Ádadii'nínígíí díí ááhyiłní: aláahgo náá'iiłniihii ákót'éii, yá'ąąshdi Ayóó'ájít'éii bikáá'dóó hojoo'áałii honish'náájí dah sidáii nihá aláahgo náá'iiłniihii nilį́. 
58:8:002:0	Ts'ídá aláahgo hodiyingo haz'ą́ągi éí níbaal bii' hodílzinii t'áá aaníinii, éí diné doo niiní'áanii nidi Bóhólníihii niiní'ánígíí biyi' góne' naal'a'í nilį́. 
58:8:003:0	Aláahgo nááda'iiłniihii t'ááłá'í nítínígo t'áadoo le'é náádahaniihii índa naatseedgo náádahaniihii náádayiiłniih doo biniyé nidabidii'nííł nít'éé'; t'áá éigi át'éego Jesus, nihá aláahgo náá'iiłniihii, néidiyoołnihii ałdó' bee hólǫ́. 
58:8:004:0	Nahasdzáán bikáa'gi t'ah naagháago doo náá'iiłniihii nilį́į da doo, háálá bee haz'áanii bik'ehgo nááda'iiłniihii aa dahalyéii náádayiiłniihii dahólǫ́. 
58:8:005:0	Éí yindaal'a'go yá'ąąshdi hodiyingo haz'ą́ągi na'al'a'ígíí bida'jił'į́ índa bichaha'oh dajílį́ nahalingo bindajil'a'. Mózes níbaal bii' hodílzinii áyi'niilaa yę́ędą́ą́' Diyin God kóníigo nabineeztą́ą́', Díí t'áá ałtso bik'ehgo ádadíílíłígíí dziłghą́ą'di nich'į' ííshjání áshłaaígíí ts'ídá t'áá éí bik'ehgo baa honíyą́ągo ádadíílííł. 
58:8:006:0	Nidi naanish Christ baa deet'ánígíí éí ałk'idą́ą́' nidajil'a'ii hanaanish biláahgo yá'át'éehii át'é, éí bił ałk'ehgo Christ biniit'aa Diyin God éí diné yił yee aha'deet'áanii éí ałk'idą́ą́' bee aha'deet'áanii biláahgo yá'át'éehii át'é, háálá éí Diyin God t'ah aláhígo yá'át'éehgo yee nihwiiz'áanii bee hadilyaa. 
58:8:007:0	Átséédą́ą́' bee aha'deet'áanii t'áadoo bee bik'íhót'ahígóogo doo bee aha'náádeet'ą́ą da doo nít'éé'. 
58:8:008:0	Nidi Diyin God éí diné ba'át'e' yik'ee doo bił hóózhǫǫdgóó ání:Jó'akon, Ízrel dine'é índa Júdah dine'é bee aha'deet'ą́ ániidíígííbee bił ahadadi'deesht'áałii baa hodoolzhishígíí bich'į' yoołkááł, ní Bóhólníihii. 
58:8:009:0	Ííjip kéyahdóó dah hodii'eezh bijį́į́dą́ą́'dahazhé'é yę́ę bił ahadadi'nisht'áanii doo bił aheełt'ée da dooleeł.Háálá éí shibee aha'deet'áanii doo bida'jiilaa da,éí bąą t'óó hats'ą́ąjį' kósdzaa, ní Bóhólníihii. 
58:8:010:0	Éí yoołkáłígíí adayiiską́ą́dóó bik'ijį'díí bee aha'deet'ą́ nilíinii Ízrel dine'é bee bił ahadadi'deesht'ááł, ní Bóhólníihii:Bee hoséł'áanii bintsíkees biih dadeeshłééłáádóó dabijéí biyi'di bee bik'eda'deeshchííł.BiDiyin God nishłį́į doo,áádóó bí shidine'é danilį́į doo. 
58:8:011:0	Áko diné t'ááłá'í nítínígo yił kéédahat'íinii,áádóó bik'is danilíinii éí, Bóhólníihii bééhonísįįh, doo deiłníi da doo.Háálá a'ohgo ádaat'éédóó ayóó ádaat'éejį't'áá ałtso shéédahósin doo. 
58:8:012:0	Doo ákwii ádáát'įįdii baa a'ááh dínéesįįł,áádóó bibąąhági ádaat'éii índa bee haz'áanii doo yik'eh ádáát'įįdiits'ídá doo bénáshniih da doo.  
58:8:013:0	Diyin God, Bee aha'deet'ą́ ániidíígíí, níigo átsé nít'é'ígíí doo ílį́į da silį́į́', níigo ání. Jó, ha'át'íhída doo ílį́į da silį́į'go yíighah ałeehii éí k'adę́ę doo bééhoozįįh da łeh.
