58:2:001:1	Bee yisdá'iildééh ayóó át'éii
58:2:001:0	Éí bąą dasidiits'ą́'ígíí doo bits'áhidiikah da biniyé ts'ídá hazhó'ó baa nitsídeiikees doo. 
58:2:002:0	Háálá diyingo nidaal'a'í saad yaa dahoolne'ii t'áá aaníinii át'éego bééhoozin, áko éí doo bik'eh dahojíł'íinii áádóó doo ákǫ́ǫ́ ádajíít'įįdii biniinaa t'áá ádzíłtso t'áá bą́ą́h ílį́į́ góne' k'éédaho'diilyaago, 
58:2:003:0	yisdá'iildééh ts'ídá ayóó át'éii t'óó béé'ádahodiilyáahgoshą' haa yit'éego dadiidzih? Jó, éí Bóhólníihii átsé yaa hoolne', áádóó deidiizts'ą́ą'ii yee nihił náádahoolne'go t'áá aaníinii át'éego nihił béédahózin. 
58:2:002:1	Jesus t'éí bik'ehgo yisdáhóót'i'
58:2:004:0	Diyin God t'áá bí ałdó' bibee adziilii bee béédahózinii áádóó bik'ee t'óó ił ahayóigo ádahooníiłii índa lą'ígóó álílee k'ehgo ádahooníiłii bee t'áá aaníinii át'éego yaa hoolne'. Áádóó Diyin God t'áá bí íinízingo Níłch'i Diyinii ainíláii yee t'áá aaníinii át'éego yaa hoolne'. 
58:2:005:0	Háálá nahasdzáán baa nááhodoolzhishgo baa yádeiilti'ígíí éí Diyin God bidiyingo nidaal'a'í bee bídahólníih dooleełgo doo yá haadzíi' da. 
58:2:006:0	Nidi haa'í shį́į́ t'éiyá Diyin God bizaad bee ak'e'ashchíinii kóníi ni':Diyin God nílíinii, dinéshą' ha'át'íí át'éego baa nitsíníkees?Índa nihokáá' dine'éshą' ha'át'íí át'éego baa áhólyą́? 
58:2:007:0	Jó, éí t'óó kónízahíjį' diyingo nidaal'a'í t'áá bi'ohgo ájít'éego áhwiinilaa,áádóó aa ha'niihjí índa ił ídlį́į́jí naat'á ch'ah hak'i dííní'ą́.Níla' bee binishínílnishii bee hóhólníih doogo áhwiinilaa, 
58:2:008:0	áádóó t'áá ałtsoní bik'i jidées'eezgo áhwiinilaago bee hóhwiisíníłníí'. Áko diné t'áá ałtsoní bee hóhólníihgo áhoolaa yę́ędą́ą́', ha'át'íhída t'áá bídin t'áadoo ła' doo bee hóhólníihgo áhoolaa da. Nidi k'ad éí t'ahdii t'áá ałtsoní doo bee hóhólníihgo deiiltséeh da. 
58:2:009:0	Nidi Jesus éí deiit'į́, éí Diyin God bibee ajooba' bik'ehgo diné t'áá ałtso yá dadootsaał biniyé t'óó kónízahíjį' diyingo nidaal'a'í t'áá yi'oh át'éego ábi'diilyaa, áko daaztsą́ągo ti'hooznii'ígíí bąą k'ad aa ha'niihjí áádóó ił ídlį́į́jí naat'á ch'ah baa deet'ą́. 
58:2:010:0	Diyin God t'áá ałtsoní t'áá ádindę́ę́' áyiilaago t'áá ałtso bá át'é. Éí yee ayóó át'éii bich'į' ba'áłchíní t'óó ahayóí ayii'éeshgo yił ałts'ą́ą́' da'íłk'iizgo Jesus ti'hooznii'ígíí yee ałtso ła'yiyiilaago beełt'éego áyiilaa. Háálá yee yisdáhákáahii yinaayáii nilį́. 
58:2:011:0	Háálá diyingo áda'ale'ii áádóó diyingo ádabi'dilne'ii t'áá ałtso t'ááłá'íígíí yits'ą́ą́dóó danilį́. Éí bąą doo baa yáznízingóó shik'isóó bijiní, 
58:2:012:0	kójíníigo,Shik'isóó danilíinii nízhi' bee bił dahodeeshnih;da'oodlání áłah nádleehii bitahgi naa hashniihgo hashtaał doo.  
58:2:013:0	Áádóó ánáázhdí'ní,Diyin God baa dzííníshłíi doo. Áádóó náá'áłdó',Jó'akon, shí éí áłchíní Diyin God sheinínilígíí bił honishłǫ́.  
58:2:014:0	Sha'áłchíní bijinínígíí éí bits'íís índa bidił dahólǫ́, áko t'áá éigi át'éego Jesus ałdó' hats'íís hazlį́į́'. Aniné bee bóhólníihii, níłch'i bida'iiníziinii binanit'a'í nilíinii, ázhdoołdįįł biniyé dadziztsą́. 
58:2:015:0	T'áá nida'iisdįįdjį' anoonééł ił hółyée'ii dabótą'ígíí bigháázhdoo'niłgo doo bidahodiit'i'góó ánídazhdoodlííł biniyé diné dzizlį́į́'. 
58:2:016:0	Jó, t'áá aaníí át'é, diyingo naal'a'í doo dzizlį́į' da, nidi Éíbraham bits'ą́ą́dóó da'ahílchíihii atah diné dzizlį́į́'. 
58:2:017:0	Éí bąą t'áá ákónéehee Diyin God bá nijil'a'go aláahgo náá'iiłniihii bił ahojoobá'íii índa ba'ahódlíii jidooleeł biniyé t'áá ałtsojį' hak'isóogi át'éego ízh'diilyaa. Áko diné bibąąhági ádaat'éii bá yóó'ahizhdidoo'ááł biniyé tsin ałnáoszid bąąhjį' dadziztsą́ągo hadił deezna'go bee k'é náhásdlį́į́'. 
58:2:018:0	T'áá hó nahóhodi'nitaahgo ti'hodzooznii', éí bąą nabídahodi'nitaahii bíká azhdoolwołgo bilááshneel'ą́.
