58:9:001:1	Nahasdzáán bikáa'gi nahadláii áádóó yá'ąąshdi nahadláii
58:9:001:0	Átséédą́ą́' bee aha'deet'áanii éí bik'eh hoogáałii hólǫ́ǫgo Diyin God bich'į' nahadláá nít'éé', áádóó nahasdzáán bikáa'gi Diyin God bich'į' nahadláago bił haz'ą́ą́ nít'éé'. 
58:9:002:0	Níbaal bii' hodílzinii niit'ą́, áłtsé góne' haz'ánígíí éí hodiyingo haz'ą́ hoolyé. Ákóne' bee hool'iní bá yadaa'áhígíí, índa bikáá' adání, áádóó Diyin God bich'į' bááh nááhániihii bikáa'gi sinil. 
58:9:003:0	Naaki góne' dáádiníbaalígíí bine'dę́ę́' ła' nááház'ą́, éí ts'ídá aláahgo hodiyingo haz'ą́ hoolyé. 
58:9:004:0	Ákóne' bikáá' náá'iiniihí óola bik'ésti'go si'ą́, éí bikáa'gi tsin bijeeh dilidgo łikání halchinii nídídli', áádóó tsits'aa' dílzinii óola t'áá át'éé nít'éé' bik'ésti'go ałdó' si'ą́, éí biyi' góne' óola ásaa' éí bááh mána wolyéii bee siką́ągo bii' siką́, áádóó Éran bigish ch'il nahalingo bílátah da'iichiihii ałdó' bii' sitą́, índa bee aha'deet'áanii bee tsé bik'e'ashchį́įgo ałdó' bii' sinil. 
58:9:005:0	Tsits'aa' dílzinii bikáa'gi diyingo naal'a'í be'elyaii naakigo bits'ádi'nílíidii, chérabim wolyéii, éí Diyin God aa a'ááh nízinii bił haz'ání bik'ijį' bit'a' dah yoołbałgo dah sizį́. Nidi díí doo t'áá át'éegi baa hojólne' át'ée da. 
58:9:006:0	Éidíígíí ákót'éego hasht'edaalyaago níbaal bii' hodílzinii átsé haz'ą́ą́ góne' nááda'iiłniihii Diyin God yá nidaalnish yiniyé t'áá ahą́ą́h yah anídaakah nít'éé'; 
58:9:007:0	ts'ídá aláahgo hodiyingo haz'ą́ą́ góne' aláahgo náá'iiłniihii t'éí t'ááłá'í nináháháahgo t'ááłáhídi yah anádááh nít'éé'. Éí dił ádá néidiyoołnihii índa diné doo ádaa ákodanidzingóó bąąhági át'éii yaa nidaaskai yá néidiyoołnihii yah anéíkááh nít'éé'. Dił t'áágééd doo yah anádáah da. 
58:9:008:0	Éí ákódaat'éhígíí bits'ą́ą́dóó Níłch'i Diyinii yee nanihinitingo níbaal bii' hodílzinii átséhígíí t'ahdii si'ą́ągo ts'ídá aláahgo hodiyingo haz'ánígíí t'ah doo ąą álnéeh da nít'éé' lá. 
58:9:009:0	Díí hoolzhishígíí biyi' éí t'óó bee éé'deetįįhii át'é. Kót'éego ááhyiłní: t'áadoo le'é náádahaniihii índa naatseedgo náádahaniihii náádahidoonihígíí éí nahojiłáii habąąhági át'éii bee hats'ą́ąjį' silį́į'go baa ákozdínóozįįłgi doo bízhneel'ą́ą da. 
58:9:010:0	Háálá éí daadáanii índa daadláanii áádóó nahadláago táá'ágis ádaat'éii t'éiyá bídéét'i'. Éí ats'íís bá bik'eh hoogáałii ádaat'é. Éí Diyin God t'áá ałtsoní hasht'ééyiidlaajį' t'éiyá ílį́įgo nihoolzhiizh. 
58:9:011:0	Nidi Christ éí yá'ádaat'éehii hazlį́į'ii yiniyé aláahgo náá'iiłniihii nilį́įgo níyáago hodiyingo haz'áanii aláahgo át'éii áádóó wózhǫ́ hadaałt'éii biyi'di naal'a'. Éí haz'ą́ągi doo yílá bee ályaa da, díí nahasdzáán ályaago si'ánígíí doo bídéét'i' da. 
58:9:012:0	Éí biyi'di náwóne'édi ts'ídá aláahgo hodiyingo haz'ą́ąjį' Christ t'áá bí t'ááłáhídiígíí ałtso ła'yiyiilaago yah ííyá, tł'ízí índa béégashii yáázh bidił doo nááyiisnii' da, nidi t'áá bí bidił nihá nááyiisnii'go hool'áágóó yisdánihíínil. 
58:9:013:0	Diné éí nichxǫ́'íii yee ádąąh nidahwiil'aahii dóola bidił, doodaii' tł'ízí bidił, doodaii' béégashii yáázh seesyį́įgo díílidgo bit'eesh taah yiką́ągo ak'éltahgo éí bee nichxǫ́'íii hats'ą́ąjį' kónáálnííł nít'ée'go, 
58:9:014:0	t'ah yówehígo át'éego Christ t'áá bí bidił yee ła'yiyiilaago éí ts'ídá hadaałt'éii nilį́įgo Níłch'i Diyinii doo niit'éehii biniit'aa Diyin God yich'į' náá'ádiisnii'. Áko Diyin God hináanii bá nidaał'a' dooleeł biniyé t'áadoo biniyéhígóó baa naahkai nít'ée'ii bits'ąą t'áá bí bidił yee nihíni' hasht'ééyoodlíił doo. 
58:9:015:0	Éí bąą Christ t'áá hó bee aha'deet'ą́ ániidíii binjiyáii jílį́. Áko Diyin God bíí' dazhdooleełgo háká ádííniidígíí éí hool'áágóó ak'idahojidlíi dooleełii Diyin God yee nihoní'áanii bee hak'idahojidlíi doo. Háálá átséédą́ą́' bee aha'deet'áanii bida'jił'į́į́ nít'ée'ii doo bida'jił'į́į́góó bąą Christ daaztsánígíí yee yisdáhóónil. 
58:9:016:0	T'áadoo le'é bąąh áhodoodįįłii háí bíí' dooleełii bá bééhózingo ál'įįhgo dadziztsánígíí bééhoozįįhgo índa ła'da baa dit'ááh. 
58:9:017:0	Jó, t'ahdii jiináago éí t'ah doo ła'da baa deet'aah da łeh, dadziztsą́ą́dóó bik'ijį' índa ła'da baa dit'ááh. 
58:9:018:0	T'áá éigi át'éego átséédą́ą́' bee aha'deet'áanii bik'ehgo dił bee hahóóyá. 
58:9:019:0	Mózes éí bee haz'áanii áníinii t'áá át'é diné t'áá ałtso yee yił hoolne'dóó bik'ijį' béégashii yáázh bidił índa tł'ízí bidił tó yił ałtah yiníziidgo néidiiką́, aghaałchxí'í índa ch'il hísap wolyéhígíí ałdó' néidiiłjoolgo Diyin God yee has'áanii bee ak'e'ashchínígíí índa diné t'áá ałtso éí yee yik'íístah 
58:9:020:0	kóníigo, Díidí dił bee aha'deet'áanii át'éego bida'oł'į́į dooleełgo Diyin God nihá haadzíí'. 
58:9:021:0	T'áá ákót'éego ałdó' níbaal bii' hodílzinii índa nahadláago chodao'íinii t'áá ałtso dił yik'íístah. 
58:9:002:1	Christ náá'ádiisnii'ígíí bee bąąhági át'éii nahjį' nideet'ą́
58:9:022:0	T'áá aaníí át'é, bee haz'áanii bik'ehgo k'asdą́ą́' t'áá ałtsoní dił bee doo yá'át'éehii nahgóó ádąąh kwíil'į́, áko dił t'áadoo deezna'gi bąąhági át'éii ts'ídá doo há yóó'adidoot'áał da.  
58:9:023:0	Jó, áko nahasdzáán bikáa'gi dahólóonii díí náádahaniihii bee doo yá'át'éehii ąąh ádingo óolzingo t'áá ákónéehee bee haz'ą́ą́ nít'éé', éí yá'ąąshdi dahólóonii t'óó béé'ályaii át'é, nidi yá'ąąshdi dahólóonii éí t'ah aláhídi yá'át'éehgo náádahaniihii át'éego óolzin. 
