11:2:001:1	David éí Sálaman neineeztą́ą́'
11:2:001:0	Ákohgo David doo na'ázdoos'níí'góó haye' Sálaman nazneeztą́ą'go ájíní ,
11:2:002:0	Nihokáá' dine'é t'áá ałtso bá nidahwiit'ééhjí dah diishááh ; éí bąą nidziil le' áádóó diné nílį́įgo i'díí'nílzin ,
11:2:003:0	áádóó Bóhólníihii niDiyin God bik'eh yínáałgo bik'eh ánít'éego yee nihwiiz'áanii áádóó bibik'eh ó'oo'níiłii áádóó yee nihodiiz'áanii índa yee hahaadzíi'ii éí bee ak'e'ashchį́įgo Mózes bibee haz'áanii bii' yisdzohígi át'éego baa honíyą́ , áko yá'át'éehgo ná áhooníiłgo ła' danile' dooleełii baa nanináii t'áá ałtso t'áá hidínááhgóó t'áá ni yá'át'éehgo áálíił doo ,
11:2:004:0	áádóó Bóhólníihii éí saad shídéét'i'ii yee shá haadzí'ígíí kóníi ni' , Na'áłchíní hazhó'ó ádaa ádahalyą́ągo deíkáahgo , áko shinááł deíkáahgo dabijéí t'áá át'é áádóó bii' naazíinii t'áá át'é yee t'áá aaníinii yik'eh ádaat'éego ahii' háá'ahiyoołchííłgóó éí Ízrel dine'é bá bikáá'dóó nahat'áii yikáá' dah nídahidinoobįįł doo .
11:2:005:0	Náá'áłdó' Zerowáíyah biyáázh Jó'ab áshííł'įįdígíí nił bééhózin ; éí Ízrel dine'é bisiláo dah deínéehii binanit'a'í nidilt'éego , éí Ner biye' Ábner áádóó Jííther biye' Améísa áyííł'įįdígíí baa ákoninizį́į́' . Jó , t'áá k'é hólǫ́ǫgo anaa' hólónígi át'éego éí diné nidilt'é nidzistseedgo bidił haziiz bee ákádzíszaazígíí áádóó hakee' bii' dziz'eezígíí ałdó' dił bąąhgo ájiilaa .
11:2:006:0	Éí bąą nibee hódzą́ bik'ehgo ádíínííł , áko t'áadoo bitsiiba' haleehí t'ááká bił hózhǫ́ǫgo łeeh bi'dóltééł lágo .
11:2:007:0	Nidi Gíliyad dine'é Barziléíyai biye'ké éí bich'į' ná'áhwiinít'į́'í doo , índa éí bíni'dii nibikáá' adání yikáa'jį' nída'adį́įh doo , háálá éí nik'is Ábsalam bik'ee nanishchéego shaa yíkaigo shaa dajoozba' .
11:2:008:0	Áádóó , shoo , Bahúrim haz'ánídóó Bénjamin dine'é ła' Gííra biye' Shímiyai kwe'é nił hólǫ́ ; éí Méíhanéíyim kin shijaa'góó yishááł yę́ędą́ą́' shi'íníidzíi'go t'óó báhádzidgo bik'e'íyé'ígi át'éego shéédzíí' , nidi bí Jórdan toohgi shidááh níyáago bich'į' Bóhólníihii bee ádee hadeesdzíi'go ábidishní , Doo diltłish bee nidiyeeshxéeł da .
11:2:002:1	David daaztsą́
11:2:009:0	Éí bąą k'ad ádihozhdiilt'i'go áhwíínísin , háálá ni diné hóyáanii nílį́ , áádóó áhodíílíiłgi nił bééhózin doo , nidi t'áadoo hatsiiba' haleehí hodi'yoolyéełgo hadił bił łeeh hodi'dooltééł .
11:2:010:0	Nít'éé' David éí dahazhé'é yę́ę da'iiłhaazhígi át'éego i'jííłhaazhgo David hakin haal'áagi yóó'áho'diilyaa .
11:2:011:0	Íídą́ą́' David éí Ízrel dine'é binazhnit'áago dízdiin nááhai : Hííbran kin haal'áagi nazhnit'áago tsosts'id nááhai áádóó Jerúsalem kin haal'áagi nazhnit'áago tádiindóó ba'aan táá' nááhai .
11:2:003:1	Sálaman bee bóhólníihgo bił haz'áanii bohoníłdzilgo áyiilaa
11:2:012:0	Áko Sálaman éí bizhé'é yę́ę David bibikáá'dóó nahat'áii yikáá' dah neezdá , áádóó aláahgo yee bóhólníihgo bił haz'áanii ayóó át'éego chánah silį́į́' .
11:2:013:0	Áádóó Hágith biyáázh Adonáíjah éí Sálaman bimá Bath-shííba yaa níyá . Áko Bath-shííba ání , Hózhǫ́ǫgoósh yíníyá ? Áko ání , Hózhǫ́ǫgo níyá .
11:2:014:0	Nít'éé' ání , T'áadoo le'é nidideeshniił . Áko ábijiní , Hágoónee' , bee shił hólne' .
11:2:015:0	Áádóó Adonáíjah ání , Nił bééhózingo aláahgo bee íhólníihgo bił haz'áanii éí shí nít'éé' , índa shí éí nanisht'áa doogo Ízrel dine'é t'áá át'é shich'į' dadéez'į́į́' nít'éé' , ákondi aláahgo bee íhólníihgo bee shił haz'ą́ yę́ę shits'ą́ąjį' kólyaago shik'is bíí' silį́į́' , háálá Bóhólníihii t'áá hó haidiní'ą́ .
11:2:016:0	Áko k'ad t'ááłáhígo ní'íídéeshkił , dooda , éí doo shididííniił da . Áádóó ábijiní , Bee handziih .
11:2:017:0	Áádóó Adonáíjah ání , Nánooshkąąh , aláahgo naat'áanii Sálaman bich'į' hadíídzih , ( háálá , dooda , doo nididooniił da , ) jó , éí Shúnem dine'é asdzání nilíinii Ábishag sheidoołtéełgo she'asdzą́ą́ dooleeł .
11:2:018:0	Áádóó Bath-shííba ání , Lą́'ąą , aláahgo naat'áanii ná ábidideeshniił .
11:2:019:0	Nít'éé' Bath-shííba éí aláahgo naat'áanii Sálaman bich'į' yah ajííyá , Adonáíjah bá hazdoodzih biniyé . Áádóó aláahgo naat'áanii nídii'na'go hach'į' niníyá , áko bimá yich'į' yaa ádzaa áádóó bikáá'dóó nahat'áii yikáá' dah neezdá , índa aláahgo naat'áanii éí hamá yik'i dah dínóodaałii ła' yá nideiz'ą́ , áko honish'náájígo dah neezdá .
11:2:020:0	Áko nít'éé' ájíní , T'áá áhoołts'íísígo baa nániideeshkąąłii laanaa nisin ; nánooshkąąh , dooda , doo shididííniił da . Áádóó aláahgo naat'áanii áhodííniid , Yíníkeed , shimá ; jó , dooda , doo nidideeshniił da .
11:2:021:0	Áádóó Bath-shííba ání , Bíni'dii Shúnem dine'é asdzání Ábishag wolyéii éí nik'is Adonáíjah baa dooltéełgo be'asdzą́ą dooleeł .
11:2:022:0	Áko aláahgo naat'áanii Sálaman bimá yich'į' haadzíi'go ání , Ha'át'éegoshą' Shúnem dine'é asdzání Ábishag éí Adonáíjah bá yíníkeed ? Da' hoot'ááłísh ałdó' bá yíníkeed , háálá shínaaí nilį́ , áko bí bá , áádóó náá'iiłniihii Abáíyathar bá , índa Zerowáíyah biyáázh Jó'ab bá ádíníigo át'é ?
11:2:023:0	Ákohgo aláahgo naat'áanii Sálaman éí Bóhólníihii yee ádee hadoodzíi'go ádííniid , Shígoyee' Diyin God atíshidoolííł áádóó t'ah náábíláahgo shidiyoołhééł ; Adonáíjah doo t'áá bí be'iina' yik'ijį' haadzíí'góó ákóshidoolííł .
