11:8:001:1	Sálaman éí kin bii' sohodizin góne' tsits'aa' dílzinii niiní'ą́
11:8:001:0	Áko Ízrel dine'é aląąjį' naazíinii áádóó Ízrel ał'ąą dóone'é aląąjį' naazíinii éí dabizhé'é yę́ę ba'áłchíní náás ahoolchíłígíí yá aląąjį' naazíinii danilį́įgo aláahgo naat'áanii Sálaman wolyéii Jerúsalemgi yaa áłah áyiilaa ; Bóhólníihii bitsits'aa' dílzinii bee aha'deet'áanii bii' sinilii David bikin haal'áhídóó Dził Záíyan hoolyéhídóó ch'ídeidoo'ááł biniyé .
11:8:002:0	Áádóó Ízrel dine'é diné danilínígíí t'áá ałtso t'áá bí hodílzingo áłah ná'ádleeh góne' aláahgo naat'áanii Sálaman yaa áłah silį́į́' ; tsosts'id nídízííd Ííthanim nídízídígíí binih dayiił'a' .
11:8:003:0	Áko Ízrel dine'é aląąjį' naazíinii neheeskaigo nááda'iiłniihii éí Bóhólníihii bitsits'aa' dílzinii nídeidii'ą́ .
11:8:004:0	Áádóó Bóhólníihii bitsits'aa' dílzinii índa níbaal bii' dahozdísinii áádóó łeets'aa' dadiyinii níbaal bii' hodílzinii biyi' chodao'ínígíí éí nááda'iiłniihii índa Líívai dine'é áádę́ę́' hadayiizhjaa' .
11:8:005:0	Áko aláahgo naat'áanii Sálaman áádóó Ízrel dine'é baa áłah silį́'ígíí t'áá bił tsits'aa' dílzinii bidááhdóó nijíkaigo dibé áádóó béégashii doo jóołta' ánéelą́ą́'góó didlidgo nááhániihii náádajiisnii' .
11:8:006:0	Áádóó nááda'iiłniihii éí Bóhólníihii bitsits'aa' dílzinii bee aha'deet'áanii bii' sinilii kin bii' sohodizin biyi' t'áá bá haz'ą́ąjį' ts'ídá agháago hodiyingo haz'ánígíí diyingo naal'a'í chérabim bit'a' biyaajį' nideiz'ą́ .
11:8:007:0	Háálá diyingo naal'a'í chérabim bit'a' t'áá áłah tsits'aa' dílzinii bá haz'ánígíí yik'ijį' yiníłbaal áádóó chérabim bit'a' éí tsits'aa' dílzinii índa tsin níyizii bee na'at'áhígíí ałdó' yik'ijį' yiníłbaal .
11:8:008:0	Áádóó tsin níyizii bee na'at'áhígíí éí nineezgo biniinaa ts'ídá agháago hodiyingo haz'ánígíí bidáahjigo hodiyingo haz'ánídóó yit'į́ , nidi tł'óó'dę́ę'go éí doo yit'į́į da , áádóó éí díísh jį́įjį' t'ah t'áá ákót'é .
11:8:009:0	Tsé naakigo bikáa'gi bik'eh ó'oo'níiłii bee ak'e'ashchínígíí t'éiyá tsits'aa' dílzinii bii' sinil ; éí Mózes joolyéii Dził Hórebgi biih jíínil ; Bóhólníihii éí Ízrel dine'é yił aha'deet'ą́ ; íídą́ą́' Ííjip kéyahdę́ę́' náá'néełgo ákóyiilaa .
11:8:010:0	Nít'éé' nááda'iiłniihii hodiyingo haz'ą́ą́dę́ę́' ch'ékaigo Bóhólníihii bikin bii' sohodizin góne' k'os ni' nihisheegizh ,
