11:20:001:1	Éíhab éí Síriya dine'é yik'eh deesdlį́į́'
11:20:001:0	Nít'éé' Síriya dine'é yá aláahgo naat'áanii Ben-héídad éí bisiláo t'áá át'é áłah áyiilaa ; tádiindóó ba'aan naaki aláahgo naat'áanii danilíinii bił áádóó łį́į'da índa tsindaabąąs bijáád naakiígíida bee dashdiiná ; éí bee Samériya kin haal'áhígíí yizéénáshzhiizh áádóó yik'ijį' anaa' dahasłį́į́' .
11:20:002:0	Áádóó kintahjį' Ízrel dine'é yá aláahgo naat'áanii Éíhab bich'į' hane' nidei'áhígíí ayííł'a'go ííłní , Ben-héídad kóní ,
11:20:003:0	Nibéésh łigaii áádóó ni'óola éí shí ; neda'asdzą́ą́ áádóó na'áłchíní t'áá íiyisí danizhónígíí ałdó' shí .
11:20:004:0	Áko Ízrel dine'é yá aláahgo naat'áanii haadzíi'go ání , Shinanit'a'í , aláahgo naat'áanii nílíinii , t'áá ádínínígíí bik'ehgo shí áádóó shee hólónígíí t'áá ałtso ni .
11:20:005:0	Nít'éé' hane' nidei'áhígíí náánákaigo ádaaní , Ben-héídad kót'éego haadzíi'go ání , Nich'į' niséł'a'go ádííniid , Nibéésh łigaii áádóó ni'óola , índa neda'asdzą́ą́ áádóó nada'áłchínída shaa díínił ,
11:20:006:0	ákondi yiską́ągo kwe'é nahalzhiishgo shá nidaal'a'í nich'į' deesh'aałgo nighan góne' índa ná nidaal'a'í dabighan góne' nida'dooch'ił , áko kót'ée doo , t'áá ha'át'íí shį́į́ ílį́įgo síníłnilígíí éí nits'ą́ą́' nídeididooniłgo adeidoojih .
11:20:007:0	Nít'éé' Ízrel dine'é yá aláahgo naat'áanii éí kéyahdóó hastóí aląąjį' naazíinii t'áá ałtso hágo yidííniidgo ání , Shoo , nídanihooshkąąh , daah'į́įgo díí diné é'éts'ih yíkantá , háálá sheda'asdzą́ą́ áádóó shada'áłchínída índa shibéésh łigaiida , shi'óolada yíká shich'į' na'as'a'go , áko t'áadoo dooda bidííniid da .
11:20:008:0	Áko hastóí aląąjį' naazíinii áádóó diné t'áá ałtso ádahałní , T'áadoo yíísíníłts'ą́'í , doo nidi lą́ adííłeeł da .
11:20:009:0	Éí bąą Ben-héídad bá hane' nidei'áhígíí ábijiní , Shinanit'a'í , aláahgo naat'áanii bił dahołne' , Áłtséédą́ą́' ná naal'a'í biniyé bich'į' nisíníł'a' yę́ę éí t' áá át'é ádeeshnííł , nidi díí éí doo ádeeshníił da . Áko hane' nidei'áhígíí dah nídiikaigo Ben-héídad hane' yaa nídeiz'ą́ .
11:20:010:0	Áádóó Ben-héídad hach'į' anáá'ííł'a'go ání , Samériyadóó łeezh yílá hadeezbingo éí diné shikéé' yikahígíí t'áá ałtso bá dabíighah ládą́ą́' shí ałdó' t'ah yówehgo shidiyin danilíinii ákódashidoolííł .
11:20:011:0	Áko Ízrel dine'é aláahgo binanit'a'í haadzíi'go ání , Bił dahołne' , T'áá háiida béésh éé' háidii'nilígíí ádaa has'nihígi át'éego éí béésh éé' biishdoogáłígíí ádaa hojó'niih lágo .
11:20:012:0	Nít'éé' Ben-héídad chaha'oh góne' aláahgo naat'áanii danilíinii yił da'adlą́ągo díí hane' yidiizts'ą́ą́' , áko bá nidaal'a'í ííłní , Bich'į' ni'ahi'doohnííł . Áko kin haal'á yik'ijį' ni'ahi'dee'nil .
