11:22:001:1	Maikéíyah éí Éíhab áádóó Jiiháshafat bik'eh hodidoodleeł yaa hoolne'
11:22:001:0	Áko Síriya dine'é áádóó Ízrel dine'é bita'gi doo anaa' hólǫ́ǫ́góó táá' nááhai .
11:22:002:0	Nít'éé' táá' náhááh binih Júdah dine'é yá aláahgo naat'áanii Jiiháshafat éí Ízrel dine'é yá aláahgo naat'áanii yich'į' níyá .
11:22:003:0	Áádóó Ízrel dine'é yá aláahgo naat'áanii bá nidaal'a'í ííłní , Gíliyad kéyahdi Réímath kin haal'áhígíí éí nihígo t'óó ádahodíníilzéé' , doo nidi Síriya dine'é yá aláahgo naat'áanii bighadadiniit'aah da . Da' éísh nihił béédahózin ?
11:22:004:0	Áko Jiiháshafat ííłní , Réímath-gíliyad kin haal'áágóó anaa' biniyé daats'í shił díí'ash ? Áádóó Jiiháshafat éí Ízrel dine'é yá aláahgo naat'áanii ííłní , Shí t'áá nigi ánísht'é ; shidine'é éí nidine'égi ádaat'é ; dashilį́į́' ninilį́'ígi ádaat'é .
11:22:005:0	Áádóó Jiiháshafat éí Ízrel dine'é aláahgo binanit'a'í ííłní , Nánooshkąąh , áłtsé díí jį́ Bóhólníihii bínabídíłkid .
11:22:006:0	Nít'éé' Ízrel dine'é aláahgo binanit'a'í éí náásgóó áhodooníłígíí yaa dahalne'ii dį́įdi neeznádiingo diné áłah áyiilaago ííłní , Réímath-gíliyad daats'í bich'į' dishbááh , doodaii' ááhodeesht'įįł daats'í ? Áko ádaaní , Ákóde dínááh , háálá Bóhólníihii éí aláahgo naat'áanii yeididoo'ááł .
11:22:007:0	Áko Jiiháshafat ání , Díí kǫ́ǫ́ dahalne'ígíísh binaashiijí Bóhólníihii yá halne'ii nabídídíilkiłígíí doo ła' naagháa da ?
11:22:008:0	Áádóó Ízrel dine'é aláahgo binanit'a'í éí Jiiháshafat ííłní , Diné ła' t'ah yidziih , éí Ímlah biye' Maikéíyah ; éí shį́į́ hwee Bóhólníihii nabídídíilkił , nidi éí jooshłá , háálá yá'át'éehii doo shídéét'i'góó t'éí shaa halne' , nidi doo yá'áshóonii t'éiyá yee shaa halne' . Nít'éé' Jiiháshafat ání , Aláahgo naat'áanii nílíinii , t'áadoo ádíníní .
11:22:009:0	Nít'éé' Ízrel dine'é yá aláahgo naat'áanii éí siláo binanit'a'í ła' hágo yidííniidgo ííłní , Tsxį́įłgo , Ímlah biye' Maikéíyah kwe'é bił nánít'aash .
11:22:010:0	Áko Ízrel dine'é aláahgo binanit'a'í índa Júdah dine'é aláahgo binanit'a'í Jiiháshafat éí bi'éénééz yiih yí'áazhgo Samériya kin haal'á bidáń'dítį́įhgi t'áá bíni' haz'ą́ą́ léi'gi t'áá ał'ąą bibikáá'dóó nahat'áii yikáá' dah siké , áko náás áhodooníiłii yaa dahalne'ii t'áá ałtso hadááhdóó dahoolne' .
11:22:011:0	Áádóó Kiinéíyanah biye' Zedekáíyah éí béésh yee adee' áyiilaago ání , Bóhólníihii kóní , Díí bee Síriya dine'é ałtso asíníłdįįdjį' bighá da'dííshish .
11:22:012:0	Nít'éé' dahalne'ii t'áá ałtso t'áá ákót'éego náás áhodoonííł yaa dahoolne'go ádaaní , Nílááh , Réímath-gíliyad góde dínáahgo ła' nilééh , háálá Bóhólníihii éí aláahgo naat'áanii yílák'eididoo'ááł .
11:22:013:0	Áko hane' bił eel'a'go Maikéíyah hágo bidiní bi'doo'niidígíí hach'į' haadzíi'go ání , Jó , k'ad dahalne'ii t'áá ła' saad yá'át'éehii yee aláahgo naat'áanii yich'į' hadaasdzíí' ; bíni'dii nizaad t'áá éí dabizaadígi át'ée doo ; yá'át'éehii t'éiyá bee hadíídzihgo baa nánooshkąąh .
11:22:014:0	Nidi Maikéíyah ání , Ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego ts'ídá t'áá aaníí Bóhólníihii yee shich'į' haadzí'ígíí t'éí bee hadeesdzih .
11:22:015:0	Kót'éego aláahgo naat'áanii baazhníyá . Áko aláahgo naat'áanii áháłní , Maikéíyah nílíinii , Réímath-gíliyadgóó daats'í dadiibah , doodaii' daats'í áádahodiit'įįł ? Áko ábijiní , Nílááh , ła' daałééh , háálá Bóhólníihii éí aláahgo naat'áanii yílák'eididoo'ááł .
11:22:016:0	Nít'éé' aláahgo naat'áanii áháłní , Haa lá néelą́ą'di bee nich'į' háádeesdzih ? Shą́ą́' , t'áadoo ha'át'íhída bee shił hólne'í , nidi Bóhólníihii bízhi' t'éí bee t'áá aaníinii bee shił hólne' , nidishníi ni' .
11:22:017:0	Áádóó ání , Dibé yaa áhályáanii ádin nahalingo Ízrel dine'é ałtso wók'ą́ą́góó taozhjée'go yiiłtsą́ , áko Bóhólníihii ání , Díí yídahółníihii ádin ; bíni' diné t'áá ałtso bił dahodéezyéelgo dabighangóó anáhákáah le' .
11:22:018:0	Áko Ízrel dine'é aláahgo binanit'a'í éí Jiiháshafat ííłní , Da' doósh nił hweeshne' da ; eii yá'át'éehii doo yee shá haadziih da , nidi doo yá'áshóonii t'éiyá ?
11:22:019:0	Nít'éé' Maikéíyah ání , Éí bąą Bóhólníihii ánínígíí diits'į́į́h ; Bóhólníihii bibikáá'dóó nahat'áii yikáá' dah sidáago yá'ąąshdi dah deínéehii t'áá át'é binish'náájí áádóó binishtł'ají bíighah naazį́įgo yiiłtsą́ .
11:22:020:0	Áádóó Bóhólníihii ání , Háishą' Éíhab yíni' yá'áhodoolíiłgo Réímath-gíliyadgóó doogááł , áko bik'eh hodidoodleeł ? Áádóó ła' kót'éego ní , náánáła' kót'éego náádí'ní .
