11:7:001:1	Sálaman bikin náádaała'ígíí
11:7:001:0	Nidi Sálaman t'áá bí bikin ííléehgo táá'ts'áadah nááhaijį' ts'ídá ałtso áyiilaa .
11:7:002:0	Lébanan kéyahdę́ę́' dilk'is dantsaazii bee kin ályaa : náásee t'ááłáhídi neeznádiindóó ba'aan ashdladiindi ké silá áníłnééz , tsosts'idiindóó ba'aan ashdladi ké silá áníłtéél , índa dego dízdiindóó ba'aan ashdladi ké silá ánízah ; táa'go hadiit'i'go dilk'is hasht'e'nibída'atsélígíí áyah danii'áago áádóó t'áá éí dilk'is bee áah sitáán áyiilaa .
11:7:003:0	Áyah danii'áhígíí dízdiindóó ba'aan ashdla'go éí t'ááł á'í hadiit'i'go adaaz'áhígíí ashdla'áadahgo adaaz'áago bikáa'gi dilk'is hasht'e'nibída'atsélígíí shizhoozh .
11:7:004:0	Ahíłk'ą́ąhgo yah ada'deezdíin doogo ałts'ą́ą́hjí táa'go hadiit'i'go ályaa .
11:7:005:0	Áko dáádílkał áádóó bá adaaz'áhígíí índa yah ahool'áago yah ada'deezdínígíí t'áá ałtso dadik'ą́ ; yah ada'deezdínígíí éí ałts'ą́ą́hjí táa'go hadiit'i' .
11:7:006:0	Áko kin bidáahjigo haz'ánígíí bíyah danii'áa dooígíí ályaa ; éí náásee tsosts'idiindóó ba'aan ashdladi ké silá áhoníłnééz índa dízdiindóó ba'aan ashdladi ké silá áhoníłtéél ; éí bidáahjigo chaha'ohígíí bíyah danii'á ; éí bidáahjigo bikáá' dilk'is nitsaazígíí béétséelgo ha'naa naní'á .
11:7:007:0	Nít'éé' bikáá'dóó hoot'áałii bikáá'dóó ánihodii'aah doo biniyé ánihodiyiit'aah bá haz'ą́ą dooígíí áyiilaa ; biyi'dę́ę́' t'áá át'é dilk'is tsin neheeshjíí' shizhoozhgo ályaa .
11:7:008:0	Chaha'oh bich'ijígo haz'ánígi kin yii' bighan dooleełii t'áá bikáá'dóó hoot'áałii áyiilaa yę́ęgi át'éego áyiilaa . Áádóó Féro bitsi' éí Sálaman be'asdzą́ą dooleełgo néidiiłtínígíí yá kin áyiilaa ; t'áá chaha'oh ályaa yę́ęgi át'éego kin áyiilaa .
11:7:009:0	Díí kin ádaalyaaígíí t'áá át'é éí tł'óó'dę́ę́' áádóó biyi'dę́ę́' t'áá bitł'ááh nástł'indóó dego bikáá' naanídaaz'áajį' áádóó níléí tł'óo'jigo ayóó áníłtso haz'ánígíí bich'į'góó tsé ílíinii bída'néél'ąądígíí bik'ehgo hasht'e'nibída'astséelii bee ni'iich'iishí bee nidahaashch'iizh .
11:7:010:0	Atł'ááh nástł'inii éí tsé ílíinii ayóó ádaníłtsogo , ła' ashdla'áadahdi , ła' éí naakits'áadahdi ké naazlá ádaníłtsogo ádaalyaa .
