11:15:001:1	Abáíjam nant'áá nít'éé'
11:15:001:0	Áko nít'éé' Nííbat biye' Jerobówam aláahgo naat'áanii nilį́įgo tseebííts'áadah náhááh binih Abáíjam éí Júdah dine'é yinanit'a'í silį́į́' .
11:15:002:0	Táá' nááhaijį' Jerúsalemgi aláahgo naat'áanii nilį́į́ nít'éé' . Bimá Méíyakah wolyéii éí Abíshalam bitsi' nilį́į́ nít'éé' .
11:15:003:0	Áádóó hazhé'é yę́ę halą́ąjį' yee ni'iisíí' yę́ę t'áá át'é bee ha'át'e'go joogááł nít'éé' , áko hazhé'é David yę́ę bijéí yee Bóhólníihii biDiyin God yił t'áá ákwii át'é yę́ęgi át'éego doo joogáał da nít'éé' .
11:15:004:0	Azhą́ ákót'ée nidi haye' hakéé' góne' dah yidínóołdaał áádóó Jerúsalem niłdzilgo íidoolííł biniyé David binahjį' Bóhólníihii haDiyin God Jerúsalemgi bee adinídíin dooleełii haidiní'ą́ ,
11:15:005:0	háálá David yę́ę bíiníłką́ą́dę́ę́' Bóhólníihii binááł t'áá ákogi ájoonííł nít'éé' índa yee hach'į' haadzí'ígíí t'áadoo bits'ą́ąjigo ádziidzaa da ; t'áá hazhó'ó Het diné ła' Yuráíyah bee ádił adzisiih yę́ę t'éiyá .
11:15:006:0	Áko Abáíjam bíyoołkááłdą́ą́' Riihobówam áádóó Jerobówam t'áá áłahjį' yił anaa' hółǫ́ǫ́ nít'éé' .
11:15:007:0	Áko Abáíjam yaa naayáhígíí t'áá át'é índa íídą́ą́' ádahóót'įįdígíí éí Júdah dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo . Íídą́ą́' Abáíjam áádóó Jerobówam yił anaa' hółǫ́ǫ́ nít'éé' .
11:15:002:1	Éísa nant'áá nít'éé'
11:15:008:0	Áádóó Abáíjam éí dabizhé'é yę́ę ada'iishxaazhígi át'éego i'jííłhaazhgo David yę́ę bikin haal'áagi yóó'áho'diilyaa , áko haye' Éísa hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́' .
11:15:009:0	Jerobówam éí Ízrel dine'é yinant'áago naadiin náhááh binih Éísa éí Júdah dine'é yinanit'a'í silį́į́' .
11:15:010:0	Áádóó dízdiindóó ba'aan t'ááłá'í nááhaijį' Jerúsalemgi aláahgo naat'áanii nilį́į́ nít'éé' . Bimá éí Méíyakah wolyéii éí Abíshalam bitsi' nilį́į́ nít'éé' .
11:15:011:0	Bóhólníihii binááł Éísa éí hazhé'é David yę́ę t'áá ákogi át'éego hináá nít'éé' yę́ęgi át'éego jiináá nít'éé' .
11:15:012:0	Diné ahaa ninádaaldeehígíí kéyahdóó nahjį' hazhnííłkaadgo hazhé'é éí eda'alyaii ádayiilaa yę́ę t'áá át'é nahjį' kójiilaa .
