11:19:001:1	Iiláíjah éí Hórebgóó anííchą́ą́'
11:19:001:0	Áko Éíhab éí Iiláíjah yaa naayáhígíí t'áá át'é áádóó Béíyal yá dahalne'ii t'áá ałtso diltłish yee neistseedígíí Jézebel yił hoolne' .
11:19:002:0	Nít'éé' Jézebel hane' yił naal'a'ígíí ła' Iiláíjah yich'į' ayííł'a'go ání , Yiską́ągo kóhoodzaago diné nisíníłtseed yę́ęgi át'éego doo ákóniishłaa ládą́ą́' shí ałdó' t'ah yówehgo shidiyin danilíinii ákódashidoolííł .
11:19:003:0	Áko éí baa ákozniizį́į'go nízhdii'na'go hwe'iina' bąąh hą́ą́sniizį́į'go Júdah dine'é bikéyah Bíyer-shííbagóó jiníyá ; ákwii há naal'a'í nizhníłtį́ .
11:19:004:0	Áádóó hó éí honoojíígóó ła'a jį́ oodááł bíighahjį' nizhníyáago gad biyaagi dzineezdá , áko dazdootsaałígíí ádá jííkeedgo ájíní , K'adí , shiBóhólníihii nílíinii , she'iina' náádiidlé , háálá dashizhé'é yę́ę doo bitisdi ánísht'ée da .
11:19:005:0	Kót'éego gad biyaagi jineeztį́įgo ajiiłhaazh , shoo , diyingo naal'a'í hodeelchidgo áháłní , Nídiidáahgo íyą́ .
11:19:006:0	Áko jideezghal nít'éé' , shoo , tsííd bikáa'gi łees'áán sit'éé lá , áádóó jinées'ání bíighahgi tóshjeeh yázhí bee tó si'ą́ . Áko ajííyą́ą́dóó tó joodlą́ą'go názneeztį́ .
11:19:007:0	Diyingo naal'a'í naakidi haa náánádzáá góne' hodeelchidgo ání , Nídiidáahgo íyą́ , háálá ayóó ánízáágóó díníyá .
11:19:008:0	Áádóó nízhdii'na'go ajííyą́ą́' áádóó tó joodlą́ą'go Diyin God biDził Hórebgóó dízdiin jį́ áádóó dízdiin tł'éé' éí ch'iyánígíí bee hadziilgo jiníyá .
11:19:009:0	Áádóó tsé'áán léi'gi jiníyáago ákwii hwiiską́ , nít'éé' jó , Bóhólníihii hach'į' haadzíi'go áháłní , Iiláíjah kwe'é lá ha'át'íí baa naniná ?
11:19:010:0	Áko ájíní , T'áá ałtsoní bee Bóhólníihii Diyin God bá haleego ásdzaa . Jó , Ízrel dine'é nibee aha'deet'ą́ yóó'adeideez'ą́ ; nibikáá' nááda'iiniihí dayiistł'ííd , áádóó ná dahalne'ii diltłish yee nideistseed , áko shí , t'áá shí t'éiyá , ch'ééyá , áko k'ad dashidiyoołhééł biniyé hadashintá .
11:19:011:0	Nít'éé' Diyin God áháłní , Nílááh , ch'ínínáahgo Bóhólníihii binááł dził bikáá'dóó dah yiizįįh . Áko shoo , Bóhólníihii kǫ́ǫ́ ch'íníyá , nít'éé' ayóó át'éego bidziilgo deeyolgo daadził nidahastǫ' índa Bóhólníihii binááł tsé dadíízéí , nidi Bóhólníihii éí níyol doo yee honíle' da , áádóó ííyoldóó bik'ijį' ni' nahaasnáá' , nidi Bóhólníihii ni' hideesná'ígíí doo yee honíle' da ,
11:19:012:0	áádóó ni' hideesnáá'dóó bik'ijį' éí kǫ' hadíínáád , nidi Bóhólníihii éí kǫ' doo yee honíle' da , áádóó kǫ' hadíínáádóó bik'ijį' éí t'įįhdígo iinéé' diists'ą́ą́' .
11:19:013:0	Kót'éego Iiláíjah éí yidiizts'ą́ą'go bi'éétsoh binii' yik'íísti'go ch'íníyáago tsé'áán bich'é'édą́ą'gi jiizį' . Jó , iinéé' dzidiizts'ą́ą'go áháłní , Iiláíjah kwe'é lá ha'át'íí baa naniná ?
11:19:014:0	Áko ájíní , T'áá ałtsoní bee Bóhólníihii Diyin God bá haleego ásdzaa . Jó , Ízrel dine'é nibee aha'deet'ą́ yóó'adeideez'ą́ ; nibikáá' nááda'iiniihí dayiistł'ííd , áádóó ná dahalne'ii diltłish yee nideistseed , áko shí , t'áá shí t'éiyá , ch'ééyá , áko k'ad dashidiyoołhééł biniyé hadashintá .
11:19:015:0	Áádóó Bóhólníihii áháłní , Nílááh , Damáskas honoojítahjigo nídídááh ; áadi yíníyáago Házeiyel éí Síriya dine'é yá aláahgo naat'áanii nilį́į doo biniyé ak'ah bik'i yeidííziłgo bidíísį́h ;
11:19:016:0	Nímshai biye' Jííhu éí Ízrel dine'é yá aláahgo naat'áanii nilį́į doo biniyé ak'ah bik'i yeidííziłgo bidíísį́h índa Éíbel-miihólahdóó Shéífat biye' Iiláísha éí nitsásk'eh góne' Diyin God yá halne' doo biniyé ak'ah bik'i yeidííziłgo bidíísį́h .
11:19:017:0	Áko baa hoolzhiizhgo kót'ée doo ; diné t'áá háiida Házeiyel bidiltłish yiyaa haalwodígíí éí Jííhu hodiyoołhééł , áádóó diné t'áá háiida Jííhu bidiltłish yiyaa haalwodígíí éí Iiláísha hodiyoołhééł .
11:19:002:1	Iiláísha bíká áhodoo'niid
11:19:018:0	T'ahdii Ízrel dine'é bitahgi tsosts'idi míilgo t'ah baa áháshyą́ ; éí t'áá ałtso t'ah doo Béíyal yich'į' nitsidadigeeh da ; t'áá ałtso t'ah doo nidi dayiits'ǫs da .
11:19:019:0	Áádóó Iiláíjah dashdiiyáago Shéífat biye' Iiláísha bik'ízhníyá ; éí hadáahgi naakits'áadah yilt'éego béégashii yee nidahwiiłdlaad lá ; Iiláísha éí naakits'áadah góne' hoołdlałgo Iiláíjah hwíighah dah diiyáago bi'éétsoh hak'ijį' iiyííłhan .
11:19:020:0	Áádóó béégashii t'áá ákǫ́ǫgo Iiláíjah yikéé' nídiilwodgo ání , T'áá shǫǫdí , shíni'dii shizhé'é áádóó shimá deests'ǫs , áko índa nikéé' yisháał doo . Áko ábijiní , Nílááh , t'ą́ą́' nídídááh , haashą' niishłaa ?
11:19:021:0	Áko bits'ą́ą́' t'ą́ą́' dah nízhdiidzáago béégashii nízhdii'eezhgo nidzistseed , áko bee nihwiildlaadí bee bitsį' jishbéezhgo diné bazhníłtsoodgo dayííyą́ą́' . Áádóó nízhdii'na'go Iiláíjah bikéé' dashdiiyáago bá nidzis'a' .
