11:11:001:1	Sálaman doo ákwii deeyáa da áádóó bi'ana'í
11:11:001:0	Áko nít'éé' aláahgo naat'áanii Sálaman éí Féro bitsi' biłgo asdzání dé'éyóní danilíinii t'óó ahayóí ayóó'áyó'ní , éí Mó'ab dine'é , Áman dine'é , Íídam dine'é , Sáídan dine'é índa Het dine'é asdzání danilį́ ;
11:11:002:0	Bóhólníihii éí Ízrel dine'é yich'į' haadzíi'go ání , Díí ał'ąą dine'é t'áadoo bá nida'oohyehí índa t'áadoo nihá nida'ayehí , háálá t'áá aaníí nihida'doolohgo bidiyin dabidi'níinii bikéé' yóó'ádanihidoo'ish . Sálaman éí díí ba'ákéí danilíinii doo yidóchííd át'éégóó ayóó'áyó'ní .
11:11:003:0	Hwe'asdzą́ą́ danilíinii éí naat'áanii bitsi' danilį́įgo tsosts'idi neeznádiin áádóó ba'ákéí éí táadi neeznádiin , áko hweda'asdzą́ą́ hajéí łahgo ádayiilaa .
11:11:004:0	Ákódzaago Sálaman ho'niitihgo hwe'asdzą́ą́ danilíinii diyin dabidi'níinii bikéé' yóó'adahaazlóóz ; hazhé'é David yę́ę éí t'áá ákogi át'éego níyá , nidi hó éí Bóhólníihii haDiyin God bich'į' doo t'áá ákogi ájít'į́į́góó jiníyá .
11:11:005:0	Jó , Sálaman éí Sáídandóó asdzą́ą́ diyin bidi'níinii Áshtoreth wolyéii áádóó Áman dine'é bidiyin doo yildinii Mílkam wolyéii yikéé' niníyá .
11:11:006:0	Áádóó Sálaman éí Bóhólníihii binááł doo yá'áshónígíí ájíít'įįd ; hazhé'é David yę́ę doo naaki nilį́į́góó Bóhólníihii yikéé' níyá , nidi hó éí nee'nijį' t'áadoo ákódziidzaa da .
11:11:007:0	Nít'éé' Sálaman éí Jerúsalemdóó ha'a'aahjígo ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaa éí Mó'ab dine'é bidiyin doo yildinii Kíímash wolyéii áádóó Áman dine'é bidiyin doo yildinii Mólek wolyéii yá hasht'ehoolaa .
11:11:008:0	Áádóó náánáłahdę́ę́' asdzání nidaakaii hoda'asdzánígíí éí łikání halchingo dilidii áńdayiil'įįh áádóó náá'iiniihii bee bidiyin dabidi'níinii yich'į' nááda'iiłniih biniyé t'áá ákót'éego ałdó' bá hasht'edahojiilaa .
11:11:009:0	Bóhólníihii éí Sálaman yich'į' báhóóchįįd , háálá Bóhólníihii éí Ízrel dine'é biDiyin God naakidi hach'į' yit'íní í'diilyaa yę́ę doo jiniizį́į́'góó bits'ázhníyá ,
11:11:010:0	áádóó diyin dabidi'níinii doo bikéé' dashdidoogááłgóó Bóhólníihii díí yee hach'į' haadzí'ígíí t' áadoo bik'eh hojííł'įįd da .
11:11:011:0	Éí bąą Bóhólníihii éí Sálaman ííłní , Díí kwíinidzaaígíí áádóó shibee ałha'deet'ą́ índa bee nihodiish'aahii bee haasdzí'ígíí t'áadoo bik'eh hwííníł'įįdígíí biniinaa bee nóhólníhígíí t'áá aaníí nighahideeshxą́ąłgo ná naal'a'í nilíinii baa dideesh'ááł .
11:11:012:0	Azhą́ ákót'ée nidi nizhé'é David yę́ę binahjį' éí níyoołkááłgóó doo ákódeeshníił da , nidi niye'go bighahideeshxą́ą́ł .
11:11:013:0	Kót'ée nidi bee óhólníhígíí doo t'áá át'é nighahideeshxą́ął da , nidi shá naal'a'í David yę́ę binahjį' áádóó Jerúsalem náhodii'ánígíí binahjį' Ízrel naakits'áadahgo dine'é danilíinii bitahdę́ę́' t'ááłá'í dine'égo éí niye' baa dideesh'ááł .
11:11:014:0	Nít'éé' Bóhólníihii éí ana'í ła' Sálaman yik'ijį' tsíideeskééz ; éí Héídad wolyéego Íídam dine'é aláahgo naat'áanii ba'áłchíní ła' nilį́ .
11:11:015:0	Íídą́ą́' David yę́ę Íídamgi naaghá yę́ędą́ą́' áádóó siláo dah deínéehii yinanit'a'í nilíinii Jó'ab yę́ę Íídam dinéhígíí t'áá ashiikéjį' ałtso neistseedóó bik'ijį' neistseedígíí yóó'ádeiile' yę́ędą́ą́' ,
11:11:016:0	( hastą́ą́h nídeezidjį' Íídam dinéhígíí t'áá ashiikéjį' ałtso nidajistseedjį' Jó'ab áádóó Ízrel dine'é t'áá át'é bił t'áá ákwe'é nijikai nít'éé' )
