11:21:001:1	Éíhab áádóó Néíbath bich'il na'atł'o'ii yíl'áhígíí
11:21:001:0	Kódahóót'įįdóó bik'ijį' Jézriyel kin haal'áádóó diné nilíinii Néíbath éí Jézriyelgi Samériya kéyahdóó aláahgo naat'áanii Éíhab bikin bíighahgóó hach'il na'atł'o'ii yíl'á .
11:21:002:0	Áko Éíhab éí Néíbath yich'į' haadzíi'go ání , Ch'il daadáanii k'éédíshdléeh doo biniyé nich'il na'atł'o'ii yíl'áhígíí shaa diní'aah , háálá éí shighanjį' t'áá áyídí ; ch'il na'a'tł'o'ii k'éédílyééh bá yá'áhoot'éhígi bideená naa hodideesh'ááł ; éí doodaii' , nił yá'át'ééh ládą́ą́' t'áá béeso bą́ą́h ílį́į́ góne' bik'é naa deeshnił .
11:21:003:0	Áádóó Néíbath éí Éíhab ííłní , Dooda lą́ą , dashizhé'é yę́ę daabíí' nít'é'ígíí doo naa dideesh'áał da . Bóhólníihii dooda shó'ní .
11:21:004:0	Jézriyeldóó diné nilíinii Néíbath hach'į' yee haadzíí' , Dashizhé'é yę́ę daabíí' nít'é'ígíí doo naa dideesh'áał da , hodííniidii bik'ee Éíhab bíni' si'ą́ągo doo bił haldingóó bikin góne' yah anáádzá . Áko Éíhab bitsásk'eh yikáá' neeztį́įgo níwehjigo náshjizhgo doo t'áá k'ad ííyą́ą' da .
11:21:005:0	Nidi hwe'asdzą́ą́ Jézebel haa níyáago áháłní , Ha' át'íísh bąąh níni'go doo íyą́ą da ?
11:21:006:0	Áko be'asdzą́ą́ ííłní , Jézriyeldóó diné nilíinii Néíbath bich'į' haasdzíi'go ábidishní , Nich'il na'atł'o'ii yíl'áhígíí béeso bideená shaa diní'aah ; doodaii' , nił yá'át'ééh ládą́ą́' ch'il na'a'tł'o'ii yíl'áhígíí náánáła' bideená naa dideesh'ááł ; nít'éé' haadzíi'go ání , Shich'il na'atł'o'ii yíl'áhígíí doo naa dideesh'áał da , shidííniid .
11:21:007:0	Nít'éé' hwe'asdzą́ą́ Jézebel áhodííniid , K'ad Ízrel dine'é bibee óhólníihii binanít'á ; nídiidáahgo íyą́ , índa nijéí bił hózhǫ́ǫ le' ; shí Jézriyeldóó diné nilíinii Néíbath bich'il na'atł'o'ii yíl'áhígíí naa dideesh'ááł .
11:21:008:0	Áko nít'éé' Jézebel éí naaltsoos Éíhab bízhi' dabikáa'go índa biyoostsah bee bik'i nida'iist'ą́ągo áádóó t'áá éí bee bidáda'deeshjée'go hastóí aląąjį' naazíinii índa aghá dahideezíinii kin haal'áagi Néíbath yił kéédahat'ínígíí yich'į' ádayiilaa .
11:21:009:0	Nít'éé' naaltsoos ádayiilaaígíí éí bii' kóníigo dabikáá' , Doo adánígíí daoł'aah , áádóó Néíbath éí diné bitahgi alą́ąjį' dah bidínóołdaał ,
11:21:010:0	áádóó diné doo yá'áshóonii naakigo bidááhdóó dah bidínóołkeeł , éí hak'ijį' nahodoolnih kóníigo , Diyin God áádóó aláahgo naat'áanii baa'ihgo bá háínídzíí' yididooniił . Áádóó tł'óó'góó ch'ídadoołtéełgo bił nidazdoołniił .
11:21:011:0	Áko hastóí aląąjį' naazíinii índa aghá dahideezíinii hakin haal'áagi kéédahat'ínígíí éí naaltsoos bii' ak'e'ashchį́įgo Jézebel hach'į' ádayiilaaígíí bik'ehgo ádadziidzaa .
11:21:012:0	Áádóó doo adą́ą da daaníigo yee dahooł'a'go Néíbath éí diné bitahdóó alą́ąjį' dah deineesdá .
