11:5:001:1	Sálaman éí aláahgo naat'áanii Háíram yił aha'deet'ą́
11:5:001:0	Áádóó Táir kin haal'áádóó aláahgo naat'áanii Háíram éí Sálaman bizhé'é yitsásk'ehgi aláahgo naat'áanii náánídlį́į doo biniyé ak'ah yik'i yayiidziidgo bíísį́į'go yaa hóónii'go bá nidaal'a'í ákǫ́ǫ́ ayííł'a' , háálá Háíram éí David yę́ę áłahjį' ayóó'áyó'níí nít'éé' .
11:5:002:0	Áádóó Sálaman éí Háíram yich'į' i'ííł'a'go ání ,
11:5:003:0	Díí nił bééhózin : shizhé'é David yę́ę Bóhólníihii haDiyin God bízhi' binahjį' kin bii' sohodizin ázhdoolíiłgo t'áadoo yee hadi'ní'ą́ą da , háálá hanaagóó t'áá ałtsodę́ę́' hach'į' anaa' nídahoołeełgo bąą Bóhólníihii ałtso hayaa ayííniljį' t'áadoo há bohónéesdzą́ą da .
11:5:004:0	Nidi k'ad éí Bóhólníihii shiDiyin God háá'áyį́į́h t'áá ałtsojį' sheidiní'ą́ , áko ana'í , doodaii' doo yá'áshóonii doo haleeh da .
11:5:005:0	Áko , shoo , Bóhólníihii shiDiyin God bízhi' binahjį' kin bii' sohodizin ádeeshłííł nisin ; Bóhólníihii éí shizhé'é David yę́ę yich'į' haadzíí' yę́ęgi át'éego , Niye' nitsásk'ehgi bikáá'dóó nahat'áii bikáá' dah bidínéeshdaałígíí dah biníłdáago éí shízhi' binahjį' kin íidoolííł .
11:5:006:0	Éí bąą k'ad díí bee hwiidííł'aałgo Lébanan kéyahdóó gad nitsaa deíl'áhígíí shá deidootsił , áko shá nidaal'a'í éí ná nidaal'a'í yił nidaalnish doo , índa ná nidaal'a'í éí adeenáago nidaalnish dooleełgo bee hwiidííł'aałígíí bik'ehgo nihich'į' ni'iishłée dooleeł ; jó , nił bééhózin : nihitahdóó Sáídan dine'é da'iichįįhgo tsin nidayiich'iishígi át'éego doo ła' nihee hólǫ́ǫ da .
11:5:007:0	Nít'éé' Háíram éí Sálaman haadzí'ígíí yaa hodiizts'ą́ą'go t'áá íiyisí yaa bił nihoozhǫǫhgo ání , Díí jį́ Bóhólníihii baa ha'niih le' ; éí David yę́ę biye' hóyą́ągo yizhchíinii bidine'é ayóó ánéelą́ą'ii yinant'áa doo biniyé beíltį́ .
11:5:008:0	Áádóó Háíram éí Sálaman yich'į' i'ííł'a'go ííłní , T'áadoo le' é biniyé shich'į' i'ííníł'a'ígíí baa nitsísíkééz : éí gad dantsaii áádóó sáípres wolyéii tsin dantł'izii nínízinígíí ná dadiitsił .
11:5:009:0	Áko shá nidaal'a'í éí Lébanan kéyahdę́ę́' tónteeljį' nideidiyooshoł , áádóó ahídahaastł'ǫ́ǫgo bee hwiinił'a'íjį' tónteel bee nihidool'oł , índa áadi táłts'áhidoo'niłgo nididíínił , áádóó índa ch'iyáán nisinígíí éí shighandóó danilíinii shá baa hidí'aah doo .
11:5:010:0	Áko Háíram éí Sálaman yinízinii bik'ehgo gad dantsaii áádóó sáípres wolyéii tsin dantł'izii baazhnínil .
11:5:011:0	Áádóó Sálaman éí Háíram joolyéii tł'oh naadą́ą́' naadiindi mííl bíighahgo kor bee bí'néél'ąądgo éí ch'iyáán át'éego haghandóó danilíinii yaa néí'nił nít'éé' áádóó tóshjeeh naadiingo bee ak'ah doo bąąh chinii yaa néí'nił nít'éé' ; Sálaman éí ákwííł'į́įgo nináháhááh nít'éé' .
11:5:012:0	Áko Bóhólníihii éí Sálaman bee hódzáanii yeidiní'ą́ ; t'áá yee yich'į' haadzíí' yę́ęgi ádzaa , índa Sálaman áádóó Háíram bita'gi hózhǫ́ǫgo haz'ą́ą́ nít'éé' , áko ahíłká aná'ahi'nilchéeh doogo aha'deet'ą́ .
11:5:013:0	Nít'éé' aláahgo naat'áanii Sálaman éí Ízrel dine'é t'áá a łtso bitahdóó t'áá bizááká nidaalnish dooígíí tádiindi mííl yilt'éego náyiizláá' .
11:5:014:0	Áádóó t'ááłá'í náhidizíidgo neeznáadi mííl bíighahgo diné nidadoolnish biniyé Lébanan kéyahgóó béé'jíłnih ; éí t'ááłá'í nídeezidjį' t'éí Lébanandi ninádaalnish ; naaki nídeezidjį' bighandi t'óó nidaakai łeh ; Adonáíram éí naanish biniyé diné náhaasdláa'ii ałkéé' hoo'nił bee hóhólnííh .
11:5:015:0	Áko Sálaman éí tsosts'idiindi mííl yilt'éego hééł nideiyéhígíí índa tseebídiindi mííl dziłdi da'atseełígíí bá nidaalnish nít'éé' ;
11:5:016:0	náábíláahgo Sálaman yá nidaalnishii agháago bídahólníihii táadi mííldóó ba'aan táadi neeznádiin yilt'éego diné nidaalnishígíí yindant'áá nít'éé' .
11:5:017:0	Áko aláahgo naat'áanii díí yich'į' ííł'aadgo tsé ayóó ádaníłtsoii nidayiizhjaa' , éí tsé t'áá íiyisí da'ílíinii ádaat'éego hasht'e'nibída'astséél ; éí bee kin bitł'ááh nástł'inii ádoolnííł biniyé nidayiizhjaa' .
11:5:018:0	Ákót'éego Sálaman bá kin ádeił'íinii índa Háíram bá kin ádeił'íinii áádóó Gííbal kin haal'áádóó dine'é éí kin ádoolnííł biniyé tsin dantsxaazígíí índa tsé hasht'e'niyída'aztséél .
