11:4:001:1	Sálaman bá aląąjį' naazíinii índa siláo dah deínéehii yinanit'a'í danilíinii
11:4:001:0	Áko aláahgo naat'áanii Sálaman éí Ízrel dine'é t'áá át'é binanit'a'í jílį́ .
11:4:002:0	Díí naat'áanii danilį́įgo dah joo'ishígíí éí náá'iiłniihii Zéídak biye' Azaráíyah lá ,
11:4:003:0	áádóó Sháísha biye'ké Elihóref áádóó Aháíjah éí naaltsoos ííł' íní nilį́ , áádóó Aháílad biye' Jiiháshafat éí naat'áaniishchíín nilį́ ,
11:4:004:0	áádóó Jiihóíyada biye' Biinéíyah éí siláo dah deínéehii yinanit'a'í nilį́ , índa Zéídak áádóó Abáíyathar éí náá'iiłniihii nilį́ ,
11:4:005:0	áádóó Néíthan biye' Azaráíyah éí naat'áanii danilíinii yilą́ąjį' sizį́ , índa Néíthan biye' Zábad éí agháago naat'áanii nilį́įgo aláahgo naat'áanii yik'is nilį́ ,
11:4:006:0	áádóó Aháíshar éí hooghan haz'ą́ągi hólónígíí ts'ídá t'áá ałtso bee hóhólnííh , áádóó Ábda biye' Adonáíram éí naanish bí'nílchééh bee hóhólnííh .
11:4:007:0	Sálaman éí naakits'áadahgo naat'áanii danilíinii Ízrel dine'é t'áá ałtso yindant'áago ájiilaa ; éí aláahgo naat'áanii índa bighandóó danilíinii t'áá ałtso bá ch'iyáán áłah ádadzósin : t'ááłá'í jinítínígo nínáhahjį' t'ááłá'í nínádízi'jį' ch'iyáán nishódajiyoołt'eehgo ałkéé' dziznil .
11:4:008:0	Díí éí dabízhi' : Her biye' éí Dził Íífreiyimdę́ę́' ch'iyáán nináyiijááh .
11:4:009:0	Dííkar biye' éí Méíkaz kin shijaa'dę́ę́' , Sheiyálbim kin shijaa'dę́ę́' , Beth-shíímesh kin shijaa'dę́ę́' índa Íílan-beth-héínan kin shijaa'dę́ę́' ch'iyáán nináyiijááh .
11:4:010:0	Híísed biye' éí Arábath nahós'a'dę́ę́' , t'áá éí Sókoh kin haal'á bídéét'i'go áádóó Híífer kéyah t'áá át'é bits'ą́ą́dę́ę́' ch'iyáán nináyiijááh .
11:4:011:0	Abínadab biye' éí Dor kéyah t'áá át'é bits'ą́ą́dę́ę́' ch'iyáán ninááyiijááh ; Sálaman bitsi' Téífath éí hwe'asdzą́ą́ ;
11:4:012:0	Aháílad biye' Béíyana éí Téíyanak kin haal'áádę́ę́' áádóó Megído kin haal'áádę́ę́' índa Beth-shíyan nahós'a' t'áá át'é bits'ą́ą́dóó éí Jézriyel kin haal'á biyeigóó Zartéínah haz'ání bíighahgóó nahós'a'ígíí índa Beth-shíyan kin haal'áádóó Éíbel-miihólah kin shijaa'jį' éí Jákniyam kin shijaa' bilááhdę́ę́' ch'iyáán nináyiijááh .
11:4:013:0	Gííber biye' éí Réímath-gíliyad kin haal'áádę́ę́' áádóó Manáseh biye' Jéíyer bikin dah naazhjaa'ígíí , t'áá éí Gíliyad kéyahgi nahós'a'dóó áádóó Béíshan kéyahgi Árgab nahós'a'gi hastą́diingo kin hadaas'á ditą́ągo binaa ahééda'astł'inii áádóó béésh łitsoii bee dáń'da'dilkałgo ádaalyaaídę́ę́' ch'iyáán nináyiijááh .
11:4:014:0	Ído biye' Ahínadab éí Méíhanéíyim kin shijaa'dę́ę́' ch'iyáán nináyiijááh .
11:4:015:0	Ahímeiyaz éí Náftalaidę́ę́' ch'iyáán nináyiijááh ; Sálaman bitsi' Básmath hwe'asdzą́ą́ .
11:4:016:0	Húshai biye' Béíyanah éí Ásher dine'é bikéyahdę́ę́' áádóó Éílath nahós'a'dę́ę́' ch'iyáán nináyiijááh .
11:4:017:0	Parúwah biye' Jiiháshafat éí Ísakar dine'é bikéyahdę́ę́' ch'iyáán nináyiijááh .
11:4:018:0	Íílah biye' Shímiyai éí Bénjamin dine'é bikéyahdę́ę́' ch'iyáán nináyiijááh .
11:4:002:1	Sálaman bibee hódzą́ áádóó náás adeezlá
11:4:019:0	Yúrai biye' Gííber éí Gíliyad kéyahgi Ámor dine'é aláahgo binanit'a'í Sáíhan yę́ę bikéyah nít'éé' yę́ędę́ę́' áádóó Béíshan dine'é aláahgo binanit'a'í Ag yę́ę bikéyah nít'éé' yę́ędę́ę́' ch'iyáán nináyiijááh ; t'áá bí t'éiyá díí kéyahgi ch'iyáán yinanit'a'í nilį́ .
11:4:020:0	Júdah dine'é áádóó Ízrel dine'é éí tónteel bibąąhgóó séigi ánéelą́ą'go t'óó ahóóyóí ; éí da'ayą́ągo áádóó da'adlą́ągo bił nidahoozhǫǫh .
11:4:021:0	Sálaman yinant'áii éí Yufréítiiz toohdóó Filístiya dine'é bikéyahjį' índa Ííjip dine'é bihoodzodóó aláahgo bee ídahólníihgo bił nidahaz'áanii t'áá át'é yee bóhólnííh , áko aa dadoolyéełii Sálaman bich'į' adajiijáahgo Sálaman ni'níłdįįd bijį́įjį' bá nidajil'a' nít'éé' .
11:4:022:0	Sálaman bighan haz'ą́ą́dóó éí ła'a jį́ ak'áán kor wolyéhígíí tádiin bíighahgo dabich'iyą' , índa tł'oh naadą́ą́' bidee'í ak'áán kor wolyéhígíí hastą́diin bíighahgo dabich'iyą' ,
11:4:023:0	áádóó béégashii daneesk'ahígíí neeznáá áádóó dahootsogóó béégashii danilk'ahígíí naadiingo áádóó dibé neeznádiingo áádóó bįįhką' daalchí'ígíí áádóó jádí áádóó jádítsoh índa naat'a'ii daneesk'ahígíí ałdó' dabich'iyą' .
11:4:024:0	Jó , Yufréítiiz tooh e'e'aahjigo Tífsah kin shijaa'dóó níléí Géíza kin haal'áajį' díí kéyah t'áá náhwiist'ą́ą́ nít'éé' ; ákǫ́ǫ́ aláahgo naat'áanii dajílínígíí t'áá ádzíłtso hwee ádíhólnííh , áko hakéyah t'áá níłtéél nít'éé' binaagóó diné bił dahodéezyéelgo kééhojit'į́ .
11:4:025:0	Áádóó Júdah dine'é áádóó Ízrel dine'é doo ách'į' nida'jódlíígóó kéédahojit'į́įgo t'ááłá'í jinítínígo Dan kin haal'áádóó Bíyer-shííba kin shijaa'jį' hach'il na'atł'o'ii áádóó hatsin fig sikaadii bee dahozdíltsíidgo Sálaman abíyííłką́ .
11:4:026:0	Áko Sálaman ałdó' tsindaabąąs bijáád naakiígíí łį́į́' bighą́ą́h nídadi'niłígíí dízdiindi mííl índa siláo éí łį́į́' yee nidaabaahígíí naakits'áadahdi mííl bee hólǫ́ .
11:4:027:0	Sálaman yidooyį́įłii índa ná'ádį́įhgi ákwii diné nida'adį́hígíí t'áá ałtso bá ch'iyáán binanit'a'í ádaho'diilyaaígíí hatah hoolzhishgo nínádízi'jį' ch'iyáán nidajiiyeeh nít'éé' ; t'áadoo bídin hóyé'égóó ádajósin nít'éé' .
11:4:028:0	Łį́į́' áádóó łį́į́' nida'ayéhígíí deidoołchoshii nidahidoohééł dahodoo'niid yę́ęjį' t'ááłá'í jinítínígo tł'oh naadą́ą́' bidee'í índa tł'oh naadą́ą́' bitsǫz ákwii nidajiiyeeh nít'éé' .
11:4:029:0	Diyin God éí Sálaman ayóó át'éego yee hodooyąąłii áádóó agháago ak'idi'dootį́įłii índa hótsaago ił ééhodoozįįł yeidiní'ą́ ; t'áá tónteel bibąąhgóó séí ánéelą́'ígíigi ánéelą́ą'go hódzą́ yeidiní'ą́ .
11:4:030:0	Áko Sálaman habee hódzáanii ts'ídá agháago ayóó át'é ; ha'a'aahjigo kéyahgóó kéédahat'ínígíí t'áá át'é bibee hódzáanii áádóó Ííjip dine'é t'áá át'é bibee hódzáanii éí bilááh át'é .
11:4:031:0	Jó , diné t'áá ałtso biláahgo hojíyą́ ; Ézrah dine'é Ííthan joolyéii áádóó Hííman joolyéii , Kálkal joolyéii , Dárda joolyéii , éí Méíhal biye'ké dajílíinii biláahgo hojíyą́ , áko hanaagóó ał'ąą dine'é bitahgóó t'áá át'é hwéého'dílzin .
11:4:032:0	Áko Sálaman éí saad bee hodoodząąłii táadi míilgo yee yáłti' nít'éé' , áádóó biyiin éí miildóó ba'aan ashdla' ánéelą́ą́' nít'éé' .
11:4:033:0	Tsin yíl'áhígíí yaa yáłti'ii éí gad naazkaadii Lébanan kéyahgi deíl'áhígíí níléí hísap kódaníshéhígo ał'ąą ádaat'éii tsé yítł'in biták'izdę́ę́' hadaneesánígíí yaa yáłti'go hahaasdzíí' ; nidaaldlooshii ałdó' , nidaat'a'ii , nidaa'na'ii índa łóó' yaa yáłti'go hahaasdzíí' .
11:4:034:0	Áko ał'ąą ana'í t'áá át'é bitahdę́ę́' ła' nidahaaskaigo Sálaman bibee hódzáanii deidiizts'ą́ą́' ; nahasdzáán bikáá'dóó aláahgo naat'áanii t'áá ałtso Sálaman bibee hódzáanii yaa dahodiizts'ą́'ígíí nida'iis'a' .
