47:4:001:1	Hashtł'ish łeets'aa' bii' t'áá íiyisí ílíinii hólǫ́
47:4:001:0	Éí bąągo Diyin God yee a'ááh nízinii nihee hazlį́'ígíí biniit'aa díí bee neiil'a'go doo nihąąh nahwiikaad da .
47:4:002:0	Nihí baa yádahasinii índa nanil'ingo ó'oolníiłii yóó'adiit'ą́ ; nihí doo na'adlo' bee łí'iicháazh da , doo nidi Diyin God bizaad bee nahwiigizgo baa hwiilne' da , nidi Diyin God binááł t'áadoo bahat'aadí t'áá aaníinii baa hwiilne'go diné t'ááłá'í nítínígo yá'át'éehgo nihaa ákodanízin .
47:4:003:0	Áko azhą́ hane' yá'át'éehii baa hwiilne'ii doo bééhózin da nidi , éí ádabidi'dooldįįłii bídayéełkaahígíí t'éiyá bich'į' ákót'é .
47:4:004:0	Éí hoł nahaz'ą́ą́jí díí nihokáá' diyin áhodil'íinii níłch'i bida'iiníziinii binanit'a'í wolyéii doo da'oodlání dabíni' yił ch'aa yishchį́ , áko Christ , éí Diyin God yináłt'éii bee bits'ádi'nílíidii baa hane' yá'át'éehii bee adinídíín éí nihokáá' diyin áhodil'íinii doo da'oodlání yik'i diiłdíin dooleełgi yits'ą́ąjį' yélná .
47:4:005:0	Háálá doo t'áá nihí ádaa hwiilne' da , nidi Christ Jesus éí Bóhólníihii nilį́įgo baa hwiilne' , índa nihí éí Jesus bá nihinaal'a'í niidlį́įgo hwiilne' .
47:4:006:0	Diyin God éí , Chahałheeł biyi'dę́ę́' adinídíin le' , dííniidii t'áá éí Christ binii' yik'i diiłdíinii nihił béédahodoozįįł biniyé bee bits'ádi'nílííd bee bééhózinii nihijéí yii' dííłdíín .
47:4:007:0	Nidi hashtł'ish łeets'aa' nahoniidlingo díí t'áá íiyisí ílíinii nihii' hólǫ́ , éí ts'ídá aláahdi át'éego adziil nilíinii Diyin God bits'ą́ą́dę́ę́' át'éego bééhózin doo biniyé , t'áá nihí nihits'ą́ą́dóó éí dooda .
47:4:008:0	T'áá ałtsojį' nihich'į' nahwii'náa nidi , doo tsístł'ait'aash da ; t'óó nihił haada nidi , doo nihił áhádįįh da ;
47:4:009:0	atínihi'dil'į́į nidi , doo nihik'i'nichéeh da , naa'anihínídzílghał nidi , doo nanihidi'tseed da .
47:4:010:0	Jesus bits'ą́ą́dę́ę́' iiná ałdó' t'áadoo bahat'aadí nihits'íís bii' hólǫ́ǫgo yidooltsééł biniyé t'áá áłahjį' aniné bee nahodít'éégóó Jesus bá tádiit'aash .
47:4:011:0	Nihits'íís dínóonéłígíí bii' Jesus bits'ą́ą́dę́ę́' iiná t'áadoo bahat'aadí néidooltsééł biniyé t'ah hinii'náago t'áá áłahjį' Jesus bá díníi'néełjį' ninánihi'diit'aah .
47:4:012:0	Áko nihíjí aniné nihinaalnish , nidi aají nihíjí iiná nihindaalnish .
47:4:013:0	Ła' oosdląądgo ání , Iisisdląąd , éí bąą haasdzíí' , níigo ak'e'ashchínígi át'éego nihí ałdó' Níłch'i Diyinii bee iiniidlą́ , éí bąą nihí hahiidziih .
47:4:014:0	Háálá Diyin God éí Bóhólníihii Jesus néidiisáhígíí t'áá éí ałdó' baa hoolzhiizhdi Jesus yee náánihididoołjah , áádóó t'áá ła' bizhi'ee t'áá hó hojílǫ́ǫdi nánihizhdoo'ishgo nihił bééhózin .
47:4:002:1	Oodlą' bee iináanii
47:4:015:0	Éí t'áá ałtsojį' nihá yá'át'ééh biniyé , nihokáá' dine'é bitahgóó Diyin God bibee ajooba' t'áá náás noosééł bik'eh ahééh hwiindzin bilááh yileeł , éí Diyin God baa ha'niih doo biniyé áánííł .
47:4:016:0	Azhą́ ats'íís bee ániit'éii yizhash nidi , doo nihąąh nahakaad da , háálá nihiyi'di bee ániit'éii éí t'áá ákwíí jį́ ániidí ánáálnííł .
47:4:017:0	Háálá díí áłts'íísígo t'óó kónígháníjį' ti'hwii'níhígíí , éí t'áadoo beełt'éhígóó t'áá íiyisí aa ha'niih nihá hasht'eilééh . Áko díí aa ha'niih éí hool'áágóó hólóonii doo niit'éehii át'é .
47:4:018:0	Éí biniinaa nihí daat'íinii doo baa nitsídeiikees da , nidi doo daat'íinii baa nitsídeiikees , háálá daat'íinii éí t'óó kónígháníjį' ádaat'é , nidi doo daat'íinii éí doo bá nidahwiizt'i' da .
