47:9:001:1	Ił hadlee'
47:9:001:0	Díí k'ad Diyin God bidiyį́į́' bíká aná'álwo'ígíí biniyé nihich'į' ak'e'ashchíhígíí éí doo t'áá íiyisí shił bohónéedzą́ą da ,
47:9:002:0	háálá t'áá k'adę́ę áká oojé'ígíí shił bééhózin , éí Masedóniya dine'é binááł nihaa hashniihgo kódíshní , T'ááłá'í nááhaídą́ą́' Akéya dine'é nida'doonih yiniyé hasht'e'ádadólzin , nihidishní , áko t'áá íiyisí bídanoohdlį́įgo ádaaht'ínígíí nihik'is t'óó ahayóí dabidiisnáá' .
47:9:003:0	Nidi díí bee nihaa hashniihígíí doo t'áadoo biniyéhí da dooleeł biniyé nihik'isóó danilínígíí nihich'į' dadíł'a' , áko t'áá ádanoht'é dííniidígi át'éego hasht'e'ádadołnééh ;
47:9:004:0	Masedóniya dine'é ła' bił aadi nishkaigo , nít'éé' doo hasht'e'ádadoołyaagóó t'óó baa yádadíníidzįįł sha'shin áádóó nihí ałdó' t'áá íiyisí baa yádadínóohsįįł , háálá Masedóniya dine'é binááł nihaa hashniihgo nihaa dzííníidlíí nít'éé' .
47:9:005:0	Éí bąą ałk'isóó danilínígíí nihich'į' shilą́ąjį' wohkah bidideeshniiłgi t'áá ákónéehee dooleełgo baa nitsísíkééz , béeso adahidoohniłgo bee nidahosoo'áanii t'áá áłdįįłt'éego ádadoohłííł biniyé , áko ahees'nilii doo nihílák'ee haa'nilii át'ée da doo , nidi t'áá nihí ádeinohsingo adahisoonilii át'ée doo .
47:9:006:0	Jó , díí ááhdishní : t'áá háiida áłch'į́į́dígo k'éé'dídléehii áłch'į́į́dígo ná'áyish doo , índa lą'ígo k'éé'dídléehii lą'ígo ná'áyish doo .
47:9:007:0	T'ááłá'í jinítínígo háni'dii bee hasht'e'nitsízníkéezii bik'ehgo ájooníił doo , t'áá bił t'ą́ą́' astį́įgo , doodaii' bíhodi'nilchéehgo éí dooda , háálá hoł hózhǫ́ǫgo t'áadoo le'é aa jiiníiłii éí Diyin God ayóó'áhó'ní .
47:9:008:0	Áádóó Diyin God éí ajooba' łą́ągo hólǫ́ǫgo yee nihik'ijidlí áyósin dooleełgo yíneel'ą́ , áko t'áá áłahjį' t'áá ałtsoní bee nihee áda'azįįd doo , t'áá éí bik'ehgo naanish yá'át'éehgo nidaat'i'ii lą'ígo bee áká anáhjah doo .
47:9:009:0	T'áá Diyin God bizaad bee ak'e'ashchínígi át'éego : Bił hadlee'go na'aznii' , diné badahojoobá'íii yitaa'aznii' . Bit'áá ákogi é'ét'éii éí hool'áágóó hólǫ́ǫ doo .
47:9:010:0	Diyin God éí k'i'diléii k'eelyéí bee baa áhojilyáanii índa bááh ch'iyáán nilį́įgo bee aa áhojilyáanii bee dajiinohba'ii nihá hózhǫ́ bilááh ájoolíił doo , áádóó bee t'áá ákogi ádanoht'éii bits'ą́ą́dóó aneest'ą' k'ee'ąą yilzhish doo .
47:9:011:0	T'áá ałtsojį' ayóó át'éego nihił dahadlee' doo biniyé t'áá ałtsoní nihá bilááh yileeł doo , áko nihinahjį' Diyin God yich'į' ahééh danízin doo ,
47:9:012:0	háálá díí na'al'a'go cho'oot'ínígíí Diyin God bidiyį́į́' yídin danilíinii doo t'óó bee bíká aná'álwo'ii t'éiyá át'ée da , nidi t'áá bilááh ánéelą́ą'go Diyin God bich'į' baa ahééh hwiindzin k'ee'ąą yilzhishgo áyoolííł .
47:9:013:0	Díí béeso anídahohniłígíí naalkaahgo Christ baa hane' yá'át'éehii bee ádee hadahidohdziihgo bik'eh dahonoł'ínígíí binahjį' Diyin God yaa dahaniih doo , áádóó nihił dahadlee'go Diyin God bidiyį́į́' bá índa náádaała'ígíí t'áá ałtso bá béeso adahohníłígíí ałdó' binahjį' Diyin God yaa dahaniih doo ;
47:9:014:0	Diyin God bibee ajooba' t'áá íiyisí nihilááh neel'ą́ągo nihee dahólónígíí bąą , nihídin danilį́ índa nihá sodadilzin .
47:9:015:0	Doo ałtso baa hóne' át'éégóó t'áá jíík'e Diyin God nihainíláii bich'į' baa ahééh hasin !
