47:7:001:1	Paul éí Christ dayoosdląądii yaa bił hózhǫ́
47:7:001:0	Ayóó'ánihósh'níinii , díí kót'éego nihaa deet'ą́ągo biniinaa , haa'íshą' nihits'íís índa nihiníłch'i niyiiłchxǫǫhii nahjį' kódadiilnííł , áádóó Diyin God dadíníilzingo diyingo iiná hadaałt'éego ádadiilnííł .
47:7:002:0	Nihijéí bii' nihá dahooł'aah , t'áadoo ła'da bąąhági áhwiilyaa da , ła'da doo yiilchǫ' da , ła'da doo łíshiicháazh da .
47:7:003:0	Díí doo nihainísht'į́įgo ádíshníi da , háálá t'áá íídą́ą́' ánihidííniid , Łá'í daniidlį́įgo nii'néełgo , doodaii' dahinii'náago nihijéí bii' dahonohłǫ́ǫ doo .
47:7:004:0	T'áá íiyisí nihaa jííníshłíigo yáshti' , t'áá íiyisí nihaa hashniih , áko t'áá hazhó'ó atínihi'dil'į́į nidi t'áá íiyisí shik'i hata' áádóó shił hózhǫ́ .
47:7:005:0	Azhą́ Masedóniyadi niit'áázh yę́ędą́ą́' nidi , nihits'íís t'áadoo hanáályį́į' da , nidi t'áá ałtsodę́ę́' atínihi'dool'įįd , nihinaadę́ę'go saad nihídei'ááh nít'éé' , nihí éí t'áá ádíiyi'ídi nihił yéé' nít'éé' .
47:7:006:0	Diyin God éí bąąh nidahwiizkaadii hayi' iyoołniihii , éí Táítas níyáhígíí yee hanihi'iyoosniid .
47:7:007:0	Éí níyáhígíí doo t'áá éí t'éiyá bee da , nidi bí aají nihee ha'oosniidígíí bee nihí ałdó' hanihi'iyoosniid , háálá nihídin danohłį́įgo , áádóó daahchago índa shídanoohdlį́įgo yee nihił hoolne' , áko éí bąą t'ah aláhídi át'éego shił nááhoojǫǫd .
47:7:008:0	Háálá azhą́ shinaaltsoos bee yínííł biih nihíínil nidi , k'ad éí doo bik'édí nishłį́į da , t'áá lá aaníí bik'édí sélį́į' nidi , háálá éí naaltsoos yínííł yiih nihíínilgo shił bééhózin , nidi éí t'óó kónígháníjį' ákónihiilaa .
47:7:009:0	Jó ákohgo , k'ad éí shił hózhǫ́ , yínííł biih noodee'ígíí éí doo biniinaa da , nidi yíní biih noodee'ígíí bee łahgo át'éego Diyin God bich'į' tsíńdasidookézígíí bąą shił hózhǫ́ , háálá Diyin God bíniik'ehgo yínííł biih noodee' , áko nihinahjį' ha'át'íhída doo yóó'adasoołdéel da .
47:7:010:0	Háálá Diyin God k'ehgo yínííł daniidlį́įgo éí łahgo át'éego Diyin God bich'į' tsínánihidiiłkosgo bee yisdá'iildéehii yaa nihii'éésh , áko éí doo bik'édí daniidlį́į da , nidi nihokáá'jí k'ehgo yínííł danilį́įgo éí aniné t'éiyá nánídlį́ .
47:7:011:0	Jó , díí Diyin God bíniik'ehgo yínííł ídlį́ éí dooládó' yéego haleebee áhát'į́ é'éł'į́į da , dooládó' bídanoohdlį́įgo doo nihidahodiit'i'góó ída'dołnéeh da , dooládó' bąąhági át'éii biniinaa nihił niná'át'įįh da , dooládó' doo nihił dahóózhǫǫd da , dooládó' nihił yéé' áhósin da , dooládó' nihá laanaa danohsin da , dooládó' nihídanoohdlį́į da , dooládó' doo ákǫ́ǫ́ áát'įįdígíí atídoolnííł danoozį́į' da lá ! Ákót'éego bee t'áá ałtsojį' doo nihidahodiit'i'góó bééhózingo ída'doołyaa .
47:7:012:0	Azhą́ lá nihich'į' ak'e'shéłchį́į nidi , éí doo ła'da doo ákǫ́ǫ́ áát'įįdígíí biniyé da , doo nidi ła'da doo ákǫ́ǫ́ áhóót'įįdgo yik'ee ti'hooznii'ígíí biniyé da , nidi Diyin God binááł aadę́ę́' yá'át'éehgo nihídanoohdlínígíí yit'íní ádoolnííł biniyé nihich'į' ak'e'shéłchį́ .
47:7:013:0	Áko éí bee ha'iisiilniid . Áádóó ha'ííníilnínígíí éí Táítas aají nihaa bił hózhónígíí bóóltą'go t'áá íiyisí t'ah aláhídi át'éego nihił nááhóózhǫǫd , háálá t'áá ánółtso t'áadoo bi'diił'áhígóó ádaahłaa .
47:7:014:0	Háálá t'áadoo le'é bee nihaa hashniihgo bich'į' haasdzíi'go , éí yáhásin doo yiih shííłt'e' da , nidi bee nihich'į' hahaadzí'ígíí t'áá ałtso t'áá aaníí danilínígi át'éego , t'áá ákót'éego Táítas hanááł nihaa hwii'niihígíí ałdó' t'áá aaníí daazlį́į́' .
47:7:015:0	Áko k'é bee nihaazhníyá yę́ędą́ą́' nitsidaahkaigo , áádóó ádił nídahodoołchiłgo t'áá ánółtso ak'eh dahonoł'į́į́ nít'ée'ii bééjílniihgo ayóó'ánihijó'níigo t'ah aláhídi át'éego nihaa nitsídzíkees .
47:7:016:0	T'áá ałtsojį' nihaa jííníshłíhígíí t'áá íiyisí bąą shił hózhǫ́ .
