60:4:001:1	Gwik'injohkhit Haa Ch'ijuk Gǫhdaii
60:4:001:0	Christ datthąį' zhit khaiinjich'iindhat gwik'it nakhwan t'ee nakhwatthąį' zhit khaiinjich'anakhwarahkhit ji' t'ee nakhwatr'agwaanduu gweheekwaa. Nats'ąą khaiinjich'iindhat gininjich'ohthat gwik'iighai' nakhwat'aii neegohtsii. 
60:4:002:0	Juk gwats'an łyaa zhyaa Vit'eegwijyąhchy'aa nats'ahts'ą' jii nankat gǫhdaii nakhoonyaa gwik'it goohǫhdaii gwizhrįh, nakhwan nats'ahts'ą' gǫhdaii nohthan gwik'it nakwaa. 
60:4:003:0	Yeenii juu gwik'injiighit kwaa ts'ą' googwitr'it tr'agwaanduu nąįį k'it t'akhwa'ya', gwiizųų gwizhrįh t'agǫǫ'ya' nohthan, dineech'oonjik ts'ą' chan khaihłan nineekhwadal ts'ą' nihts'ą' gwiizųų t'akhwa'in, ohłęįį ts'ą' ch'akhwanįį geenjit khaihłan nineekhwadal, ch'ik'itiltsį' zhrį' ts'ą' chan khagadǫhjii jii kwaii duuyeh gwik'it t'akhwa'in goo'aii. 
60:4:004:0	Ąįįts'ą' t'ee zhit juu gwik'injiighit kwaa nąįį gook'it t'akhwa'in kwaa dąį' łyaa gwik'injigiighit kwaa ts'ą' gwiizųų nakhwats'ą' giginkhii. 
60:4:005:0	Gaa niighit kwaa ąįį Vit'eegwijyąhchy'aa Ch'aroahkat Drin ji' goovahaahkat ts'ą' juu gwandaii akwat niindhat haa nihteetr'iheelyaa. 
60:4:002:1	Jidii Vit'eegwijyąhchy'aa Diinantł'eegwin'ąįį Ąįį Gwinzii T'igwii'in Geenjit Gwizhrįh Vit'eegwahahchy'aa T'inchy'aa
60:4:006:0	Izhit geh'an juu niindhat nąįį gaa goots'ą' ginkhe' ąįį Gwandak Nizįį goovaagwaandak geenjit. Juu jii nankat gwandaii nąįį nihteetr'ilii ts'ą' daganky'aa zhit Vit'eegwijyąhchy'aa k'it gogweheendaii geenjit. Vit'eegwijyąhchy'aa, Dinjii nąįį datthak nihteetr'iheelyaa gaagwiindaii. 
60:4:007:0	Nan ndaanąą'ąį' gwats'ą' niighit kwaa t'oonchy'aa, khagadǫhjii ts'ą' deekhwa'in gwak'ǫǫhtii gwiizhit, nǫhkhii shrǫ'. 
60:4:008:0	Jii t'ee łyaa gwintsii geegoo'aii t'igwehee'yaa goo'aii! Nihłeenjit ch'eet'igwiniindhan akhwa'įį. Ch'eet'igwiniindhan zhrįh nihłeenjit khwa'įį dąį', gweedhaa datthak nakhwats'ą' tr'agwaanduu t'ii'in nąįį gooveenjit gineehoondee. 
60:4:009:0	K'eegwiichy'aa t'ohnyąą kwaa ts'ą' juu gwik'injiighit nąįį nakhwazheh nihdǫhchik. 
60:4:010:0	Vit'eegwijyąhchy'aa nihłehjuk gwinzii t'akhwa'in nakhwantł'eegwiin'ąįį, ąįį vaa nihłits'igweheenjyaa t'inchy'aa. 
60:4:003:1	Gwik'injigwiighit Geenjit Khaiinjich'iriighit
60:4:011:0	Giinkhih nąįį, Vit'eegwijyąhchy'aa Viginjik eech'oohtan; juu vitsyaa nilii nąįį, Vit'eegwijyąhchy'aa t'aih nakhwantł'eiin'ąįį haa vitsyaa ǫhłįį. Jidii datthak zhit Jesus Christ vik'iighai' Vit'eegwijyąhchy'aa deerahąąh'aa. Adan zhrįh khit ts'ą' khit geenjit vich'eegwahdrii ts'ą' t'aih haa vats'an nilii! Amen!! 
