60:5:001:1	Vit'eegwijyąhchy'aa Vidivii Nąįį
60:5:001-002:0	
60:5:001-002:0	Shįį, ch'anjaa ihłii ts'ą' tr'igiinkhii zheh gwach'anjaa kįh dilk'ii nąįį nakhwaagwaldak. Christ khaiinjich'akhwadhat gwąął'ya'. Ąįįts'ą' jii jidii ch'eegwąhndit nakhwats'ą' googwahaakyaa, shįį gaa yalat shats'an hahtsyaa. Vit'eegwijyąhchy'aa nats'ahts'ą' divii k'ąąhtii nakhwiłtsąįį ąįį gaatr'ooh'ee shrǫ' gaa Vit'eegwijyąhchy'aa nats'ahts'ą' doo'ya' nakhoonyaa gwik'it t'akhwa'in. Geenjit laraa nǫh'ya' shrǫ', gaa Christ vik'injuhkhit ąįį łi'didlii haa veenjit tr'agoh'in. 
60:5:003:0	Ąįį juu vik'eehǫǫhtyaa geenjit nakhwantł'eeriinlii nąįį eenjit tr'ihkhit goots'ą' k'eedeegwaadhat shrǫ', gaa goovandah gwinzii tr'agoh'in. 
60:5:004:0	Ąįįts'ą' nijin Divii K'ąąhtii Choh vineegwiilkįį ji' vich'eegwąhndit duuyeh nikyaa nakhwantł'eegwehee'aa. Zhit ch'eegwąhndit t'ee, divii k'ąąhtii akhagoonjik kwaa nąįį antł'eegweheelyaa. 
60:5:005:0	Izhit gwik'it, k'eejit nąįį, ch'anjaa nąįį k'eegohthat. K'eegwiichy'aa nihłeenjit t'akhwa'in dąį' tr'ihkhit adashoo ǫhłįį shrǫ'! Dęhtły'aa Choh kat jyaa digwinyąą,“Vit'eegwijyąhchy'aa juu adashoo ahłįį kwaa nąįį ts'ą' nizįį ts'ą' juu adashoo ahłįį nąįį akhooheenjyaa.” 
60:5:006:0	Adashoo ǫhłįį kwaa ts'ą' Vit'eegwijyąhchy'aa vantł'ee'adoochįį ts'ą' nijin T'iindhan ji' ndak ganakhwahahchyaa. 
60:5:007:0	Jidii geenjit tr'agohdii kwaii datthak vantł'eegohłii, gwintł'oo nakhweenjit ninjich'adhat t'inchy'aa. 
60:5:008:0	Ch'anky'aa Tr'aanduu nakhwajyaa nilii kwaa, veenjit gwak'oontii gwiizhit nakhwagwandaii chan k'ǫǫhtii, lion k'it vagwantii ts'ą' dinjii hee'aa gwizhrįh gwakantii t'inchy'aa. 
60:5:009:0	Nakhwagwik'injigwiighit t'aih haa anvoo'ee, jii nankat gwik'injiighit nąįį datthak gwik'it khaiinjich'igiighit gaakhwandaii. 
60:5:010:0	Ch'ihłee khaiinjich'akhwadhat ąįįtł'ęę, Vit'eegwijyąhchy'aa khit nakhwats'ą' ch'eiinzhrii gwizhit datthak nakhweenjit shrigweheelyaa ts'ą' Christ vat'aii k'iighai' ts'ą' vich'eegwahdrii ndaanąą'ąį' kwaa haa nakhweenjit deehee'yaa nakhwahnyąą ąįį gwik'it t'ihee'yaa. Nakhwadrii nint'aii gwahahtsyaa haa duuyeh Christ vik'injuhkhit nakhwałeegwaraha'ąįį. 
60:5:002:1	Peter Khaiinkǫǫ Neegeedi'
60:5:011:0	T'aih ndaagwąą'ąį' kwaa gwats'ą' datthak geenjit vats'an oolį'! Amen!! 
60:5:012:0	Silas, vik'iighai' jii dęhtły'aa nahgwan nakhwats'ą' dįhtł'oo, łyaa gwik'injiighit vaashandaii. Vit'eegwijyąhchy'aa vich'eegoonzhrii łi'didlii haa gwiintł'oo nakhwats'ą' giihkhe' ąįį zhit vaanahohthat eenjit t'ihnyąą. 
60:5:013:0	Babylon kwaiik'it gwachoo tr'igiinkhii zheh gwizhit gwik'injiighit nąįį. Vit'eegwijyąhchy'aa gwitee tr'anakhweiinlii haa shįį ts'ą' shidinji' Mark gwik'injigwiighit zhit nakhwadiveegoozų' nakhwarahnyąą. 
60:5:014:0	Ch'eet'igwiniindhan haa nihłanli' teegǫhjii. Juu Christ ts'an nilii nąįį datthak tsinehdan nakhwaa oolį'.
