60:3:001:1	Ch'a'at ts'ą' Ch'akai' Haa
60:3:001:0	Ch'itsyaa nąįį, goots'ą' k'eedeegwaadhat gihił'ee gwik'it, ch'a'at nąįį, nakhwakai' k'eegohthat, ch'akai' nąįį Vit'eegwijyąhchy'aa Viginjik k'injigiighit kwaa ji' gaa, ch'a'at googwitr'it gwinzii k'iighai' gwik'injigeheeghit giheelyaa. K'eegwiichy'aa t'ohnyąą gwat'oohchy'aa kwaa. 
60:3:002:0	Jyąhts'ą' nakhwagwitr'it łi'didlii nilii ąįįts'ą' Vit'eegwijyąhchy'aa viyinjiikhadhoo'ee gwagwahąąh'yaa. 
60:3:003:0	Tr'ihkhit k'aiich'ii noonzhi' shrǫ', nats'ą' nakhwakiighaii shrohłii, nindal noozhii, ts'ą' jidii ik nootsuu k'iighai' gwinzii nakhwagoochy'a' shrǫ'! 
60:3:004:0	Gaa nakhwadrii zhit gwats'an gwizhrįh gwinzii nakhwagweech'in veeshroonchy'aa akwat deegwaahtsai' kwaa nilii t'ee Vit'eegwijyąhchy'aa vandee zhit gwintsii veegoo'aii. 
60:3:005:0	Jyąhts'ą' t'ee yeenii tr'injaa nąįį Vit'eegwijyąhchy'aa k'injigiighit ts'ą' gwit'iinjyąąhchy'aa nąįį ts'ą' yeendaa geenjit dagakai' k'eegogwahthat ts'ą' geedan t'ee łyaa gwinzii gooyiichy'a' needagaatsik. 
60:3:006:0	Sarah t'ee jyaa dinchy'a', dakai' Abraham k'eegwiłthat ts'ą' shats'ą' k'eedeegwaadhat yahnyąą. Gwinzii nakhwagwitr'it gwanlii ts'ą' k'eegwiichy'aa goonjat kwaa ji' nakhwan it'ee vichi' ǫhłįį. 
60:3:002:1	Gwinzii T'akhwa'in Eenjit Khaiinjich'ahohkhit.
60:3:007:0	Izhit gwik'it ch'akai' nąįį nakhwant'ee, nakhwa'at nakhwandaa t'ąąht'aii kwaa ganoondaii. Nan, nakhwa'at haa Vit'eegwijyąhchy'aa khit gwandaii nakhwats'an hahtsyaa t'oonchy'aa, ąįį geh'an nakhwa'at gooveenjihǫh'ee. Khadagohjii ts'ooghaih gwehee'aa kwaa eenjit jii kwaii datthak t'akhwa'in. 
60:3:008:0	Akwat t'ee juk nihts'ą' deekhwazhit geenjit nihłeenjit tr'agohdii ts'ą' ch'ihłak ninjich'aadhat k'it t'ohchy'aa nihłoondee nihłeet'iindhan k'it. Nihłeet'oohthan ts'ą' nihłeenjit ninjich'ǫhthat gwiizhit nihłandaa ohtsii nǫhkhya' shrǫ'! 
60:3:009:0	Gwiizųų nakhwats'ą' tr'agwagwah'in dąį', izhit geenjit nakhwan chan goots'ą' gwiizųų haa tr'agoh'ya' shrǫ', gwiizųų nakhwats'ą' girinkhii ji', izhit geenjit nakhwan chan goots'ą' gwiizųų haa gwidii gohkhyaa shrǫ'! Googaa gwinzii, haa gwit'ii neegohkwat. 
60:3:010:0	Jii t'ee Dęhtły'aa Choh zhit jyaa digwinyąą,“Gwinzii goiihndaii nohthants'ą' gwinzii gooł'ya' nohthan ji',chan gwiizųų goiihkhyaa shrǫ',ts'ą' chan oihts'it shrǫ'! 
60:3:011:0	Nakhwadrii datthak haa tsinehdan geenjit gwik'eegǫhdaii,ts'ą' iizųų gwigwitr'it ts'į' adak'ǫǫntii, ts'ą' gwinzii t'akhwa'in. 
60:3:012:0	Diik'eegwaadhat juu jyaanchy'aa nąįį datthak dandee haa gook'ąąhtii,giits'ą' khadigiinjii dąį' datthak gooviitth'ak,gaa juu tr'agwaanduu t'ii'in nąįį ts'į' t'inchy'aa.” 
60:3:013:0	Gwintł'oo nakhwagwitr'it gwinzii gooli' nohthan ji', juu geenjit nakhwagwahahshii? 
60:3:014:0	Gaa Vit'eegwijyąhchy'aa deekhwa'ya' nakhoonyaa gwik'it t'akhwa'in geenjit khaiinjich'anakhwagahthat ji', geenjit shoo ǫhłįį. Tr'agohdii shrǫ' gwiizhit ch'ihłee gaa oonjat shrǫ'! 
60:3:015:0	Christ, Nakhwak'eegwaadhat t'inchy'aa geenjit nakhwadrii zhit gwats'an viyinjiihoh'ee. Jii gwik'injigwiighit nakhwadrii zhit gooh'ąįį geenjit nakhwarahkat ji', geenjit shriitr'agwadhoh'ąįį. 
60:3:016:0	Gooveenjit yinjiihooh'ee ts'ą' gooshroonjyaa haa t'akhwa'in. Gwinzii t'akhwa'in geenjit gwiizųų nakhweegiginkhii ji' oozhii giheelyaa geenjit. 
60:3:017:0	Jii ganoondaii, Vit'eegwijyąhchy'aa khaiinjich'akhwaghit nakhwoihnyąą ji', tr'agwaanduu gwigwitr'it t'akhwa'in geenjit khaiinjich'anakhwarahthat ąįį gwiizųų, diigwitr'it gwinzii gwanlii eenjit khaiinjich'anarahthat ąįį gwandaa gwinzii t'oonchy'aa. 
60:3:018:0	Christ t'ee ch'ihłok ts'ą' ndaagwąą'ąį' gwakwaa nakhweenjit niindhat; diitr'agwaanduu geenjit niindhat, Christ vatr'agwaanduu gwakwaa gaa dinjii vatr'agwaanduu gwanlii nąįį eenjit niindhat, Vit'eegwijyąhchy'aa antł'eediihaachyaa eenjit. Dinjii nąįį giiyiiłkhwąįį gaa Ch'anky'aa Shroodiinyąą yineegwiłdaii. 
60:3:019:0	Ch'aroohahkat drin ji' geenjit Jesus Danky'aa zhit ąįį dinjii ch'anky'aa nilii nąįį jyaa dakhwa'yaa goo'aii nyąą ts'ą' gwaandak. 
60:3:020:0	Jii ch'anky'aa nąįį t'ee Vit'eegwijyąhchy'aa k'eegwagwahthat kwaa nąįį. Noah tr'ihchoo ąhtsii gwiizhit Vit'eegwijyąhchy'aa khalchį' kwaa ts'ą' dinjii nąįį datr'agwagwaanduu akhagagoohoonjyaa geenjit nagwal'in. Ąįį tr'ihchoo zhit dinjii nihk'iidǫǫ nąįį zhrįh chųų ts'į' gwizhiinjil. 
60:3:021:0	Ąįį dinjii nąįį chųų ts'ą' an giheelyaa gwits'į' gook'aanti', gwik'it chųų nakhwats'an tr'iłtsąįį zhit neenakhwahshii k'it t'oonchy'aa. Diitthąį' k'eech'arahahtryaa t'igwii'in kwaa gaa diidrii zhit vaa shriitr'eegwarehee'aa eenjit Vit'eegwijyąhchy'aa tr'oohaahkat ts'ą' diiyinji' haa deegwehee'yaa gwinyąą gwik'it t'igwii'in. Jesus Christ neegwiindaii gwik'iighai' nineereheezhii. 
60:3:022:0	Jesus zheekat gwits'eehoozhii ts'ą' Vit'eegwijyąhchy'aa vishriits'ąįį dhidii haa zheekat gwich'in ts'ą' ch'anky'aa nint'aii kwaii datthak ts'ą' k'eedeegwaadhat.
