48:2:001:1	Pen . ij .
48:2:002:1	Gan gadarnhau bot y Apostoliaeth ef ywrth Dduw , Y mae yn dangos paam nud enwaedwyt Titus , ac nad yw ef ddim is law yr Apostolion ereill . Ie , a’ darvot iddo
48:2:003:1	*
48:2:004:1	goddi , geryddu , veio ar
48:2:005:1	argyoeddi Petr Apostol yr Iuddeon . Gwedy hyny mae ef yn dyvot at ei
48:2:006:1	‡
48:2:007:1	ddevnydd
48:2:008:1	nod pennaf , ’sef yw hynny provi bot cyfiawnhad yn dyvot yn vnic o rad Duw gan ffydd yn Iesu Christ , ac nyd gan weithredoedd y Ddeddyf .
48:2:001:0	YNo ar ben pedair blynedd ar ddec gvvedy , yr aethym y vyny drachefn i Caerusalem y gyd a Barnabas , ac a gymerais y gyd a mi Titus hefyt .
48:2:002:0	Ac a escendais gan ddatymguðiat , ac a gyd esponiais ac wynt yr Euangel yr hon yddwyf yn ei phrecethu ym‐plith y Cenetloeð , eithr o’r nailltu gyd ar ei oedd yn bennaf , rrac mewn vn modd y rhedwn , neu y rhedeswn yn over :
48:2:003:0	eithr na Thitus rhwn oedd gyd a myvi , cyd bei ef Groecwr , ny chympellwyt yw enwaedu
48:2:004:0	er yr oll ffeils vroder a ymluscesont y mewn : yr ei a ymdroscwyddesent y mewn i graffu ar ein rhyðdit ni , ’sydd genym yn‐Christ Iesu , er yddynt ein dwyn i gaethiwet .
48:2:005:0	Yr ei ny chynwysesam o ddarestyngedigeth enhyd awr , val y trigei gwirionedd yr yr Euangel yn safadwy y gyd a chwi .
48:2:006:0	A’ chan yr ei a dybit eu bot yn vawr , ny ddysceis ddim ( beth oedden wy gynt , ny’m dawr i : ny chymer Duw ansawd vn dyn ) er hyny , yr ei pennaf ny chydesponiesant ddim a mivi .
48:2:007:0	Eithyr yn‐gwrthynep , pan welesant ðarvot rhoi ato vi yr Euangel yr ei dienwaediat , val y rhoesit i Petr ar yr ei ’r Enwaediat :
48:2:008:0	( can ys yr hwn oeð nerthoc drwy law Petr yn yr Apostoliaeth ar yr ei ’r Enwaediat , oedd hefyt yn nerthoc trwyddofine yn‐cyfor y Cenetloedd )
48:2:009:0	a’ phan wybu Iaco , a’ Chephas , ac Ioan am y rat a roddwyt i mi , yr ei a gyfrifir eu bot yn golofnae , wy roesant i mi ac i Barnabas ddeau ddwylaw cymddeithas , val y byddei y ni precethu ir Cenetloedd , ac wynteu ir ei or Enwaediat ,
48:2:010:0	gan rybuddio yn vnic ar vod yni goffau ’r tlodion : yr hyn hefyt yr oeddwn yn astud yw wneuthur .
48:2:011:0	A’ gwedy dyvot Petr i Antiocheia , mi y gwrthsefais ef yn ei wynep : can ys y vot ar vai .
48:2:012:0	O bleit cyn dyvot ’rei ywrth Iaco , ef a vwytaei gyd a’r Cenetloedd : anyd gwedy y dyvot hwy , ef a enciliawdd ac ymhanodd yvvrthynt , can iddo ofni rac yr ei oeddent o’r Enwaediat .
48:2:013:0	A’r Iuddaeon eraill cydffuantu ac ef a wnaethant , yd y n y ðucit Barnabas yw ffuant wy hefyt .
48:2:014:0	Eithyr pan welais , nad oeddent yn troedio yn vnion at ’wirionedd yr Euāgel , y dywedais wrth Petr yn‐gwyð pawp oll , A’s tudi ac yn Iuddew wyt yn byw mal y Cenetloedd , ac nyd mal yr Iuddeon , paam y cympelly ni y Cenetloedd y vyw mal yr Iuddeon ?
48:2:015:0	Nyni y savvl ym Iuddeon wrth anian , ac nyd pechaturieit o’r Cenetloedd ,
48:2:016:0	a wyðam na chyfiawnheir dyn gan weithredoedd y Ddeddyf , anyd gan ffydd Iesu Christ : ’sef nyni meddaf , a credesam yn Iesu Christ , mal in cyfiownheid y gan ffydd Iesu Christ , ac nyd gan weithrededd y Ddeddyf , o bleit gan weithrededd y Ddeddyf ny chyfiawnheir vn cnawt .
48:2:017:0	Ac a’s wrth geisio cael ein cyfiawni trwy Christ , in ceffir ninheu yn pechaturieit , a ytyw Christ gan hyny yn wenidoc pechot ? Ymbell oedd .
48:2:018:0	Can ys a’s adeilaf drachefn y petheu a ðinistrais , ydd wyf yn gwneuthur vyhun yn droseddwr .
48:2:019:0	Cā ys myvi trwy’r Ddeddyf vum varw ir Ddeddyf , ac val y bawn byw y Dduw ,
48:2:020:0	im crogwyt y gyd a Christ . Val hyn byw ytwyf eto , nyd myvi yr awrhon , eithr Christ ’sy vyw yno vi : ac am y byw ddwy ’r owrhon yn y cnawd byw ddwyf gan ffyð ym‐Map Duw , yr hwn a’m carawdd , ac ei rhoðes y hunan y trosof .
48:2:021:0	Nyd wyf yn dirymio rrat Duw : o bleit a’s ywrth y Ddeddyf y mae cyfiawnder , yno y bu varw Christ eb achos .
