48:6:001:1	Pen vj .
48:6:002:1	Mae ef yn eiriol arnynt vot yn voneðigaidd wrth y gweinion , A’ dangos ei cariat broderawl ai cymesurdep : Hefyd ar ymgleddu o hanynt wenidogion ei Eccles , Bot parhau , Ymhoffi yn
48:6:003:1	‡
48:6:004:1	croes
48:6:005:1	croc Christ , I adnewyddiat bywyt , Ac yn y dywedd y mae yn damunaw yddynt wy y gyd a’r ffyddlonion eraill oll lwyddiant .
48:6:001:0	BRoder , a’s gorddiwedwyt dyn mewn ryw vai , chvvychwi ysy yn sprytawl , cyweiriwch y cyfryw vn ac yspryt gwarder , gan dy ystyried tuhun , rac dy temto dithe hefyt .
48:6:002:0	Dygwch drymveichiae y gylydd , ac velly cyflanwch Ddeddyf Christ .
48:6:003:0	O bleit a’s tybic neb y vot yn ddim , ac yntef eb vot yn ddim , y mae wedy ei dwyllo gā ei dyb ei hun .
48:6:004:0	Eithr provet pop vn y’waith yhunā , ac yno y bydd ganthaw ’orvoleð yno yhun yn vnic ac nyd yn eraill .
48:6:005:0	Can ys pop vn a ddwc y vaich yhunan .
48:6:006:0	Bit i hwn a ddyscwyt yn y gair , wneuthur hwn y dyscawdd ef yn gyfranoc ou oll dda .
48:6:007:0	Na thwyller chwi : ny watworir Duw : can ys pa beth pynac a heua dyn , hyny a ved ef hefyt .
48:6:008:0	Can ys hwn a heua y’w gnawt , o’i gnawt y med lwgredigeth : eithr hwn a heuo ir yspryt , or yspryt y met vywyt tragyvythawl .
48:6:009:0	Na vlinwn gan hynny yn yn gwneuthu dayoni : can ys yn ei briavvd‐amser y metwn , a ddieithr i ni ddefficio .
48:6:010:0	A chan hyny tra vo i ni amser , gwnawn ddaioni i bop dyn , ac yn enwedic yr ei , ’sy duylwyth y ffydd . Yr Epistol y xv . Sul gwedy Trintot .
48:6:011:0	Welwch ehelaethet y llythyr a escrivenais atoch a’m llaw vyun .
48:6:012:0	Cynniuer ac a vynnent wneuthur wynep‐tec yw’ch yn y cnawt , ’syð ich cympell i vynnu eich enwaedu , yn vnic val nad ymlidir hwy o bleit croc Christ .
48:6:013:0	Cā nad ynt wy ehunain yr ei a enwaedir , yn cadw y Ddeddyf , anyd deisyfu cael eich enwaedu chvvi , val yr ymhoffent yn eich cnawt .
48:6:014:0	Eithyr na bo i mi ddim ’or ymhoffi , anyd yn‐croc ein Arglwydd Iesu Christ , gan yr hwn y crogwyt y byt i mi , a’ minheu ir byt .
48:6:015:0	Can ys yn‐Christ Iesu nac enwaediat ny vuddia ddim , na dienwaediat , anyd creatur newydd .
48:6:016:0	A’ chynniver ac a rodiant erwydd y rheol hon , tangneddyf vydd arnynt , a’ thrugareð , ac aruchaf Israel Duw .
48:6:017:0	O hyn allan na volested neb vi : can ys dwyn yðwyf yn vy‐corph nodae ein Arglwyð Iesu .
48:6:018:0	Vroder , Rat ein Arglwyddd Iesu Christ a vo gyd a’ch yspryt , Amen . At y Galatieit yr yscrivenwyt hvvn o Ruuein .
