48:5:001:1	Pen v .
48:5:002:1	Mae ef yn ceisio y tynnu hwy ywrth yr Enwaediat . Ac yn dangos yddyn yr ymladd rhwng yr Yspryt ar cnawt , a’ ffrwytheu pop vn o’r ddau .
48:5:001:0	SEfwch‐yn‐safadvvy yn y rhyðdit yn rhyddaodd Christ ni , ac na rwyder chwi drachefn ac iau caethiwet .
48:5:002:0	Nacha , mi Paul a ddywedaf wrthych , a’s chvvychvvi a enwaedir arnoch , ny vuddia Christ ðim ywch .
48:5:003:0	Can ys testiaf drachefn i bop dyn , yr hwn a enwaedir arno , y vot ef yn rhwym y gadw ’r Ddeddyf oll .
48:5:004:0	Chwi ach ymddadwnaethoch y wrth Christ : pa ’r ei pynac ich cyfiawnir gan y Ddeddyf , ys cwympesoch y wrth rat .
48:5:005:0	Can nyni trwy ’r Yspryt ym yn gwilied am ’obeith cyfiawnhad wrth ffydd .
48:5:006:0	Can ys yn‐Christ Iesu nac Enwaediat ny vuddia ddim , na dienwaediat , anyd ffydd yr hon a waithia trwy gariat .
48:5:007:0	Yr oeddech yn redec yn brydverch : pwy ach rwystrodd , val nad uvyddhaech ir gwironedd ?
48:5:008:0	Nyd yvv’r grediniaeth hon ywrth yr hwn a’ch gailw .
48:5:009:0	Ychydic surdoes a sura yr oll does .
48:5:010:0	Mae geny vi ’obeith am danoch trwy ’r Arglwydd , na byddwchwi o ddim meddwl amgen : eithyr hwn ’sydd ich trallodi chvvi , a ddwc ei varnedigeth , pwy ’n pynac vo .
48:5:011:0	Ac a’s mivy , vroder , ’sydd eto yn precethu ’r Enwaediat , paam ydd ys eto im ymlid ? velly ef ddadwnaed tramcwydd y groc .
48:5:012:0	Och dduvv na thorit ymaith yr ei ach aflonyddant .
48:5:013:0	Can ys vroder , ich galwyt chwi i ryðdit : yn vnic nac arvervvch eich ryðdit yn achos ir cnawd , eithr gan gariat gwasanaethwch bawb y gylydd .
48:5:014:0	Can ys yr oll Ddeddyf a gyflanir yn vn gair , ’sef yn hwn , Cery dy gymydawc mal tuhun .
48:5:015:0	A’s ynte cnoi ac yssu y gylydd a wnewch , ymogelwch rac ymddifa gan y gylydd . Yr Epistol y xiiij . Sul gwedy Trintot .
48:5:016:0	Wrth hyny y dywedaf , Rodiwch yn yr Yspryt , ac na vid ywch gyflanwy trachwāteu y cnawt .
48:5:017:0	Cā ys y cnawd a drachwenych yn erbyn yr Yspryt , a’r Yspryt yn erbyn y cnawt : a’r ei hyn a gyverbyniāt y gylyð , val na alloch wneuthur cyfryw betheu ac a vynnech .
48:5:018:0	Ac a’s arweinir chwi y gan yr Yspryt nyd ydych dan y Ddeddyf .
48:5:019:0	Sef gweithrededd y cnawd ’sy amlwc , yr ei ynt , tori‐priodas , godineb aflēdit , nwyfiant ,
48:5:020:0	delw aðoliat , swyno , casinep , cynnēnu , gwynvydu , llit , ymgeiniae , tervyscae , cam‐opinionae ,
48:5:021:0	cenvigennæ , lladdiadae , meddtot , glothinep , a’r cyffelyp petheu hyn , am pa ’rei y rac ddywedaf ywch , megis ac y rac ddywedais yvvch , na bydd ir ei a wna’r cyfryw betheu , veddyannu teyrnas Duw .
48:5:022:0	Eithr ffrwyth yr Yspryt yw cariat , llawenydd , tangneddyf , an mynedd , tiriondep , dayoni , ffyðlondep , gwarder , artempr
48:5:023:0	yn erbyn y cyfryw nyd oes vn Ddeddyf .
48:5:024:0	Can ys ’rei yddo Christ , a grocesont y cnawnt gyd a’u wniae ai drachwantae .
48:5:025:0	A’s byw ydym yn yr Yspryt , rhodiwn hefyt yn yr Yspryt .
48:5:026:0	Na ddeisyfwn wac ’ogoniant , gan ymannoc eugylydd ac yn ym‐genuigennu wrth eu gylydd .
