48:3:001:1	Pen . iij .
48:3:002:1	Mae ef yn ei ceryðy hwy yn dost , Ac yn provi wrth lawer o resymae vot cyfiawnat yn dyvot y can ffydd , Val y mae yn eglur wrth esempl Abraham , Ac wrth swydd , a’ theruyn y Ddeddyf , A’ ffydd .
48:3:001:0	A Galatieit ynfidion , pwy a’ch llygatdynawdd chwi , val na ’lynech wrth y gwirionedd , i ba ’r ei y racyscythrwyt , Iesu Christ o vlaen eich llygait , ac yn eich plith y crogwyt ?
48:3:002:0	Hyn yn vnic a chwenychwn ei ddyscu genwch , Ai wrth weithredd y Ddeddyf yd erbyniesoch yr Yspryt , ai wrth glywet precethu’r ffydd ?
48:3:003:0	A ytych mor ynfydion , a’ gwedy ywch ddechreu yn yr Yspryt , y mynech yr awrhon eich perffeithio gan y cnawt ?
48:3:004:0	A ddyoddefesochvvi gymeint o betheu yn over ? ac a’s yn over yvv .
48:3:005:0	Yr hwn gan hyny ’sydd yn trefnu ywch yr Yspryt , ac ’sy’n gwneuthur gwyrthieu yn eich plith , a wna ef hyny wrth weithrededd y Ddeddyf , ai wrth glywet y ffydd gvvedy hei phrecethu ?
48:3:006:0	Nid amgen megis y credawdd Abraham y Dduw , ac ei cyfrifwyt y‐ddaw yn gyfiawnder .
48:3:007:0	Gwybyddwch gan hyny , mae yr ei y ’sydd or ffydd , yr ei hyn yw plant Abraham .
48:3:008:0	Can ys yr Scrythur yn rac welet , y cyfiawnei Duw y Cenetloedd trwy ffydd , a rac euangelawdd i Abraham , gan ddywedyt , Yno‐ti y bendithir yr oll Genetloedd .
48:3:009:0	Ac velly yr ei ’sydd o’r ffydd , a vendithir y gyd a’r ffyddlawn Abraham .
48:3:010:0	Can ys cynniuer ac ynt o weithredd y Ddeddyf , y dan velltith y maent : can yscrivenedic yw , Ys malldigedic pop vn nyd erys yn yr oll petheu , a yscrivennir yn llyfer y Ddeddyf , y’w gwneuthur vvynt .
48:3:011:0	Ac na chyfiawnir nebun wrth y Ddeðyf yn‐golwc Duw , amlwc yw : can ys y cyfiawn vydd‐byw wrth ffydd .
48:3:012:0	A’r Ddeddyf nyd yw o ffydd : eithyr y dyn a wnel y petheu hyny , a vydd byw yntynt vvy .
48:3:013:0	Christ a’n prynawdd ni ywrth velldith y Ddeddyf , pan wnaethpwyt ef yn velldith trosam , ( can ys y mae ’n scrivenedic , Ys malldicedic pop vn ’sy ynghroc a’r bren )
48:3:014:0	val y delei vendith Abraham ar y Cenetloedd trwy Christ Iesu , val yd erbyniem addewit yr Yspryt trwy ’r ffydd .
48:3:015:0	Broder , dywedyt ydd wyf val y gvvna dyniō , Cyd na bo and ambot dyn gwedy y cadarnheir , eto ny ddirymia neb ef , ac ny ðyd dim wrtho . Yr Epistol y xiij . Sul gwedy Trintot .
48:3:016:0	Weithion i Abraham ac y’w had y gwnaethpwyt y gaddeweidion . Ny ddywet ef , Ac i’r hadae , megis yn dyvvedyt am lawer : eithyr , Ac ith had ti , megis am vn , yr hwn yw Christ .
48:3:017:0	A’ hyn a ddywedaf , am y Ddeddyf yr hon oedd petwarcent a dec blynedd ar vcain gwedy , na ddichon hi ðiðymio yr Ambot yr hon a racgadarnheit gan Dduw erwydd Christ , val y dirymia hi yr aðewit .
48:3:018:0	O bleit a’s o’r Ddeðyf y mae ’r etiveddieth , nyd yvv ynteu mwy wrth y gaddewit , eithr Duw a roðes yr etiueddieth i Abraham wrth ’addewit .
48:3:019:0	I ba beth gan hyny y gvvasanaetha ’r Ddeddyf ? O bleit trosoddeu y doded y hi , y’n y ðelei yr had hvvnvv y gwnaed yr addewit yddaw : ac y hi a ordeiniwyt gan Angelion yn llaw Cyfryngwr .
48:3:020:0	A’ Chyfrynggwr nyd yw i vn : eithyr Duw ’sydd vn .
48:3:021:0	A yvv ’r Ddeddyf gan hyny yn erbyn yr a ddeweidion Duw ? Ymbell oeð : Can ys pe rhoesit Deðyf a allesei beri bywhau , yn wir e vesei cyfiawnder o’r Ddeðyf .
48:3:022:0	Eithyr yr Scrythur ’lan a argaeawdd yr oll petheu y dan pechot , y’ny roðdit y gaddewit wrth ffydd Iesu Christ ir sawl a credant .
48:3:023:0	Eithr cyn na dyvot y ffydd , in cedwit y dan y Ddeddyf , ac in goarchëit ir ffydd , a ddatguddit rhac llaw .
48:3:024:0	Ac velly y Ddeddyf oedd ein hathro in dvvyn at Christ , val in cyfiawnheit ni wrth ffydd .
48:3:025:0	Eithr wedy dyuot y ffydd , nyd ym ni mwyach y dan athro .
48:3:026:0	Cā ys chwi oll’sy yn plant i Dduw gan y ffydd yn‐Christ Iesu .
48:3:027:0	Can ys chvvychvvi oll a’r a vatyddiwyt i Christ , a wiscesoch Christ .
48:3:028:0	Nyd oes nac Iuddew na Groecwr : nid oes na chaeth na rryð : nyd oes na gwrryw na benyw : can ys yr vn ydyw‐chwi oll yn‐Christ Iesu .
48:3:029:0	Ac a’s i Christ yddyvvch , yno yð ywch yn had Abraham , ac yn etiueðion wrth aðewit .
