48:1:001:1	Pen . j .
48:1:002:1	Paul ’sy yn argyhoeddi ei hanwadalwch can yddyn ’oddef ei hudaw gan y gau ebestyl , yr ei a precethent vot yn angenreidiol cadw ceremoniae ’r Ddeddyf er iechedwrieth , Ac yn gwrthgyfarch yr ei ’sy yn precethu amgen vodd no Christ yn llwyrbur . Mae yn dangos y vuchedd y hun , yn mawrhau ei swydd a’i Apostolieth , ac yn declaro y vot y hun yn ’ogyfiuwch a’r Apostolon pennaf .
48:1:001:0	PAul Apostol ( nyd gā ddynion , na thrwy ddyn , anyd trwy Iesu Christ , a’ Duw tat yr hwn y cyvodes ef o veirw )
48:1:002:0	a’r oll vrodur ’sy ’gyd a mi , ad Ecclesi Galatia :
48:1:003:0	rat vo gyd a chwi a’ thangneðyf y gan Dduw Tat , a’ chan ein Arglwydd Iesu Christ ,
48:1:004:0	yr hwn y rhoddes y hun dros ein pechotae , val in gwaredai y wrth y cydrychiol vyd drwc yma erwyð ewyllys Duw a’n Tat ,
48:1:005:0	ir hwn y bo gogoniāt yn oesoedd oesoeð , Amē .
48:1:006:0	Ryveð yw genyf mor vuan ich ysmutwyt ymaith i Euangel arall , y wrth yr vn ach galwesei yn rhat Christ ,
48:1:007:0	yr hwn nyd oes Euangel arall , anyd bot rei ich trallodi , ac yn wyllysu datroi Euangel Christ .
48:1:008:0	Eithyr pe’s nyni neu Angel o’r nef a brecethei ywch amgen , na hynn a precethesam ywch , malldigedic vo .
48:1:009:0	Mal y racddywedasam , velly y dywedaf yr awrhon drachefn , A’s precetha neb y chwy yn amgenach , nac yd er byniesoch , malldicedic vo .
48:1:010:0	Can ys yr owrhon ai precethu ’r wyf athravveth dynion , ai ’r yddo Duw ? ai ceisio ’ðwyf rengu boð dynion ? o bleit a’s etwo y rengwn voð dynion , ny’s byddwn was Christ .
48:1:011:0	Weithion y mynnaf ywch wybot , vrodyr , am yr Euangel a precethwyt geny vi , nad oedd hi erwyð dyn .
48:1:012:0	Can na’s derbyniais y hi gan ddyn , ac ny’m dyscwyt hi i mi , eithr trwy ddatguddiat Iesu Christ .
48:1:013:0	Can ys clywsoch son am vy‐cytro i gynt , yn y ddeddyf‐Iuddewic , val y tra erlynais ar Eccles Duw , ac ei hanreithiais ,
48:1:014:0	ac a vuddiais yn y ddeddyf-Iuddewic goruwch llawer o’m cyfeillion yn vy‐genetl vyhun , ac oeddwn vwy awyddus o lawer i a thrawaetheu vy‐tadeu .
48:1:015:0	Eithr pan vu dda gan Dduw ( yr hwn am gohanesei o groth vy mam , ac am galwesei trwy y rat ef )
48:1:016:0	y ddatguddiaw ei Vap ynof , val y byddei y‐my y evangelu ef ymplith y Cenetloedd , yn y man nyd ymchwedleyais a chnawt a’ gwaed :
48:1:017:0	ac ny ddaethym drachefn i Caerusalem at yr ei ’n a vesynt Apostolion o’m blaen i , anyd myned avvnaethym i Arabia , ac a ðychwelais drachefn i Damasco .
48:1:018:0	Yno gwedy tair blynedd y daethym drachefn i Caerusalem y ymweled a Phetr , ac a arosais y gyd ac ef pempthec diernot .
48:1:019:0	A’ nebun or Apostolon ny’s gwelais , dyeithr Iaco brawd yr Arglwydd .
48:1:020:0	Ac am y petheu ’ddwy ’yn y scrivennu atoch , nachaf vi yn testolaethu geir bron Duw , nad wyf yn dywedyt celwydd .
48:1:021:0	Gwedy hyny , yr aethym i dueddae Siria a’ Cilicia :
48:1:022:0	can ys ni’m adwaenit wrth wynep gan Ecclesidd Iudaia , yr ei oeddent yn‐Christ .
48:1:023:0	Eithr clywed a wnaethent vvy yn vnic rei yn ddyvvedyt , Yr vn oeð yn ein ymlit ni gynt , ’sydd yr awrhon yn precethu’r ffydd , yr hon oedd ef gynt yn hi anreithiaw .
48:1:024:0	A’ gogoneddu Duw a wnaethant am danaf .
