48:4:001:1	Pen iiij .
48:4:002:1	Dangos y mae paam yr ordiniwyt y
48:4:003:1	4 : 0
48:4:004:1	‡
48:4:005:1	cynneddfeu
48:4:006:1	ceremoniae . Yr ei ac hwy yn wascodae a orvyð yddyn dervynu pan ddel Christ y disglaer wirionedd . Mae ef yn y hanoc wy drwy ryw gygcorion , Ac yn cadarnhau ei ddadl ac esempl gadarn neu ddamec .
48:4:001:0	WEithian meddaf , tra vo’r etivedd yn vachcen , nyd oes gohāieth rhyngto a gwas , cyd bod ef yn Arglwydd pawp dim ,
48:4:002:0	eithr y mae ef y dan ymgleddwyr a’ llywodraethwyr , yd y pryd a ’osodes y tat :
48:4:003:0	Ac velly ninheu pan oeddem vechein , oeddem yn gaithion y dan y gwyddorion y byt .
48:4:004:0	Eithr gwedy dyvot cyflawnder yr amser , yd anvones Duw ei Vap yn wneuthuredic o wreic , ac yn wneuthuredic y dan y Ddeddyf ,
48:4:005:0	val y prynei ef yr ei oedd y dan y Ddeddyf , val y gallem dderbyn y braint mabwrieth .
48:4:006:0	A’ chan eich bot yn veibion , yd anvonawdd Duw Yspryt ei Vap ich calonheu , rhvvn ’sy yn llefain , Abba , Dat .
48:4:007:0	Ac velly nyd wyt mwy was , amyn map : ac a’s map , yr vvyt hefyt yn etiuedd i Dduw trwy Christ .
48:4:008:0	Sef y pryd , nad adwaenechvvi Dduw , y gwasanethech yr ei , wrth anian nyd yyn dduwieu .
48:4:009:0	Ac yr awrhon a chwi yn adnabot Duw , and yn hytrach yn adnabodedic gan Dduw , pa wedd yr ymchwelesoch drachefn at egwan a’ thlodion ’wyddoreu , yr ei y mynwch ymgaethiwo yddynt drachefn yn eich gwrthgarn ?
48:4:010:0	Cadw diernodie yð ych , a’ misoeð , ac amseroedd , a’ blynyddedd .
48:4:011:0	Mae arnaf ofn am dano’ch , rac darvot i mi lafurio wrthych yn over .
48:4:012:0	Byddwch val vyvi : can ys mivi ’sydd val chwichvvi : broder , atolwc yw’ch : ny wnaethoch ddim eniwed i mi .
48:4:013:0	A’ gwyddoch , pan‐yw trwy wendit y cnawt yr evangelais ywch y waith gyntaf .
48:4:014:0	A’ phrawfiad o hanof yr hyn oedd yn vy‐cnawt , ny ðirmigesoch , ac ny ’omeddesoch : anyd val Angel Duw , ie val Christ Iesu im derbyniesoch .
48:4:015:0	Pa vn yno oedd eich dedwyddwch ? can ys ydd wy’n test ywch , pe besei possibil , y tynnesech allan eich llygait , ac y rhoesech i mi .
48:4:016:0	Aethym i gan hyny yn ’elyn ywch , o bleit i mi ddywedyt y gwir ywch ?
48:4:017:0	Y maen hwy yn eiddigedus drosoch nyd yn iawnvodd : eithr hwy vynent eich cau chvvi allan , val y bei chwi vot ac eiddigedd am danynt wy .
48:4:018:0	Eithr peth daonus yw cwbl garu yn wastad ym‐peth daonus , ac nyd yn vnic pan wyf wydd‐yn‐gwydd a’ chwi ,
48:4:019:0	vy‐plant‐bychein , yr ei ’rwyf eilwaith yn eu hescor , yd y’n y ffurfer Christ ynoch .
48:4:020:0	A’ mynnwn vy‐bot y gyd a chwi yr awrhon , val y gallwn newidio vy llef : can ys petrusaw ydd wyf am danoch . Yr Epistol y iiij . Sul yn y Grawys
48:4:021:0	Dywedwch i mi , yr ei a vynnwch vot y dan y Ddeddyf , a ny chlywch y Ddeddyf ?
48:4:022:0	Can ys mae’n yscrivenedic , vot i Abraham ddau vap , vn o wasanaethwreic , ac vn o’r wreic‐rydd .
48:4:023:0	Eithyr hwn oedd o’r wasanaethwyr , a anet erwydd y cnawt : a’ hwn oedd or wreic rydd , a aned wrth yr addewit .
48:4:024:0	Wrth y petheu hyn y dyellir peth arall : can ys mamæ hyn yw’r ddau Testament , vn yr hon yw Agar o vynyth Sina , ’sy yn cenedlu i gaethiwed
48:4:025:0	( cā ys Agar neu Sina mynyth yw yn Arabia , ac y maeyn cyfatep i Gaerusalem ys yd yr awrhō ) ac y mae yn gaeth hi ai phlant .
48:4:026:0	Eithr Caerusalem vchod y sy rydd : yr hon yw ’n mam ni oll .
48:4:027:0	Can yscrivenedic yw , Llawenha dydi ddiepil yr hon nyd wyt yu planta : tor allan a’ llefa , yr hon nyd wyt yn escor : can ’ys ir ddiffaeth y mae mwy o lawer o blant , nac i hon sy a gwr yddi .
48:4:028:0	Can hyny vroder , ydd ym ni vnwedd ac Isaac , yn plant yr addewit .
48:4:029:0	Eithr megis y pryd hyny hwn a anet erwydd y cnawt , a ymlidiai yr vn a aned erwydd yr yspryt , ac velly yr awrhon .
48:4:030:0	Eithr pa ddywait yr Scrythur ? Bwriwch allan y wasanaethwreic hi a’i map : can na bydd map y wasanaethwreic yn etiuedd gyd a map y vvreic rydd .
48:4:031:0	Can hyny vroder , nyd ym ni veibion y wasanaethwreic , anyd y vvreic‐rydd .
