20:7:001:1	Ałjiłnii yee ina'alo'ii
20:7:001:0	Shiye' nílíinii, shizaad bik'eh honíł'į́, áádóó shibik'eh ó'oo'níiłii ádííníltą'. 
20:7:002:0	Shibik'eh ó'oo'níiłii ádííníltą'go hiníná; nináá' baa áhólyánígi át'éego bee na'nishtinii éí íiyisí bik'ehgo hinínáanii át'éego íínísin. 
20:7:003:0	Éí níla' bik'ídeesdiz le'; nijéíkáa'gi bee bik'ida'íłchi'. 
20:7:004:0	Hódzą́ kóbidiní, Shilah nílį́, áádóó bee ak'i'diitįįhii éí asdzání nik'éí nilį́įgo yínízhí. 
20:7:005:0	Áko asdzání ałjiłnii éí ayóní nilíinii bizaad łikango yáłti'ii yits'ąą naa áhályą́ą doo. 
20:7:006:0	Háálá shikin biyi'dóó shitsésǫ'gi tsin yistł'ǫ́ǫgo dáádiníbaalígíí biníká dínísh'į́į'go 
20:7:007:0	diné doo dahóyáanii t'áá bita'ígi ádaat'éii yiiłtsą́; ániid nidaakaii bitahgóó dinééh léi' doo ak'i'diitįįhgóó baa ákoniizį́į́'. 
20:7:008:0	Éí dinééh kintahgóó yigáałgo asdzání doo bééhózinii bikin naanáz'áhígi yíighahgi deeyáago asdzání yighanjigo dah diiyá, 
20:7:009:0	éí nídadi'deeshchii'go, i'íí'ą́ągo, hiłiijį́į́'dóó chahóółhéelgo; 
20:7:010:0	nít'éé' asdzání éí ałjiłnii k'ehgo hadít'éii índa bijéí biyi'dóó nítséékosii hadááh níyá, jó'akon. 
20:7:011:0	Ayóo yádíłtih índa t'áadoo yaa yánízinígóó bíighahígi át'é; hooghangi doo hasht'e'sidáa da; 
20:7:012:0	tł'óó'góó dah náánéiteeh, kintahdi nináánádáah łeh, kin naanídaaz'áágóó aa nááhéesdáah łeh. 
20:7:013:0	Áko éí asdzání bizajííyá, áádóó hazts'ǫs, índa t'áadoo hach'į' yáníziní áháłní, 
20:7:014:0	Hózhǫ́ǫ́jí náádahaniihii shee hólǫ́; díí jį́ ádee hadeesdzíí'. 
20:7:015:0	Éí bąągo nidááh deeshááł biniyé aadę́ę́' dah diiyá; t'áá shizááká níkanishtáá nít'éé' nik'íníyá. 
20:7:016:0	Tsásk'eh bik'ídaasti'í; éí Ííjip kéyahdę́ę́' na'at'ą́hí łigaii dits'idígíí nidaashch'ąą'ii shibikáá' dah antéhí bik'ídasíłti', na'at'ą́hí łigaii dits'idígíí bik'ídasíłti'. 
20:7:017:0	Shibikáá' dah antéhí éí jeeh łikání halchinii mir wolyéii, áádóó álooz wolyéii, índa sínaman wolyéego łikání halchinii bąąh ádaashłaa. 
20:7:018:0	Hágoshį́į́, hoos'įįjį' ahi'iiljiłgo nei'néego shiitéezh doo; haa'íshą' ahi'iiljiłgo bee ałk'i hwiilta' doo. 
20:7:019:0	Háálá hastiin doo sidáa da, nízaadgóó ííyá; 
20:7:020:0	béeso ła' azis yee ayííłtsooz, áádóó hanííbą́ązgo nádááh. 
20:7:021:0	T'áá łą́ą́góó nizhónígo hach'į' yáłti'go t'áá tídzí'ahída íizniizį́į́'; bizaad łikango hach'į' yáłti'ígíí yee háni' áhoolaa. 
20:7:022:0	Béégashii naatseedjį' béégashii eedlózígíí nahalingo, éí doodaléi' diné doo áhályáanii akétsíín niná'niłí biih bi'doodlózígi ádziidzaa; 
20:7:023:0	hazid éí k'aa' bighálzi'ígi ádzaa; tsídii éí bee ódleehí yiih yíyáhígi át'éego hwe'iina' yiniyé át'į́įgo doo baa áhojilchįįh da. 
20:7:024:0	Éí bąą shiyázhí danohłíinii, dashíínółts'ą́ą́'; saad bee yáshti'ígíí deísínółts'ą́ą́'. 
20:7:025:0	Áádę́ę́' yee át'éii yee níni' ná'áhólééh lágo; bikék'edóoya' lágo. 
20:7:026:0	Háálá diné t'óó ahayóí atíyiilaa; t'áá aaníí diné t'óó ahayóí ayóó ádabóodziilii yiyííghą́ą́'. 
20:7:027:0	Bighandóó hool'áágóó ti'hoo'nííh góyaa atiin; anoonééł bá nahaz'ą́ą́ góyaa e'etiin.
