38:2:001:1	Diné léi' bee ída'neel'ąąhí dah yooléełgo ił ádzaa
38:2:001:0	Áko déé'į́į́' nít'éé', diné léi' bee ída'neel'ąąhí dah yooléełgo yiiłtsą́, jó'akon. 
38:2:002:0	Ákohgo ádíshní, Háágóoshą' díníyá? Nít'éé' áshíłní, Jerúsalem bídí'néesh'ąąłgo naaniigo áádóó náásee áníłtsoígíí shił bééhodoozįįł. 
38:2:003:0	Áádóó shoo, diyingo naal'a'í shich'į' yáłti'ii náásee dah diiyáago diyingo naal'a'í náánáła' nee'nijį' bidááh níyá. 
38:2:004:0	Áko áyidííniid, Eii dinééh bich'į' nídiilyeedgo ábidiní, Jerúsalemgi diné áádóó alį́į́' t'óó ahayóigo biniinaa Jerúsalem kin haal'á doo binaa ahééda'astł'ingóó kéédahojit'į́į doo. 
38:2:002:1	Yisnááh danilíinii nináhóhkááh, bidoo'niid
38:2:005:0	Háálá Bóhólníihii ání, Kǫ' honídoonałiigi át'éego haa áháshyą́ą doo áádóó t'áá shí bee ayóó ánísht'éii bee haníi'gi honishłǫ́ǫ dooleeł. 
38:2:006:0	Shoo, shoo, náhookǫsjí kéyahígíí bits'ą́ąjį' yóó'ohjeeh, ní Bóhólníihii. Jó, t'áá dį́į́'dę́ę́' hanáyołígi át'éego tanihinííłkaad, ní Bóhólníihii. 
38:2:007:0	Shoo, Záíyan nílíinii, Bábilan bich'é'é bił kééhót'íinii bits'ąą yisdánínááh. 
38:2:008:0	T'áá ałtsoní bee Bóhólníihii kóní, Shaa haniih doo biniyé ał'ąą dine'é nihighada'iis'nilii yik'ijį' shííł'aad; jó, t'áá háiida nideelchidígíí éí binázhiin bizhdeelchid nahalin. 
38:2:009:0	Hak'ijį' shíla' yishháad dooleeł áádóó há nidaal'a' nít'ée'ii biyisnááh dazhdooleeł, jó'akon. Áko t'áá ałtsoní bee Bóhólníihii shiníł'a'go nihił béédahodoozįįł. 
38:2:010:0	Záíyan bich'é'é danohłíinii, nihił nidahoozhǫǫhgo dahohtaał, háálá nihich'į' yishááł, jó'akon, áádóó nihitahgóó kééhasht'į́į doo, ní Bóhólníihii. 
38:2:011:0	Áko éí bijį́įdi ał'ąą dine'é t'óó ahayóí Bóhólníihii yidahididookah áádóó shidine'é danilį́ dadooleeł. Áko nihitahgóó kééhasht'į́į doo áádóó t'áá ałtsoní bee Bóhólníihii nihaa shiníł'a'go nihił béédahodoozįįł. 
38:2:012:0	Áádóó kéyah diyingi Bóhólníihii éí Júdah dine'é bíí' dooleeł, áádóó Jerúsalem nínéididoo'ááł. 
38:2:013:0	Nihokáá' dine'é danohłíinii t'áá ánółtso, Bóhólníihii bidááhdóó dadíínółyéél, háálá hodiyingo kééhat'į́į́dę́ę́' hideesnáá'.
