38:9:001:1	Jew dine'é binaagóó ał'ąą dine'é bá nidahwiit'aah
38:9:001:0	Kéyah Héídrak áádóó kin haal'á Damáskas yik'ijį' Bóhólníihii haadzíí'. Ízrel dine'é t'áá ałtso Bóhólníihii yich'į' dadéez'į́į́' áádóó ał'ąą dine'é ałdó' bich'į' dadéez'į́į́'. 
38:9:002:0	Éí bihidiní'ánígíí Héímath kin haal'áii áádóó Táir índa Sáídan kin haal'áádóó, azhą́ t'áá íiyisí dahojíyą́ą nidi, ałdó' hak'ijį' nilį́. 
38:9:003:0	Háálá Táir kin haal'áii bine' a'niichéehii ádayiilaa áádóó łeezh dibahí nahalingo béésh łigaii yááyiitsi índa kintah da'nítiingóó hashtł'ish dits'idí nahalingo óola yááyiitsi. 
38:9:004:0	Bóhólníihii t'áá ákohígo nibidoołt'eeł, áádóó jit'íinii hats'ą́ą́' tónteel biyi' góne' iidiyoołtł'iłgo hó éí ahodi'doolk'ą́ą́ł, jó'akon. 
38:9:005:0	Áshkelan díí yiyiiłtsą́ągo t'óó báhádzidgo bił yéé' hodooleeł; Géíza ałdó' t'áá íiyisí yínííł nilį́į doo áádóó Ékran ałdó' ákót'ée doo, háálá t'áadoo bee ił chonááhoot'į́'ígóó baa yáznízin doo; Géízadóó aláahgo naat'áanii ádoodįįł; Áshkelan doo ła' yii' kééhat'íní da doo. 
38:9:006:0	Wótashki' éí Áshdadgi kéédahat'į́į dooleeł, áádóó Filístiya dine'é bibee ádaa hodzódli' ádeeshdįįł. 
38:9:007:0	Nááhániihii bidiłígíí dahazéé'dóó nahjį' kódeeshłííł, áádóó nááhániihii bitsį' doo yildinii dadzótsa'ígíí nahjį' kódeeshłííł, áko nihiDiyin God bá dadzoodzíi' dooleeł áádóó Júdah kéyahgi naat'áanii dajílį́į dooleeł índa Ékran éí Jííbas dine'é nahalin dooleeł. 
38:9:002:1	Záíyandi aláahgo naat'áanii dooleełii
38:9:008:0	Siláo nidaabaahii biniinaa shidine'é binaagóó nideeshnééł, ákohgo éí doo ła'da ákǫ́ǫ́ ch'ídoonéeł da, índa náá'néełii ałdó' dooda. Doo ła'da bik'i ch'ízhdoojahí da, háálá t'áá shí yiiłtsą́. 
38:9:009:0	Záíyan bich'é'é nílíinii, ayóó át'éego nił nihoozhǫǫh; Jerúsalem bich'é'é nílíinii, nił hózhǫ́ǫgo dílwosh. Aláahgo niNanit'a'í ts'ídá t'áá ákogi át'éii índa yisdánídoołtéełgo a'ohgo át'éego índa télii, jó, éí télii yázhí yik'i dah sidáago nich'į' bił yigááł, jó'akon. 
38:9:003:1	Záíyan hasht'e'ninábididoo'nił
38:9:010:0	Íífreiyim bitsinaabąąs bijáád naakiígíí bee na'abaahii bits'ą́ą́' nahgóó kódeeshłííł, áádóó łį́į́' yee nidaabaahii Jerúsalem bits'ą́ąjį' nahjį' kódeeshłííł. Áko ałtį́į́' bee na'abaahii nihideeshchxǫǫł áádóó ał'ąą dine'é bich'į' bee ił hózhóonii yee yádoołtih. Tónteel bibąąhdóó tónteel ninááneel'ą́ąjį' índa tooh nílį́į́dóó nahasdzáán nineel'ą́ąjį' bee bóhólníih doo.  
38:9:011:0	Ni ałdó' dił bee aha'deet'áanii bee bis áhoodzą́ tó ádindę́ę́' nihi'awáalyaaí yisdáánil. 
38:9:012:0	Awáalyaaí bił chohoo'į́ danohłíinii, bidziilgo haz'ą́ą́góó anáhóhkááh. Díí jį́ naakidi ahą́ą́h nániiláago nihaa dideesh'áłígíí bee nihił hashne'. 
38:9:013:0	Háálá Júdah dine'é shi'ałtį́į́' nahalingo hwiideestas áádóó Íífreiyim éí shik'aa' nahalingo ałtį́į́tł'óól bíhwiideestsoł. Záíyan nílíinii, niye'ké dahideeshnáałgo éí, Gríis nílíinii, niye'ké yik'ijį' nídidookah. Áko diné ayóó át'éii bidiltłish nahalingo ándeeshłííł. 
38:9:014:0	Bóhólníihii éí bidine'é yik'ijį' bi'didooltsééł, índa bik'aa' éí atsiniltł'ish anáháta' nahalin doo; Bóhólníihii Diyin God deenásts'aa' bidee' bee í'dílzoołí yee ádidooniił, áko shádi'ááhjígo nááts'ó'oołdísii yee yigáał doo. 
38:9:015:0	T'áá ałtsoní bee Bóhólníihii bidine'é yich'ą́ą́h nídidoodááł, áko bida'ana'í deidooldiłgo tsé yee adadziiztł'inii yik'i nidookah, áádóó wáin hoł dahoniiłdohígi át'éego hahojííł'áa doo; łeets'aa' bii' dił hazhdééłbįįdígi át'éego áádóó bikáá' náá'iiniihí t'áá naanídaaz'áágóó dił bąąh nidaashchii'ígi át'éego ádajít'ée doo. 
38:9:016:0	Éí bijį́ biBóhólníihii Diyin God bidine'é éí dibé dah danéelkaadígi át'éego yisdéidoonił; jó, naat'á ch'ah éí tsé da'ílíinii bee nidaashch'ąą'ígi át'éego bikéyah bikáa'gi dah na'at'a'í dah yidoołtsos. 
38:9:017:0	Dooládó' yee yá'ádaat'éehii áádóó yee danizhóníii ayóó át'ée da! Tł'oh naadą́ą́' bee tsíłkéí dabíiyis dooleeł áádóó wáin ániidíii bee ch'ikéí bízháán nidaakaii dabíiyis dooleeł.
