41:15:001:1	Jesus éí Páílat bidááhdę́ę́' niho'deedlóóz
41:15:001:0	T'áá áko abínígo aláahgo nááda'iiłniihii éí diné yá aląąjį' naazíinii áádóó bee haz'áanii yínda'niłtinii índa diné ándaha'áii t'áá át'é áłah silį́į'go haa nídaast'įįd, áko Jesus yeda'aztł'ǫ́ǫgo dah deidiilóóz, áádóó Páílat yaa dahodeez'ą́. 
41:15:002:0	Áko Páílat nahódééłkidgo áháłní, Da' niísh Jew dine'é Aláahgo biNanit'a'í nílį́? Áko ábizhdííniid, Jó, bee háínídzíí'. 
41:15:003:0	Áádóó aláahgo nááda'iiłniihii lą'ígóó hak'i dahodii'ą́. [Nidi t'áadoo hadzoodzíi' da.] 
41:15:004:0	Áko Páílat kóníigo ninááhódééłkid, Da' niísh doo t'ą́ą́' háádíídzih da? Jó'akon, haa shį́į́ néelą́ą́' yee nik'ídaha'ááh. 
41:15:002:1	Jesus hodi'yoolyéełjį' há nihoot'ą́
41:15:005:0	Nidi Jesus t'áadoo hach'į' hanáádzíi' da, áko Páílat díidíígíí yik'ee t'óó bił ahayóí. 
41:15:006:0	Áko hodílzingo áłah ná'ádleeh baa náhwiilzhíishgo, Páílat éí awáalyaaí t'ááłá'ígo t'áá diné bíndayóki'ígíí yá ch'éiyiiłt'e' łeh. 
41:15:007:0	Íídą́ą́' nidaachxǫ'go naat'áanii yił da'ahigą́ągo awáalyaa shijé'ígíí bitahdóó diné ła' iisxíinii nilį́įgo Barábas wolyéé lá. 
41:15:008:0	Áko diné lą'í áłah nilínígíí Páílat yaa nísą́ągo [hadadeeshghaazhgo] ádeiłní, T'áá nihá ánánít'įįhígi át'éego nihá ánáádíí'nííł. 
41:15:009:0	Nít'éé' áhodííniid, Da' Jew dine'é Aláahgo biNanit'a'í nilíiniísh nihá béédíshchííd? 
41:15:010:0	Háálá aláahgo nááda'iiłniihii dahoołch'į́įdgo biniinaa haa deizlóozgo hoł bééhózin. 
41:15:011:0	Nidi aláahgo nááda'iiłniihii éí áłah nilínígíí yíni' yá ádahoolaago, Éí dooda, Barábasgo nihá ch'ééníłt'e' dadidoohniił, deidííniid. 
41:15:012:0	Ákoshą' Jew dine'é Aláahgo biNanit'a'í dabidohnínígíí haa deeshłííł? hałníigo Páílat hach'į' hanáánáádzíí'. 
41:15:013:0	Áko, Tsin ałnáoszid bikáa'jį' bił o'ołkaałgo sołhé, daaníigo hanáádadeeshghaazh. 
41:15:014:0	Nít'éé' Páílat ájíní, Ha'át'éegoshą'? Ha'át'íí doo aaníí shį́įshą' yaa naayá? Nidi, Tsin ałnáoszid bikáa'jį' bił o'ołkaałgo sołhé, daaníigo t'ah yówehígo hanáádadeeshghaazh. 
41:15:003:1	Jesus éí siláo há nidahast'i'
41:15:015:0	Áko Páílat éí áłah nilínígíí k'adę́ę bíni' bá bi'jilééh biniyé Barábas bá ch'éézhníłt'e', nidi hazaad k'ehgo Jesus nibí'íltsxasgo tsin ałnáoszid bikáa'jį' hoł ida'doolkał biniyé baa hozhdiní'ą́. 
41:15:016:0	Ákohgo naat'áanii bikin, éí Priitóriyam hoolyéé góne' yah adahazlóozgo, siláo t'áá yinélee haa áłah ádayiilaa. 
41:15:017:0	Áko éénééz tsídídééh nahalingo łichí'ígíí yee hadahodiilaa, áádóó ch'il hooshahii nídeiniisxodgo ch'ah ádayiilaago hak'i deideez'ą́. 
