41:5:001:1	Gádara dine'é níłch'i bida'iiníziinii bii' hólónígíí hanoolkaad
41:5:001:0	Nít'éé' be'ek'id wónaaníjį' Gádara dine'é bikéyahjį' ha'naa nida'dzis'éél. 
41:5:002:0	Tsinaa'eeł biyi'dę́ę́' hajííyáago t'áá áko dajishcháá'dę́ę́' diné léi' níłch'i nichxǫ́'í tsi'nabiiłáago hadááh yílwod, 
41:5:003:0	éí dajishcháá'góó t'éí naagháá lá, áádóó diné doo ła' be'ótł'óół át'ée da, béésh da'ahólzha'ígíí bee nidi dooda, 
41:5:004:0	háálá lą'ídi akétsíín niná'niłí bąąh nii'nil, áádóó béésh bee béé'átł'óóh nidi, béésh niyiiníísh, áádóó akétsíín niná'niłí neheltǫ', áko diné ła'da doo bik'eh dódle' át'ée da. 
41:5:005:0	Tł'ée'go índa jį́įgo t'áá áłahjį' dilwoshgo tsé yee ni'ídiilgéeshgo dziłgóó áádóó dajishcháá'góó naaghá. 
41:5:006:0	Nít'éé' t'áá nízaadę́ę́' Jesus yiyiiłtsą́ągo yich'į' nídiilwod, áádóó nitsidinígo'go hach'į' nahasáago 
41:5:007:0	yéego hadoolghaazhgo ání, Jesus, Diyin God Aláahgo Ayóó'át'éii biYe' nílíinii, haashą' shíléehgo ánít'į́? Diyin God binahjį' nánooshkąąh, atíshóólééh lágo. 
41:5:008:0	Háálá díí t'ah bítséedi Jesus ábidííniid, Níłch'i nichxǫ́'í nílíinii, diné bii'dę́ę́' haninááh! 
41:5:009:0	Áko, Haashą' yinílyé, jiníigo nabízhdééłkid. Áko ánáádoo'niid, Lą'í yinishyé, háálá t'óó ahonii'yóí. 
41:5:010:0	Áádóó t'áá íiyisí Jesus náyookąąhgo ání, Díí kéyahígíí bits'ánihinóółkaad lágo. 
41:5:011:0	Nít'éé' ákwe'é yílk'id binániigi bisóodi da'ałchozhgo lą'í naakai, 
41:5:012:0	áko níłch'i danchxǫ́'í nídahookąąhgo ádaaní, Bisóodi bich'į' danihidíł'á, éí biih hidiijah. 
41:5:013:0	Áko bazh'di'ní'ą́ągo níłch'i danchxǫ́'í éí diné yii'dę́ę́' hahaazhjée'go bisóodi yiih heezhjéé', áádóó bisóodi t'áá ałtso bidah ch'ééjée'go be'ek'id yiih heezhjéé', áko tó dabííghą́ą́'. Éí bisóodi naakidi mííl daats'í nít'éé'. 
41:5:014:0	Áko bisóodi baa ádahojilyánígíí dashdiijée'go kin haal'áagi áádóó binaagóó baa nidahodzisne'. Áko díí áhóót'įįdígíí nihił béédahodoozįįł danízingo diné ła' ákǫ́ǫ́ yíkai. 
41:5:015:0	Áko Jesus baa dziiskaigo diné níłch'i bida'iiníziinii lą'í bii' hólǫ́ǫ́ nít'éé' yę́ę bi'éé' hólǫ́ǫgo áádóó bintsékees yá'át'éehgo índa hasht'edít'éego ákwii sidáago dajiiłtsą́, áko t'áá ádzíłtso t'óó hayadahodeesyiz. 
41:5:016:0	Áádóó dabíínáłígíí diné éí níłch'i bida'iiníziinii bii' hólǫ́ǫ́ nít'éé' yę́ę ádzaaígíí índa bisóodi ádaadzaaígíí t'áá ałtso baa nidahodzisne'. 
41:5:017:0	Áko nídahojookąąhgo, Nihikéyahdóó nówehjį' haninááh, dahojiníigo haa nízhdiikai. 
41:5:018:0	Áko tsinaa'eeł biih jigháahgo níłch'i bida'iiníziinii bii' hólǫ́ǫ́ nít'é'ígíí náhookąąhgo áháłní, Nikéé' naasháa doo. 
