41:9:001:1	Łahgo ázhnoolningo áho'diilyaa
41:9:001:0	Áádóó ánááhodi'ní, T'áá aaníígóó ánihidishní, Kǫ́ǫ́ naazínígíí ła', Diyin God bee bóhólníihgo bił haz'áanii bibee adziilii yił yígháhígíí t'áadoo dayiiłtséhí aniné ts'ídá doo deidoolįh da. 
41:9:002:0	Áko hastą́ą́h yiską́ą́dóó bik'ijį' Jesus éí Peter áádóó James áádóó John dziłghą́ą́'góó t'áá sáhí hajizh'eezh, ákohgo t'áá dabinááł łahgo ázhnoolningo áho'diilyaa, 
41:9:003:0	áko ha'éé' [yasgi át'éego] t'áá íiyisí łigaigo bits'ádi'nílííd silį́į́', nahasdzáán bikáa'gi t'áadoo ákót'éego łigaii ó'óle'í da. 
41:9:004:0	Áádóó Iiláíjah índa Mózes, Jesus yił ałch'į' yádaalti'go dajiiłtsą́. 
41:9:005:0	Áko Peter éí Jesus áyidííniid, Na'nitiní, dooládó' yá'át'éeh da kwe'é neiikaígíí; haa'íshą', chaha'oh táa'go ádadiilnííł, ła' ni ná, ła' éí Mózes bá áádóó ła' éí Iiláíjah bá. 
41:9:006:0	Háálá bee hazdoodzihii doo hoł bééhózingóó biniinaa kót'éego hadzoodzíí', háálá t'áá íiyisí nídadzisdzííd. 
41:9:007:0	Nít'éé' k'os hoł łeeshoogizhgo biyi'dę́ę́' iinéé' diists'ą́ą'go ání, Díí shiYe' ayóó'óósh'níinii jílį́, dahwíísółts'ą́ą́'! 
41:9:008:0	Nidadzizghal nít'éé' Jesus éí diné bił nidzizį́į́ nít'éé' yę́ę t'áadoo hooyání háájí shį́į́ silį́į́' lá, Jesus t'éí t'áá sáhí sizį́įgo dajiiłtsą́. 
41:9:009:0	Áko dziłghą́ą́'dę́ę́' hadah níjookahgo hadzoodzíi'go ábijiní, Danóoł'į́'ígíí t'ááká diné ła' bee bił dahoołne' yíila', Diné Silį́į'ii daaztsą́ą́dę́ę́' náádiidzáago índa. 
41:9:010:0	Áko áhodoo'niidígíí doo baa dahojilne' da, nidi da'aztsą́ą́dę́ę́' náádidoodááł nínígíí éí lá ha'át'íí ááhyiłníí lá dajiníigo bínda'ahízhdílkid. 
41:9:011:0	Áádóó kódajiníigo Jesus nidayízhdééłkid, Ha'át'íishą' biniyé bee haz'áanii yínda'niłtinii éí Iiláíjah átsé doogááł daaní? 
