41:7:001:1	Jew dine'é bizází yę́ę bi'é'él'į'
41:7:001:0	Áko Férisii danilíinii áádóó bee haz'áanii yínda'niłtinii ła' Jerúsalemdę́ę́' neheeskaígíí Jesus yaa áłah silį́į'go, 
41:7:002:0	hódahooł'aahii ła' Jew dine'é binahagha' bik'ehgo yílá tánágisígíí t'áadoo yida'aléhí ida'niiyą́ą́' nít'éé', éí dayiiłtsą́ągo [doo bił adaaníi da]. 
41:7:003:0	Háálá bizází yę́ę bi'é'él'į' bik'ehgo Férisii áádóó Jew dine'é danilíinii t'áá ałtso bíla' t'áadoo táádeigisí doo da'ayą́ą da, 
41:7:004:0	áádóó ałdó', nida'iiniihdę́ę́' nináhákáahgo binahagha' bik'ehgo t'áadoo tá'ádadigisí doo da'ayą́ą da, áádóó bizází yę́ę bi'é'él'į' ałdó' lą'í yida'ał'į́, jó, éí bee adlání áádóó łeets'aa' índa łeets'aałtsooí tánágis ádaat'éiida. 
41:7:005:0	Áko Férisii índa bee haz'áanii yínda'niłtinii nidahódééłkidgo ádaaní, Ha'át'éegoshą' nídahooł'aahii nihizází yę́ę bi'é'él'į' doo yik'ehgo dayíkááhgóó bíla' t'áadoo táádeigisí da'ayą́? 
41:7:006:0	Áko ábijiní, T'áá bee ak'e'ashchínígi át'éego nihí t'óó ádahodoł'íinii, Aizéíyah ts'ídá niheełt'éego t'áá nihítséedi nihaa hoolne':Díí diné t'áá bizábąąhídóó t'éiyá yee shił danilį́,nidi dabijéí doo yee shit'áhíjį' ádaat'ée da. 
41:7:007:0	Na'níle'dii shich'į' dahodísin,háálá diné yee nahas'áanii bina'nitin danilį́įgo yee nida'nitin.  
41:7:008:0	Diyin God yee has'áanii nahjį' kódaał'į́įgo diné bi'é'él'į' dayínóhtą'. [Jó, Jew dine'é binahagha' bik'ehgo łeets'aa' áádóó bee adlání táádaahgis, áádóó ákódaat'éhígíí lą'í ádaał'į́.] 
41:7:009:0	Áko ánáábizhdoo'niid, Nihí daohchįįhgo nihi'é'él'į' t'áá dayínóhtą' doo biniyé Diyin God yee has'áanii nahjį' kódaał'į́! 
41:7:010:0	Háálá Mózes ádííniid,Nizhé'é índa nimá nił nilį́įgo íínísin, áádóó,T'áá háiida bizhé'é, doodaii' bimá yiyíídzí'ígíí ts'ídá bidiyoolyééł, níigo yee has'ą́, 
41:7:011:0	nidi nihí diné ła'da bizhé'é, doodaii' bimáda, T'áá ha'át'íhída bee níká adeeshwoł yę́ę éí Kórban át'é, yiłnínígíí, éí binahjį' bizhé'é áádóó bimá doo bił nilį́į da nidi, éí t'áá áko dadohní. (Kórban éí Diyin God baa deet'ą́ jiníigo óolyé.) 
