41:2:001:1	Jesus éí diné bitah doo nahwii'náanii néidiisá
41:2:001:0	T'áá díkwíida yiską́ągo Kapérniyamgi náádzídzá, áko hooghangi dzizdá ha'níigo dadideezdláád. 
41:2:002:0	T'óó ahayóí áłah silį́į'go ch'é'étiinjį' nidi doo hoo'a' da, áko Diyin God bizaad bee bił hojoolne'. 
41:2:003:0	Nít'éé' diné dį́lt'éego diné bitah doo nahwii'náa da léi' hach'į' dayíłtsóós. 
41:2:004:0	Áko hach'ą́ą́h dáázhdeel'áago doo hach'į' ajókááh át'éégóó biniinaa Jesus éí kin biyi' góne' sidáagi bighą́ą́'dę́ę́' ąą dazdeeznilgo diné bitah doo nahwii'náa daígíí bik'i antéhí t'áá bee Jesus bidáahjį' hadah adahodzizlo'. 
41:2:005:0	Áko bida'oodlą' yee aa dadzólíii jiiłtsą́ągo diné bitah doo nahwii'nánígíí ábizhdííniid, Shiye', ádił ni'iyínílzí'ígíí ná yóó'adoot'ą́. 
41:2:006:0	Áko nít'éé' bee haz'áanii yínda'niłtinii ła' ákwii nidaháaztą́ągo t'áá dabiyi'ídi t'óó bił daahaadago nitsídaakees, 
41:2:007:0	Ha'át'éegoshą' díí diné ákóní? Diyin God í'díl'į́! Háishą' t'éiyá ádił ni'iidzííh á yóó'iidii'aah? Diyin God t'áá bí t'éiyá. 
41:2:008:0	T'áá áko t'áá dabiyi'ídi ákót'éego nida'ídíłkidígíí Jesus hoł bééhoozingo ábijiní, Ha'át'éegoshą' t'áá danihijéí biyi'ídi t'óó nihił daahaadago díidíígíí baa nitsídaahkees? 
41:2:009:0	Háidíígíishą' doo nantł'agóó díí diné bitah doo nahwii'nánígíí bich'į' bee ha'doodzih, Ádił ni'iyínílzí'ígíí ná yóó'adoot'ą́, ha'nííjí daats'í, éí doodago, Nídii'néehgo bik'i nítéhí nídiiłtsóosgo dah diinááh, ha'nííjí daats'í? 
41:2:010:0	Nidi nahasdzáán bikáa'gi Diné Silį́į'ii ádił ni'iidzííh á yóó'iidii'aah yee bóhólníhígíí nihił béédahózin doo nisin, jidííniidgo bitah doo nahwii'nánígíí ábizhdííniid, 
41:2:011:0	Nídiidááh, nidishní, áádóó bik'i nítéhí nídiiłtsóosgo nighangóó nídídááh. 
41:2:002:1	Líívai, Shikéé' yínááł, bi'doo'niid
41:2:012:0	Áko nízhdii'na', áádóó t'áá áko bik'izhnitéhí nízdiiłtsoozgo t'áá ałtso dabinááł ch'ízhníyá, áko éí bik'ee diné t'áá ałtso t'óó bił adahóóyóí áádóó Diyin God yaa dahaniihgo ádaaní, T'ah doo ákóhánéehgo deiiltséeh da! 
41:2:013:0	Áádóó Jesus éí be'ek'id bąąhgóó anáádzoodzáago, áadi diné t'áá yíl'áá nít'éé' haa áłah silį́į'go nazneeztą́ą́'. 
41:2:014:0	Áádóó joogááł, nít'éé' Alfíyas biye', Líívai wolyéhígíí, tax nahalyéhígi sidáago jiiłtsą́, áko ábizhdííniid, Shikéé' yínááł. Áko nídii'na'go hakéé' dah diiyá. 
41:2:015:0	Nít'éé' Líívai bighan góne' Jesus ajiyą́ągo dzizdá, nít'éé' tax nahalyéhígíí yiniyé naazdáii t'óó ahayóí Jesus áádóó bídahooł'aahii yił nidaháaztą́ągo da'ayą́, háálá éí t'óó ahayóí hakéé' tádíkááh. 
41:2:016:0	Áko bee haz'áanii yínda'niłtinii Férisii yich'ijí danilínígíí Jesus éí bąąhági ádaaníiłii índa tax nahalyéhígíí yiniyé naazdáii bił da'jiyą́ągo dahoołtsą́ągo hódahooł'aahii ádeidííniid, Ha'át'éegoshą' tax bich'į' nidahalyéii áádóó bąąhági ádaaníiłii bił da'jiyą́? 
41:2:003:1	Hodílzingo doo adą́ągi bína'ídíkid
