40:16:001:1	Bee ééhózinii daniidzin daaníigo dayííkeed
40:16:001:0	Nít'éé' Férisii índa Sádjusii danilíinii neheeskaigo hákada'iiłhilgo , Yá'ąąshdę́ę́' nibee adziilii bee bééhózinii ła' nihił ííshją́ą́ ánílééh , dahodííniid .
40:16:002:0	Nidi Jesus hach'į' hanáádzíi'go ání , E'e'áahgo , Yá'áhoot'éeh doo lá , háálá nihoochii' , dadohní .
40:16:003:0	Abínígo , Díí jį́ doo yá'áhoot'éeh da doo lá , háálá shábítł'ájiichii' áádóó k'os diilkǫ' , dadohní . [ Nihí t'óó ádahodoł'íinii , ] wódahgo áhoot'éii binahjį' áhoot'ée dooleełgi nihił béédahózin , nidi dahwéelzhíishii bee béédahózinii , da' éísh ts'ídá doo bik'ida'doohtįįh da ?
40:16:002:1	Férisii áádóó Sádjusii danilíinii bidíík'ǫsh bee aniilyółí
40:16:004:0	Doo yá'áshxǫ́ǫ́góó índa adilyé yee ahoolchíiłii bee ééhózinii hadeintá , nidi bee ééhózinii doo ła' bá ádoolníił da , t'áá hazhó'ó Jónah bee ééhoozinii t'éiyá , bizhdííniidgo bits'ą́ą́' dashdiiyá .
40:16:005:0	Áko hódahooł'aahii wónaaníjį' ha'naa bił ha'az'éél , nít'éé' łees'áán ła' dayíjáah doo yę́ę yaa dayooznah lá .
40:16:006:0	Áko Jesus áhodííniid , Férisii índa Sádjusii danilíinii bidíík'ǫsh bee taos'nii' niilyółí bits'ąą ádaa ádahołyą́ .
40:16:007:0	Áko éí yaa nídaat'į́įgo áda'ahidi'ní , Łees'áán t'áágééd niikai , éí biniinaa ánihidííniid .
40:16:008:0	Áko Jesus éí yaa ákoniizį́į'go áhodííniid , T'įįhdígo da'iinohdláanii , ha'át'íishą' biniyé łees'áán nihee ádaadinígíí baa nídaaht'į́ ?
40:16:009:0	Da' t'ah doósh bik'ida'dohtįįh da ? Da' łees'áán ashdla'go diné ashdladi mííl yíl'áago bá nihéti'ígíí , áádóó ch'ínííłna'ígíí ts'iizis díkwíí hadadoołbįįdígíísh doo béédaałniih da ?
40:16:010:0	Índa dį́įdi mííl jíl'áago łees'áán tsosts'id há nihéti'ígíí , áádóó ch'ínííłna'ígíí ts'iizis díkwíí hadadoołbįįdígíísh doo béédaałniih da ?
40:16:011:0	Ha'át'éegoshą' łees'áán doo bee nihich'į' haasdzíi' daígíí t'áadoo bik'ida'dootą́ą da ? Nidi Férisii áádóó Sádjusii danilíinii bidíík'ǫsh bee taos'nii' niilyółí bits'ąą ádaa ádahołyą́ .
40:16:003:1	Peter éí , Christ Diyin God biYe' nílį́ , yidííniid
40:16:012:0	Áko índa díík'ǫsh bee taos'nii' niilyółí bits'ąą ádaa ádahołyą́ doo hałníígóó , nidi Férisii áádóó Sádjusii danilíinii bina'nitin bits'ąą ádaa ádahołyą́ hałníigo bik'idazh'diitą́ .
40:16:013:0	Ákohgo Jesus hódahooł'aahii bił Sesaríya Fílipai kéyahdi jíkaigo , hódahooł'aahii kóbijiníigo nabízhdééłkid , Diné ádashiłníigoshą' , Diné Silį́į'ii háí át'į́ , daaní ?
