40:2:001:1	Hastóí dahóyáanii yíkai
40:2:001:0	Hérad aláahgo naat'áanii nilį́įgo yoołkááł yę́ędą́ą́' Judíya kéyah biyi' Béthlehemgi Jesus yizhchį́ , nít'éé' jó'akon , ha'a'aahdę́ę́' Jerúsalemjį' hastóí dahóyáanii yíkaigo kódaaní ,
40:2:002:0	Háadiyee' Jew dine'é Aláahgo biNanit'a'í yizhchį́ ? Jó , ha'a'aahdi bisǫ' deiiltsą́ , áko bich'į' nidahodiidlaał biniyé niikai .
40:2:003:0	Hérad aláahgo naat'áanii nilíinii díidí yidiizts'ą́ą'go niseeltłah , áádóó Jerúsalemgi kéédahat'íinii ałdó' t'áá ałtso ákódaadzaa ,
40:2:004:0	áko aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii t'áá ałtso áłah áyiilaago háadi Christ doochíłígíí yína'ídééłkid .
40:2:005:0	Nít'éé' ádahodííniid , Judíya kéyah hoolyéii biyi' Béthlehemgi lą́ą , háálá kót'éego Diyin God yá halne'ii yee ak'e'ashchį́ :
40:2:006:0	Júdah bikéyahgi Béthlehem nílíinii , Júdahgi naat'áanii danilíinii bitahdóó doo akéédę́ę́' ánít'ée da , háálá nits'ą́ą́dóó naat'áanii shidine'é Ízrel yoo'ish dooleełii ch'ídoogááł .
40:2:007:0	Nít'éé' Hérad éí hastóí dahóyáanii yíkaígíí t'áá nant'inee hágo yidííniidgo , ts'ídá haa'í hoolzhishgo sǫ' dajiiłtsánígíí hats'ą́ą́dóó bił bééhoozin .
40:2:008:0	Áko Béthlehemgóó ho'níłnii'go áhodííniid , Nihílááh , ts'ídá haleebee awéé' hadanohtá , áko bik'ínohkaigo hane' shaa nídadooh'ááł , áko shí ałdó' ákǫ́ǫ́ deesháałgo bich'į' nahodeeshłaał .
40:2:009:0	Aláahgo naat'áanii áhodííniidígíí dazdiizts'ą́ą'go dah náázhdiikai , nít'éé' jó'akon , ha'a'aahdi sǫ' dajiiłtsánígíí halą́ąjį' nihináánádzáago ashkii áłts'íísí sitínígíí bikáa'gi niiltłah .
40:2:010:0	Sǫ' dajiiłtsą́ągo t'áá íiyisí bąą hoł dahóózhǫǫd ,
40:2:011:0	áko kin góne' yah ajookai nít'éé' ashkii áłts'íísígíí bimá Mary t'áá bił dajiiłtsą́ , áko Jesus bich'į' nitsidazdeezgo'go bich'į' nidahodzisá , índa hanaalye'é da'ílíinii ąą ádajiilaago , óola áádóó tsin bijeeh łikání halchinii fránkinsens índa mir wolyéii baa dajiiznil .
40:2:002:1	Ííjipgóó choda'dzoos'įįd
40:2:012:0	Áádóó na'iigeełgo Hérad baa nínáánóhkááh lágo ho'doo'niidgo , nák'ee'ąągo hakéyahgóó aníjookai .
40:2:013:0	Áko dah nízhdiikaigo , jó'akon , Jóseph nayiiyeełgo Bóhólníihii bidiyingo naal'a'í bich'į' yit'íní í'diilyaago ábidííniid , Nídiidááh , áádóó ashkii áłts'íísígíí bimá bił ts'ídá tsxį́įłgo Ííjipgóó dohkááh . Nił náhweesh'ne'jį' áadi nihighan doo , háálá Hérad éí ashkii yidiyoołhééł biniyé háidínéeztą́ą́' .
40:2:014:0	Áko nízhdii'na'go ashkii áłts'íísígíí áádóó bimá ałdó' bił t'áá tł'éé' Ííjipgóó ajookai .
40:2:003:1	Áłchíní yázhí naaztseed
40:2:015:0	Áadi kééhojit'į́įgo Hérad yę́ę daaztsą́ . Áko , ShiYe' Ííjipdę́ę́' wóshdę́ę́' ch'ínínááh bidííniid , níigo Bóhólníihii éí Diyin God yá halne'ii biniit'aa yee haadzíi'ii bohoolyaa .
40:2:016:0	Nít'éé' Hérad éí hastóí dahóyáanii binda'azlo'go nák'ee'ąągo anáákaígíí bił bééhoozingo t'áá íiyisí yik'ee ádá hoolchįįd . Áko Béthlehemgi índa binaagóó ashiiké naaki béédááhaidóó yaagoígíí yich'į' i'iis'a'go ałtso nidabi'diztseed , éí hastóí dahóyáanii sǫ' yaa ch'ídahaz'ánígíí bik'ehgo ákóhóót'įįd .
40:2:017:0	Éí Diyin God yá halne'ii Jeremáíyah kóníigo yee haadzíí' yę́ę bohoolyaa :
40:2:004:1	Ííjipdę́ę́' ná'íldee'
40:2:018:0	Réímahgi iinéé' diists'ą́ą́' , yínííł yee chanahałe'go áádóó yichago índa ayóó át'éego atíńdindleeh , Réíchel ba'áłchíní náás ahoolchíiłii yaa yicha , ha'íídóolniiłígíí doo yinízin da , háálá áłchíní yę́ę ábi'disdįįd .
40:2:019:0	Nidi Hérad daaztsą́ą́dóó bik'ijį' , jó'akon , Ííjipgi Jóseph nayiiyeełgo Bóhólníhii bidiyingo naal'a'í bich'į' yit'íní í'diilyaago
40:2:020:0	ábíłní , Nídiidááh , ashkii áádóó bimá ałdó' bił Ízrel bikéyahgóó nihéénóhkááh , háálá ashkii yida'niiłhį́ yę́ę daneezná .
40:2:021:0	Áko nízhdii'na'go t'áá áko ashkii índa bimá ałdó' bił dashdiikaigo Ízrel bikéyahgóó níjíkai .
40:2:022:0	Nít'éé' Judíyagi Arkiléíyas éí bizhé'é Hérad yę́ę bitsásk'ehgi naat'áanii nilį́įgo jíínii'go biniinaa ákǫ́ǫ́ nízhdoo'néłígíí béédzísdzííd , áko baa nináájiisgeelgo honáá'ílnii'go Gálilii kéyahgóó jiníná .
40:2:023:0	Diyin God yá dahalne'ii , Názariin deiłníi dooleeł , daaní yę́ę bohodoolnííł biniyé Názareth kin haal'áagi jinínáago ákwii kééhojit'į́ .
