40:7:001:1	Aa hwiinít'įįh
40:7:001:0	Doo nihaa nídahódóot'įįłígíí biniyé t'áadoo aa nídaaht'íní .
40:7:002:0	Háálá bee aa nídaaht'íinii t'áá éí bik'ehgo nihaa nídahódóot'įįł , áádóó t'áá ła' bá ída'nooł'ąąd yę́ęgi ánéelt'e'go nihá ínídadí'nóol'ąął .
40:7:003:0	Áko ha'át'íí biniyé nik'is binák'e oolts'idígíí níníł'į́ , nidi t'áá ni nástáán ninák'ee sitánígíísh doo baa ákonínízin da ?
40:7:004:0	Éí doodaii' t'áá ni nástáán ninák'ee sitą́ągo , ha'át'éego nik'is ábididííniił , Haa'íshą' ninák'e oolts'idígíí ná haash'aah ?
40:7:005:0	T'óó áhodil'íní nílíinii , áłtsé nástáán ninák'ee sitánígíí hanitįįh , áko índa hazhó'ó ííní'į́įgo nik'is binák'e oolts'idígíí bá hadíí'ááł .
40:7:002:1	Da'íínóhkeed , hádaaht'į́ , dáádílkał nídanołts'in
40:7:006:0	Ha'át'íhída dílzinii t'áadoo łééchąą'í bich'į' adahołtł'iidí , áádóó nihidiichiłí t'áadoo bisóodi bich'į' adahołkaadí . Ákódaaht'į́įgo éí yik'i nidookah áádóó t'áá yiláahjį' nihich'į' dah didoojahgo danihidoo'ał .
40:7:007:0	Da'íínóhkeed , áko deínóhkeedígíí nihaa dadoolyééł ; hádaaht'į́ , áko hádaaht'ínígíí bik'ídadoohkah ; dáádílkał nídanołts'in , áko nihá ąą ádadoolnííł .
40:7:008:0	Háálá t'ááłá'í jinítínígo dajókeedii éí haa dahalyé , hádajit'ínígíí bik'ídajiikááh , índa dáádílkał nídazniłts'inígíí há ąą ádaalne' .
40:7:009:0	Nihitahdóó diné ła' biye' łees'áán bíyííkeedgo da' tséésh yeidoo'ááł ?
40:7:010:0	Éí doodago łóó' bíyííkeedgo da' tł'iishísh yeidoołtééł ?
