40:3:001:1	John Tó Yee Asį́įhii nahalne'
40:3:001:0	Ákwii yoołkááł yę́ędą́ą́' John Tó Yee Asį́įhii , Judíya kéyah honoojíidi níyáago halne'go kóní ,
40:3:002:0	Łahgo át'éego Diyin God bich'į' tsíńdahidohkeesgo ádił nida'iyohsíihii bits'áhóhkááh , háálá yá'ąąshii bee bóhólníihgo bił haz'áanii bílátah dahashzhiizh .
40:3:003:0	John lą́ą , éí Aizéíyah Diyin God yá halne'ii nilíinii haa yáłti'go ání : Honoojíidi ła' chánahgo kójíníigo hwiinéé' diits'a'go hojilne' : Bóhólníihii bá honít'i'ii hasht'e dahohłééh , be'atiin k'éhézdongo ádaahłééh .
40:3:004:0	John éí ghą́ą́'ask'idii bighaa' bee éé' ályaago ha'éé' , áádóó akał sis bee áká dzíszaaz , índa nahachagiitsoh índa tsés'ná bitł'izh ałdó' hach'iyą' .
40:3:005:0	Nít'éé' Jerúsalemdę́ę́' áádóó Judíyadę́ę́' t'áá níłtéél nít'éé' índa Jórdan tooh binaadę́ę́' t'áá át'éé nít'éé' diné haa haaskai .
40:3:006:0	Bibąąhági ádaat'éii yee ádaa dahoolne'go Jórdan tooh nílínígíí biyi' tó bee dadzíísį́į́' .
40:3:007:0	Nidi Férisii áádóó Sádjusii danilíinii tó bee dabidi'doolzįh biniyé deíkáahgo jiiłtsą́ągo ábijiní , T ł'iish ba'áłchíní danohłíinii ! Háishą' Diyin God t'óó báhádzidgo bibee até'él'íinii bits'ą́ąjį' dah dadínóohchééh nihidííniid ?
40:3:008:0	Éí bąą łahgo át'éego Diyin God bich'į' tsíńdadohkeesgo beełt'éego nihits'ą́ą́dóó aneest'ą' dahóle' ,
40:3:009:0	áádóó t'óó ádaa dadzíínóhdlíigo t'áá nihiyi'ídi , Éíbraham yee' nihizhé'é nilį́ , t'áadoo dadohníní , háálá ánihidishní , Diyin God díí tsé kǫ́ǫ́ naaznilígíí bee Éíbraham ba'áłchíní íidoolíiłgo yíneel'ą́ .
40:3:010:0	K'ad nidi tsin bihétł'óól biniyé tsénił si'ą́ , áko tsin t'áá ałtso bineest'ą' doo yá'át'ééhgóó bąąh nídahadleehígíí k'ídahalne'go , kǫ' biyi' góne' adahaltł'iid .
40:3:011:0	Łahgo át'éego Diyin God bich'į' tsíńdahidohkeesgo bąąhági ádanoht'é yę́ę bits'áhóhkáahgo tó bee danihisį́į́h , nidi shikéédę́ę́' náájoodáłígíí éí shiláahgo ájít'é , áko hakee' yish łéeł dooígíí doo bą́ą́h nishłį́į da ; hó t'éí Níłch'i Diyinii índa kǫ' bee danihidzisį́įh doo .
40:3:002:1	Jesus éí tó bee bi'doolzį́į́'
40:3:012:0	Hó éí ásaa' bee ąąh oolch'íhígíí dah joo'ááł , áádóó háá'jílk'áahgi hozhdidooshǫǫłgo hatł'oh naadą́ą́' nooh níjílchíihgi yah ahizhdooyééł , nidi azhool t'éí kǫ' doo nitséesii bee adizhdoołk'ą́ą́ł .
40:3:013:0	Ákohgo Gáliliidę́ę́' Jórdanjį' Jesus níyá , John tó yee hodoosįh biniyé .
40:3:014:0	Nidi John éí Jesus ch'ééh kóbizhdííniid , Nigo yee' tó bee shidíísįh nít'éé' , da' ákoósh jó nida tó bee nideesįh biniyé shéíníyá ?
40:3:015:0	Nidi Jesus ánááhodoo'niidgo ání , Bíni'dii k'ad éí ákót'é , háálá ákót'éego t'áá ákogi ádaat'éii t'áá ałtso bi'diilnííł . Áko John yee lą́ asłį́į́' .
40:3:016:0	Áádóó Jesus tó bee ho'doolzį́į'go táyi'dę́ę́' háádzísdzá , nít'éé' jó'akon yá' ąąsh ąą ádzaa , áádóó Diyin God biNíłch'i Diyinii hasbídí nahalingo Jesus bik'ijį' hadahooleełgo áádóó bik'i dah neezdáago jiiłtsą́ .
40:3:017:0	Áádóó yá'ąąshdę́ę́' iinéé' diists'ą́ą'go ání , Díí shiYe' ayóó'óósh'níinii jílį́ , t'áá íiyisí hąą shił hózhǫ́ .
