40:15:001:1	Jew dine'é bizází yę́ę bi'é'él'į'
40:15:001:0	Ákohgo Férisii danilíinii áádóó bee haz'áanii yínda'niłtinii kódaaníigo Jerúsalemdę́ę́' Jesus yaa yíkai ,
40:15:002:0	Ha'át'éegoshą' nídahooł'aahii nihizází yę́ę bi'é'él'į' doo yik'ehgóó ádaat'ée da ? Háálá ada'niiyį́įhgo bíla' doo táádeigis da .
40:15:003:0	Áko ábizhdííniid , Ha'át'íishą' biniyé nihí ałdó' nihi'é'él'į' biniinaa Diyin God yee has'áanii bilááh nidahidołtaał ?
40:15:004:0	Háálá Diyin God ání , Nizhé'é índa nimá nił nilį́įgo íínísin , áádóó , T'áá háiida bizhé'é , doodaii' bimáda yiyíídzí'ígíí , t'áá aaníí hodi'yoolyééł , níigo yee has'ą́ .
40:15:005:0	Nidi nihí ádadohní , T'áá háiida bizhé'é , doodaii' bimáda , T'áá ha'át'íhída bee nihíká adeeshwoł yę́ę éí Diyin God baa deet'ą́ , yiłnínígíí ,
40:15:006:0	éí binahjį' bizhé'é [ doodaii' bimáda] doo bił nilį́į da nidi éí t'áá áko , dadohní . Áko nihi'é'él'į' biniinaa Diyin God bibik'eh ó'oo'níiłii doo idééłníígóó ádaahłaa .
40:15:007:0	Nihí t'óó ádahodoł'íinii ! Ts'ídá niheełt'éego Aizéíyah t'áá nihilą́ąjį' kóní igo nihaa hoolne' :
40:15:008:0	Díí diné t'áá bizábąąhídóó t'éiyá yee shił danilį́ , nidi dabijéí doo yee shit'áhíjį' ádaat'ée da ;
40:15:002:1	Diné bidoołchxǫǫłii
40:15:009:0	Na'níle'dii shich'į' dahodísin , háálá diné yee nahas'áanii bina'nitin danilį́įgo yee nida'nitin .
40:15:010:0	Áádóó diné yíl'áhígíí hágo bizhdííniidgo ábijiní , Da'íísółts'ą́ą́' áádóó díí bik'ida'doohtįįh :
40:15:011:0	ha'át'íhída diné bizahwiileehígíí éí doo nibiiłchxǫǫh da , nidi bizéé'dę́ę́' hahwiileehígíí éí nibiiłchxǫǫh .
40:15:012:0	Ákohgo hódahooł'aahii yíkaigo ádahodííniid , Díí bee háínídzí'ígíí Férisii danilíinii deidiizts'ą́ą'go yik'ee doo bił dahóózhǫǫd daígíísh ni ł bééhózin ?
40:15:013:0	Áko ábijiní , ShiTaa' yá'ąąshdi hólóonii ch'il doo k'iidííláhígíí t'áá ałtso hadahidoolts'ǫł .
40:15:014:0	Éí t'áadoo baa nídaaht'íní ; doo da'oo'į́į́góó nida'a'eeshígíí ádaat'į́ . Áko diné doo oo'íinii náánáła' diné doo oo'íinii yoolóosgo , t'áá áłah a'ą́dínóodah .
40:15:015:0	Nít'éé' Peter áhodííniid , Hane' bee ak'idi'dootį́įłii baa nánít'ínígíí ááhyiłníinii bee nihił hólne' .
40:15:016:0	Áko Jesus áhodííniid , Da' nihíísh ałdó' t'ah nidi doo ak'ida'doohtįįh da ?
40:15:017:0	Da' díísh t'ah doo bik'ida'doohtįįh da ? Ha'át'íhída azéé' góne' ahwiileehii éí abid yiih hwiileeh , áádóó agháhwiileeh .
40:15:018:0	Nidi azéé'dę́ę́' hahwiileehii éí ajéí bii'dę́ę́' hahwiileeh , áko éí diné nibiiłchxǫǫh .
40:15:019:0	Háálá ajéí bii'dę́ę́' nichxǫ́'ógo nitsáhákees hahwiileeh , diné naatseed , adilyé , na'ageh bee tsi'na'adá , ani'į́į́' , wooch'íidgo hane' , t'áá ádzaagóó aa hane' .
40:15:003:1	Kéínan dine'é asdzání nilíinii bi'oodlą'
40:15:020:0	Díidí diné nibiiłchxǫǫh , nidi yílá doo tánásgizgóó adą́ągo éí diné doo niyiiłchxǫǫh da .
40:15:021:0	Áko Jesus áádóó dashdiiyáago Táir índa Sáídan kéyah bił haz'ą́ą́ góne' ajííyá .
40:15:022:0	Nít'éé' jó'akon , t'áá éí nahós'a'dóó Kéínan dine'é asdzání léi' níyáago hadoolghaazhgo ání , Bóhólníihii , David biYe' nílíinii , shaa jiiníbaah ; níłch'i bi'iiníziinii t'áá íiyisí shich'é'é yi'niiłhį́ .
40:15:023:0	Nidi t'áadoo bich'į' hadzoodzíi' da . Áko hódahooł'aahii yíkaigo nídahookąąhgo ádaaní , Nówehjį' bidiní , háálá nihikéé' doolwosh .
40:15:024:0	Nidi ábizhdííniid , Ízrel dine'é éí dibé nahalingo yóó'adahaaskaígíí t'éiyá bich'į' shi'dool'aad .
40:15:025:0	Nidi asdzání haa níyáago hach'į' nitsidinígo'go ání , Bóhólníihii , shíká anilyeed .
40:15:026:0	Áko ábizhdííniid , Áłchíní bich'iyą' łééchąą'í bich'į' ajiiłtł'iidgo doo aaníi da .
40:15:027:0	Nidi asdzání ádííniid , T'áá aaníí ákót'é , Bóhólníihii , áko łééchąą'í nidi yíhółníihii bibikáá' adání bikáá'dę́ę́' łees'áán bizéí hadandéhígíí deiyą́ .
40:15:004:1	Lą'í náádabi'diiljéé'
40:15:028:0	Áko Jesus ánáázhdoo'niid , Asdzání , dooládó' ne'oodlą' bee a'íínílíii ayóó át'éé lá ! T'áá íinínízinígíí bik'ehgo ná ádoonííł . T'áá áko bich'é'é náábi'diilzá .
40:15:029:0	Áko áádóó Jesus dashdiiyáago Gálilii be'ek'id bąąhgóó jiníyá . Áádóó wók'ą́ąjį' hajiyá , ákwii dzineezdá .
40:15:030:0	Nít'éé' diné t'óó ahayóí haa haaskai , ła' nida'niłhod , ła' doo da'oo'į́į da , ła' doo yádaałti' da , ła' bąąh dah nidahaz'ą́ , áádóó náádaała' ka nidaakaígíí lą'í yił haa haaskaigo hayaajį' nidayiizhjaa' , áko náádabizhdiyiisá ,
40:15:005:1	Diné dį́įdi mííl yilt'éego ba'íltsood
40:15:031:0	áko diné áłah nilínígíí éí diné doo yádaałti'ii yádaałti'go , áádóó bąąh dah nidahaz'áanii doo ádaat'éhígóó , áádóó nida'niłhodii yá'át'éehgo nidaakaigo , índa doo da'oo'íinii da'oo'į́ áńdaalyaago , éí dayiiłtsą́ągo bik'ee t'óó bił adahóóyóí ; áko Ízrel biDiyin God yaa dahaznih .
40:15:032:0	Ákohgo Jesus hódahooł'aahii hágo bizhdííniidgo ábijiní , Díí diné yíl'áhígíí baa a'ááh nisin , háálá t'áá shaa áłah nilį́įgo k'ad táá' yiską́ , áko t'áadoo dayóyą́'í da , nidi t'áá dichin danilį́įgo doo t'áá k'ad béé'ayéłnii' da , háálá dabighan yi'oh dahidínóołnah .
40:15:033:0	Áko hódahooł'aahii ádahałní , Díí honoojíigi háádę́ę'shą' bááh ła' shódeidiilt'eełgo díí diné áłah nilínígíí da'dooyį́įłgo hwiih dadooleeł ?
40:15:034:0	Nít'éé' Jesus áhodííniid , Łees'áánshą' díkwíí nidaahjaah ? Áko ádaaní , Tsosts'id lą́ą , áádóó łóó' ádaałts'íísígíí ałdó' t'áá díkwíí yee' .
40:15:035:0	Áko diné yíl'áhígíí , Ni'góó dinohbįįh , bizhdííniid ,
40:15:036:0	áko łees'áán tsosts'id índa łóó' nízhdiinilgo , Diyin God bich'į' sozdilzingo baa ahéésniizį́į́' , áádóó nijiitíihgo hódahooł'aahii bitaa jiniih índa éí diné yíl'áhígíí yitaa deiznii' .
