40:1:001:1	Jesus Christ dabizází yę́ę
40:1:001:0	Jesus Christ éí David bits'ą́ą́dóó oochíiłii nilį́ , áádóó David éí Éíbraham bits'ą́ą́dóó oochíiłii nilį́ . Kót'éego Jesus Christ bizází yę́ę náás da'ahílchį́ .
40:1:002:0	Éíbraham éí Áízak há yizhchį́ , áádóó Áízak éí Jéíkab há yizhchį́ , áádóó bik'ijį' Jéíkab éí Júdah áádóó bik'isóó há niheezhchį́ ,
40:1:003:0	áádóó ákóne' Téímar éí Píírez índa Zíírah , Júdah bá jishchį́ , áádóó bik'ijį' Píírez éí Hézran há yizhchį́ , áádóó bik'ijį' Hézran éí Ram há yizhchį́ ,
40:1:004:0	áádóó áadi Ram éí Amínadab há yizhchį́ , áádóó bik'ijį' Amínadab éí Náshan há yizhchį́ , ákóne' Náshan éí Sálman há yizhchį́ ,
40:1:005:0	náá'ákóne' Réíhab éí Bó'az , Sálman bá jishchį́ , áádóó bik'ijį' Ruth éí Óbed , Bó'az bá jishchį́ , áádóó áadi Óbed éí Jésii há yizhchį́ ,
40:1:006:0	áadi índa Jésii éí David aláahgo naat'áanii há yizhchį́ . Áádóó bik'ijį' Yoráíyah be'asdzą́ą́ nít'é'ígíí éí Sálaman , David bá jishchį́ ,
40:1:007:0	áádóó bik'ijį' Sálaman éí Riihobówam há yizhchį́ , ákóne' Riihobówam éí Abáíjah há yizhchį́ , áádóó áadi Abáíjah éí Éísa há yizhchį́ ,
40:1:008:0	áádóó bik'ijį' Éísa éí Jiiháshafat há yizhchį́ , ákóne' Jiiháshafat éí Jiihóram há yizhchį́ , áádóó náá'ákóne' Jiihóram éí Azáíyah há yizhchį́ ,
40:1:009:0	áádóó áadi Azáíyah éí Jótham há yizhchį́ , áádóó bik'ijį' Jótham éí Éíhaz há yizhchį́ , áádóó náá'ákóne' Éíhaz éí Heziikáíyah há yizhchį́ ,
40:1:010:0	áádóó áadi Heziikáíyah éí Manáseh há yizhchį́ , áádóó bik'ijį' Manáseh éí Éíman há yizhchį́ , áádóó náá'ákóne' Éíman éí Josáíyah há yizhchį́ ,
40:1:011:0	áadi índa Bábilangóó ho'disnááh yę́ędą́ą́' Josáíyah éí Jekonáíyah índa bik'isóó há niheezhchį́ .
40:1:012:0	Áádóó índa Bábilangóó ho'disnááhdóó bik'ijį' Jekonáíyah éí Shiyáltiyel há yizhchį́ , áadi índa Shiyáltiyel éí Zerábabel há yizhchį́ ,
40:1:013:0	áádóó ákóne' Zerábabel éí Abáíyad há yizhchį́ , náá'ákóne' Abáíyad éí Iiláíyakim há yizhchį́ , áádóó bik'ijį' Iiláíyakim éí Éízor há yizhchį́ ,
40:1:014:0	náá'ákóne' Éízor éí Zéídak há yizhchį́ , áádóó índa Zéídak éí Éíkim há yizhchį́ , áádóó bik'ijį' Éíkim éí Iiláíyad há yizhchį́ ,
40:1:015:0	náá'ákóne' Iiláíyad éí Eliyéízer há yizhchį́ , áádóó bik'ijį' Eliyéízer éí Máthan há yizhchį́ , índa Máthan éí Jéíkab há náánázhchį́ ,
40:1:016:0	Jéíkab éí Jóseph há yizhchį́ , áko Jóseph éí Mary bahastiin silį́į́' . Mary éí Jesus , Christ wolyéhígíí , jishchį́ .
40:1:002:1	Jesus Christ bi'dizhchį́
40:1:017:0	Áko Éíbraham hiná yę́ędóó David hiná yę́ęjį' dį́į́'ts'áadahdi ałk'i ná'ázhchį́ , áádóó David hiná yę́ędóó Bábilangóó ho'disnááh yę́ęjį' dį́į́'ts'áadahdi ałk'i ná'ázhchį́ , ákóne' Bábilangóó ho'disnááh yę́ędóó Christ yizhchį́įjį' dį́į́'ts'áadahdi ałk'i ná'ázhchį́ .
40:1:018:0	Jó , kót'éego Jesus Christ ho'dizhchį́ . Hamá Mary éí Jóseph yił ahaa doot'ashgo yił aha'deet'ą́ , nidi t'ah doo yił ahaít'aashgóó , Níłch'i Diyinii bibee adziilii bee iz'niiltsąądgo bééhoozin .
40:1:019:0	Áko Jóseph , hahastiin dooleełígíí , diné t'áá ákogi át'éii nilį́įgo , t'áá nahonit'inee nahjį' nihodideesh'áałgo doo haa yáhodoosįįł da niizį́į́' .
40:1:020:0	Nidi díí yaa nitsíkees nít'éé' nayiiyeełgo Bóhólníihii bidiyingo naal'a'í bich'į' yit'íní í'diilyaago ábíłní , Jóseph , David biye' nílíinii , Mary ne'asdzą́ą́ yileehígíí t'áadoo bik'ee nił yé'í , háálá Níłch'i Diyinii bibee adziilii bee iz'niiltsąąd .
40:1:021:0	Áko ashkii yidoołchííł , áádóó Jesus bee yídíízhiił , háálá bidine'é bibąąhági ádaat'éii yits'ą́ąjį' yisdéidiyoonił .
40:1:022:0	Diyin God yá halne'ii binahjį' Bóhólníihii hahaasdzíi'ii ałtso bohodoolnííł biniyé ádzaa :
40:1:023:0	Jó'akon , ch'ikę́ę́h t'ah doo diné bee haleehiiawéé' bee hodooleełgo ashkii yidoołchííł , Éí Imányowel bee yídóojiił , ( éí Diyin God nihił hólǫ́ jiníigo óolyé ) .
40:1:024:0	Nít'éé' Jóseph ts'éédzídzidgo nízhdii'na' , áko Bóhólníihii bidiyingo naal'a'í áhodííniidii bi'jiilaago , Mary bił ahaa jít'áázh ,
40:1:025:0	nidi t'áadoo baa níjít'įįhí biyáázh yishchį́ , áádóó Jesus bee jíízhi' .
