40:12:001:1	Jesus bídahooł'aahii háá'áyį́į́h jį́į́ góne' tł'oh naadą́ą́' deinizh
40:12:001:0	Íídą́ą́' háá'áyį́į́h jį́ azlį́į'go tł'oh naadą́ą́' bitahgóó Jesus hódahooł'aahii bił jookah , áko hódahooł'aahii dichin daazlį́į'go tł'oh naadą́ą́' yida'niinizhgo yida'niiyą́ą́' .
40:12:002:0	Nidi Férisii danilíinii éí dayiiłtsą́ągo ádahodííniid , Shoo , nídahooł'aahii háá'áyį́į́h jį́į́ góne' doo bee haz'ánígíí yaa naakai .
40:12:003:0	Nidi Jesus áhodííniid , Da' t'ahásh doo David índa hoł naakaígíí dichin daazlį́į'go ádaadzaa yę́ęgi da'íínółta' da :
40:12:004:0	shą́ą́' , David éí Diyin God bikin góne' yah ajííyáago , Diyin God bich'į' bááh nááhániihii jííyą́ą́' , éí doo jidooyį́į́łgóó índa hoł naakaígíí ałdó' doo deidooyį́į́łgóó bee haz'ą́ą́ nít'éé' , nidi nááda'iiłniihii t'éiyá ?
40:12:005:0	Áádóó háá'áyį́į́h jį́ ná'oodleeł bik'eh nááda'iiłniihii kin bii' sohodizin góne' háá'áyį́į́h jį́į́ góne' bee haz'áanii doo yik'eh dahół'į́į da nidi bee haz'áanii Mózes baa deet'áanii doo yee ádąąh dah nidahat'a' da nít'éé' . Da' éísh t'ah doo deínółta' da ?
40:12:006:0	Nihił hashne' , ła' kin bii' sohodizin yiláahdi ayóó át'éii kwe'é naaghá .
40:12:007:0	Nidi , Aa a'ááh hasin t'éí nisin , nááhániihii éí dooda , díí ááhyiłníinii nihił béédahózin nít'ée'go , t'áadoo ádąąh dah dahool'a'ii doo bá nidahosoo'ą́ą da doo nít'éé' .
40:12:002:1	Diné bíla' bąąh dah haz'áanii
40:12:008:0	Háálá Diné Silį́į'ii háá'áyį́į́h jį́ bee hóhólnííh .
40:12:009:0	Áko áádóó Jesus dah diiyáago kéédahat'íinii bikin yii' áłah nádleeh góne' yah ííyá .
