40:25:001:1	Ch'ikéí neeznált'éego binahjį' hane' bee ak'idi'dootį́įłii
40:25:001:0	Ákohgo yá'ąąshii bee bóhólníihgo bił haz'áanii éí ch'ikéí neeznált'éego bee hool'iní dah deidiijaa'go iiyehii yidááhgóó eekaígíí nahalin .
40:25:002:0	Áko nít'éé' ashdlalt'éego éí dahóyą́ą́ lá , ashdlalt'éego éí doo ádahalyą́ą da lá .
40:25:003:0	Doo ádahalyánígíí bee hool'iní dah deidiijaa'go ak'ah iih nídoodziłígíí t'áágééd dah diikai ,
40:25:004:0	nidi dahóyánígíí éí bee hool'iní dah deidiijaa' , índa ak'ah iih nídoodziłígíí tózis yee dah deidiijaa' .
40:25:005:0	Nít'éé' iiyehii doo yíghááhgóó , t'áá ádzíłtso bił dazniizį́į'go da'jiiłhaazh .
40:25:006:0	Nidi tł'é'ííłníi'go ła' hazhdoolghaazh yists'ą́ą́' , Aadę́ę́' iiyehii yigááł ! Nihílááh bidááh nohkááh .
40:25:007:0	Áko ch'ikéí t'áá ałtso nídiijée'go bee hool'iní biih yít'i'ígíí bílátahgi hasht'e' niyída'azhgizh .
40:25:008:0	Nít'éé' doo ádahalyánígíí éí dahóyánígíí ádeidííniid , Ak'ah ła' nihaa danohsííd , háálá nihibee hool'iní nihits'ą́ą́' dantséés .
40:25:009:0	Nidi dahóyánígíí hadaasdzíi'go ádaaní , Ak'ah nihada'niidzíidgo doo bíighah da ; doo hanii baa nidahaniihígíí bich'į' dohkáahgo t'áá nihí ádá nidahołniih da .
40:25:010:0	Áko nidazhdi'yoołnihgóó ajookaigo , iiyehii níyá , áko hasht'e' ádazhdólzinígíí iiyehii ída'íísįįd góne' iiyehii bił yah ajookaigo dá'deelkaal .
40:25:011:0	Áádóó bik'ijį' náánáła' ch'ikéí yę́ę ałdó' yíkaigo ádaaní , Bóhólníihii , Bóhólníihii , nihá ąą ánílééh .
40:25:012:0	Nidi haadzíi'go ání , T'áá aaníí ánihidishní , Doo nihéédahasin da .
40:25:002:1	Béeso tálent wolyéhígíí binahjį' hane' bee ak'idi'dootį́įłii
40:25:013:0	Éí bąą hada'ísídół'į́į́' , háálá [ Diné Silį́į'ii] yoołkááł áádóó oolkił góne' [ doogáłígíí] doo nihił béédahózin da .
40:25:014:0	Yá'ąąshii bee bóhólníihgo bił haz'áanii éí kót'é : diné léi' náánáła' kéyahgóó deeyáago bá nidaal'a'í hágo yidííniidgo , hanaalye'é há yaa ádahalyą́ą doo biniyé bitaazdeez'ą́ ,
40:25:015:0	nít'éé' ła' béeso tálent wolyéhígíí ashdla' bazh'nínil , ła' éí tálent naaki áádóó náánáła' tálent t'ááłá'í , t'áá yídaneel'ánígíí bik'ehgo bada'dziiznilgo índa dashdiiyá .
40:25:016:0	Nít'éé' tálent ashdla' ba'í'nilígíí t'áá áko naanish yee yaa nídiidzáago tálent ashdla' bá bínániidee' .
40:25:017:0	T'áá ákót'éego ałdó' tálent naaki ba'í'nilígíí tálent naaki bá bínániidee' .
40:25:018:0	Nidi tálent t'ááłá'í ba'ít'ánígíí éí dah diiyáago hahwiizgeedgo , ákóyaa binanit'a'í bibéeso łeeh yiyíí'ą́ągo néidees'į́į́' .
40:25:019:0	Nít'éé' nízaad nihoolzhiizhgo éí nidaal'a'í binanit'a'í nádzá , áko bich'į' ninádazhdoodlééł biniyé béeso hada'iisnilii bił dajííłta' .
40:25:020:0	Áko tálent ashdla' ba'í'nilígíí yich'į' niníyáago , tálent ashdla' bá bínániidee'ígíí yiníjaa'go kóní , Shinanit'a'í , tálent ashdla' sha'íínínil ni' ; éí tálent ashdla' shá bínániidee'ígíí kǫ́ǫ́ níjaa' .
40:25:021:0	Áko hananit'a'í áhodííniid , Yá'át'éhígi íinidzaa , yá'át'éehgo índa ba'ahódlíigo naal'a'í nílíinii ; t'įįhdígo bee na'ahoosdli'ígíí yá'át'éehgo ninaanish silį́į́' , k'ad éí lą'í bee nóhólníihgo ándeeshłííł ; ninanit'a'í yaa bił hózhóonii bee ná'íldįįh doo .
40:25:022:0	Áádóó tálent naaki ba'í'nilígíí ałdó' níyáago ádííniid , Shinanit'a'í , tálent naaki sha'íínínil ni' ; éí tálent naaki shá bínániidee'ígíí kǫ́ǫ́ níjaa' .
40:25:023:0	Áko hananit'a'í áhodííniid , Yá'át'éhígi íinidzaa , yá'át'éehgo índa ba'ahódlíigo naal'a'í nílíinii ; t'įįhdígo bee na'ahoosdli'ígíí yá'át'éehgo ninaanish silį́į́' , k'ad éí lą'í bee nóhólníihgo ándeeshłííł ; ninanit'a'í yaa bił hózhóonii bee ná'íldįįh doo .
40:25:024:0	Áádóó tálent t'ááłá'í ba'ít'ánígíí ałdó' níyáago ádííniid , Shinanit'a'í , nééhasingo diné hashkéii nílį́ , háálá t'áadoo k'éé'dídléehgi ná'ígish , áádóó t'áadoo ná'oołch'ihgi hééł áná'iil'įįh ,
40:25:025:0	áko ninásdzidgo bąą dah diiyáago tálent t'ááłá'í sha'ííní'áanii łeeh yí'ą́ągo nídéł'į́į́' . Jó , kóoní , níí' nít'ée'ii níí' ánánídlééh .
