40:21:001:1	Jesus ak'eh deesdlį́į'ii k'ehgo Jerúsalem góne' ííyá
40:21:001:0	Nít'éé' Jerúsalem t'áá áyídídę́ę́' bich'į' jookahgo Dził Álivz bíighahgi Béthfajii kin sinilígi jíkai , ákohgo hódahooł'aahii nidilt'éego ajííł'a' ,
40:21:002:0	kóbijiníigo , Nihílááh , náwónaanídi nihidááhjí kin sinilíjį' doh'aash , t'áá áko ákwii télii ła' biyázhí bił dahaastł'ǫ́ǫgo bik'ídooh'ash ; éí k'e'dooh'ałgo shaa nídooh'ish .
40:21:003:0	Áko t'áá háiida ha'át'íhída nihidííniidgo , Jó , Bóhólníihii choidooł'įįł , didoohniił , áko t'áá áko áádę́ę́' nihił yi'doołnih .
40:21:004:0	Díí kóhóót'įįdígíí Diyin God yá halne'ii kóníigo yee haadzíi'ii bohodoolnííł biniyé ádzaa :
40:21:005:0	Záíyan bich'é'é bił dahołne' , Jó'akon , Aláahgo niNanit'a'í nilíiniia'ohgo í'dólzingo télii , Jó , éí télii yázhí yik'i dahsidáago nich'į' bił yigááł .
40:21:006:0	Áko hódahooł'aahii dah dii'áazhgo Jesus t'áá áhodííniidígi ádziidzaa ,
40:21:007:0	áko télii índa biyázhí bił názh'ní'eezhgo habeeldléí bikáa'jį' adadziiznil , áádóó Jesus éí télii yázhí yik'i dah neezdá .
40:21:008:0	Áko diné lą'í dabibeeldléí atiingóó há dayíłkaad , náánáła' éí tsin bi'iil dayiizhgizhgo atiingóó há dayíłjeeh .
40:21:009:0	Áko halą́ąjį' índa hakéédę́ę́' nooyéłígíí dadilwoshgo ádaaní , David biYe' nilíinii baa ha'niih doo ! Bóhólníihii bízhi' bee bi'dójíigo yigáłígíí bik'ihojidlíi doo ! Aghánáhóó'áádę́ę́' baa ha'niih doo !
40:21:010:0	Áko Jerúsalem góne' ajííyáago t'áá át'éé nít'éé' hahodíídláád , Díishą' háí át'į́ , ha'níigo .
40:21:002:1	Kin bii' sohodizin nidayiiłchxǫǫhii ch'íneelkaad
40:21:011:0	Áko hoł nooyéłígíí ádadííniid , Díí Jesus , Diyin God yá halne'ii , Gáliliidi Názareth hoolyéédóó át'į́ .
40:21:012:0	Nít'éé' Jesus éí Diyin God bikin bii' sohodizin bił haz'ą́ą́ góne' yah ajííyáago , ákóne' baa nida'iiniihígíí índa nida'iiłniihígíí ch'ízhniníłkaad , áádóó bikáa'gi béeso ałghááda'a'nilii índa hasbídí baa nidahaniihii yikáá' dah naazdáhígíí naa'adziistł'ííd .
40:21:013:0	Áko ábijiní , Jó , bee ak'e'ashchį́ , Shikin éí kin bii' sohodizin wolyée doo , nít'éé' nihí aghada'ii'níiłii be'a'áán ádaahłaa lá .
40:21:014:0	Nít'éé' diné doo da'oo'ínígíí índa nida'niłhodígíí kin bii' sohodizin bił haz'ą́ągi haa haaskaigo , náádahizhdiyiisá .
40:21:015:0	Nidi aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii éí ádahooníiłii ayóó ádaat'éii baa nijiyáhígíí , áádóó kin bii' sohodizin bił haz'ą́ą́ góne' áłchíní , David biYe' nilíinii baa ha'niih doo ! daaníigo dadilwoshgo dayiiłtsą́ągo doo bił dahóózhǫǫd da ,
40:21:016:0	áko Jesus ádeidííniid , Díí ádaanínígíísh dints'a' ? Áko Jesus áhodííniid , Aoo' , da' kóhá'nínígíísh t'ah doo dayínółta' da ? Áłchíní yázhí índa awéé't'ahdii da'ałt'o'iiaa ha'niih t'áá ákogi át'éiiyee yádaałti'go íinilaa .
