40:19:001:1	Jesus ałts'á'iildééh yeinít'į́
40:19:001:0	Jesus díí saad ałtso bee hadziisdzíi'go , Gálilii kéyahdóó dashdiiyáago Jórdan tooh wónaanídi Judíya nahós'a'di jiníyá ;
40:19:002:0	áadi diné t'óó ahayóí hakéé' nánísą́ągo , ákwe'é nááhizdiisá .
40:19:003:0	Nít'éé' Férisii danilíinii ła' haa yíkaigo hákada'iiłhilgo nidahódééłkidgo ádaaní , Da' dinéésh t'áá azlį́'ígíí biniinaa be'asdzą́ą́ yóó'iidoołt'eełgo t'áá bee haz'ą́ ?
40:19:004:0	Áko bich'į' hadzoodzíi'go ábijiní , Da' díísh t'ah doo dayínółta' da ? Hodeeyáádą́ą́' diné áyiilaii éí biką'ii índa bi'áadii áyiilaago
40:19:005:0	ádííniid , Éí bąą diné jílíinii éí hazhé'éínda hamá bits'ą́ą́' dashdidoogáałgo , hwe'asdzą́ą́ t'éiyá bił jiináa doo , áko nizhdilt'éhígíí ats'íís t'ááłá'í jidooleeł .
40:19:006:0	Áko éí áádóó doo t'áá ał'ąą da , nidi ats'íís t'ááłá'í jileeh . Éí bąą Diyin God ahiidiinilii éí diné doo ałts'áidoonił da .
40:19:007:0	Nít'éé' ádahałní , Ákoshą' ha'át'íí biniyé Mózes éí naaltsoos bik'ehgo ałts'á'doot'ashígíí hadilyaago , índa ła'da hwe'asdzą́ą́ yóó'azhdidoo'ááł níigo yee has'ą́ą́ nít'éé' ?
40:19:008:0	Áko ábijiní , Nihijéí doo binídahaz'áhígíí biniinaa niheda'asdzą́ą́ yóó'adahidoh'aahgo Mózes t'áá yee nihá has'ą́ą́ nít'éé' , nidi hodeeyáádę́ę́' éí doo ákót'ée da nít'éé' .
40:19:009:0	Áádóó ánihidishní , T'áá háiida hwe'asdzą́ą́ doo adiléégóó yóó'azhdíí'ą́ągo , áádóó náánáła' asdzání bá náá'dzísgehgo , éí azhdííláago át'é [ índa t'áá háiida asdzání yóó'abi'doot'ánígíí bá'dzízyehii , éí ałdó' azhdíílá] .
40:19:010:0	Áko hódahooł'aahii ádahałní , Diné áádóó be'asdzą́ą́ yił ałch'į' ákót'éego t'áadoo asgehjígo la' yá'át'ééh lá .
40:19:011:0	Nidi ábizhdííniid , Diné t'áá ałtso díí kóhá'nínígíí doo deidoots'ą́ą́' át'ée da , nidi t'áá baa dadeest'ánígíí t'éiyá .
40:19:002:1	Jesus éí áłchíní yázhí yik'ijidlí
40:19:012:0	Háálá diné ła' doo da'dooyehgóó nidabi'diizhchį́ , áádóó ła' doo da'dooyehgóó diné ádabiilaa , índa ła' yá'ąąshii bee bóhólníihgo bił haz'áanii biniyé doo da'dooyeh da . T'áá háiida ákójínéehgo bízhneel'ánígíí , háni'dii éí ákójínééh .
40:19:013:0	Nít'éé' áłchíní yázhí ła' bik'i dah dahizhdidoolnih áádóó bá sozdidoolzįįł biniyé haa dayii'éésh . Nít'éé' hódahooł'aahii éí deideezteh .
40:19:014:0	Nidi Jesus ázhdííniid , Bíni'dii áłchíní shaa hakááh , t'áadoo shich'į' nidanoh'iní , háálá ákódaat'éhígíí yá'ąąshii bee bóhólníihgo bił haz'áanii bíí' ádaat'é .
40:19:003:1	Dinééh at'íinii
40:19:015:0	Áko bik'i dah dahizdeesnii'go , índa dashdiiyá .
40:19:016:0	Nít'éé' jó'akon , dinééh ła' haa níyáago áhodííniid , Na'nitiní , ha'át'íí yá'át'éehii shį́įshą' baa niséyáago iiná doo ninít'i'ii shee hodooleeł ?
40:19:017:0	Áko ábizhdííniid , Ha'át'íishą' biniyé ha'át'íida yá'át'éehii bínashídíłkid ? T'áadoo yá'át'éhí da . Diyin God t'éiyá yá'át'éehii nilį́ . Iiná biih deeshááł nínízingo , Diyin God yee has'áanii bik'eh honíł'į́ .
40:19:018:0	Áko dinééh áhodííniid , Háidíígíishą' ááhdiní ? Áko Jesus ánááhodoo'niid , Diné ts'ídá doo diyííłhéeł da , Ts'ídá doo adidííléeł da , Ts'ídá doo adíníí'į́įł da , Doo t'áá ádzaagóó hólne'í da ,
40:19:019:0	Nizhé'é índa nimá nił nilį́įgo íínísin , áádóó , T'áá ni ádíí'ní'nínígi át'éego bił kééhót'íinii ayóó'ííní'ní .
40:19:020:0	Nít'éé' dinééh áháłní , Eiidí lá t'áá ałtso bik'eh honish'į́įgo hoolzhiizh ; ha'át'éegishą' t'ahdii shich'į' anáhóót'i' ?
40:19:021:0	Jesus ábidííniid , Ts'ídá t'áá ákogi ánísht'ée doo nínízingo , nílááh nídídáahgo nee hólónígíí t'áá ałtso naa nahóniihgo , bee shóisíníłt'e'ígíí badahojoobá'íígíí bitaa díínih , áko yá'ąąshdi naalye'é ílíinii nee hólǫ́ǫ dooleeł , ákohgo índa dah diináahgo shikéé' yínááł .
40:19:022:0	Nidi dinééh éidíígíí yidiizts'ą́ą'go , t'áá íiyisí yąąh bíni'go dah diiyá , háálá t'áá íiyisí at'į́ .
40:19:023:0	Áko Jesus éí hódahooł'aahii ábizhdííniid , T'áá aaníígóó ánihidishní , Diné at'íinii yá'ąąshii bee bóhólníihgo bił haz'áanii yiih doogáłígíí bá niłdzil .
40:19:024:0	Áádóó ánáánihidish'ní , Ghą́ą́'ask'idii tsah bighá'ált'ih góne' ch'ídoogáałgo doo bá bohónéedzą́ą da , nidi diné ajit'íinii Diyin God bee bóhólníihgo bił haz'áanii biishdoogáłígi agháago doo há bohónéedzą́ą da .
40:19:025:0	Áko hódahooł'aahii éidíígíí deidiizts'ą́ą'go t'áá íiyisí t'óó bił adahayóigo ádaaní , Ákoshą' háí yisdádooltééł ?
40:19:026:0	Nidi Jesus honíł'į́įgo áháłní , Éí diné ts'ídá t'áadoo bee bá bohónéedzą́ą da , nidi Diyin God t'áá ałtsoní bee bá bohónéedzą́ .
40:19:027:0	Nít'éé' Peter hanáánáádzíi'go áhodííniid , Jó , nihí nihee dahólǫ́ǫ́ nít'é'ígíí ałtso bits'ą́ą́' dah dahidiikaigo , nikéé' dayíníikááh . Ákoshą' ha'át'íí nihíí' dadooleeł ?
40:19:028:0	Jesus áhodííniid , T'áá aaníígóó ánihidishní , Nihí shikéé' dah dahidoohkaígíí , łahgo náhodeesdzáadi Diné Silį́į'ii bibikáá'dóó nahat'áii bits'ádi'nílíidii yikáá'dóó dah neezdáago , nihí ałdó' bikáá'dóó nidahat'áii naakits'áadahgo bikáá'dóó dah nisoodáago , Ízrel dine'é naakits'áadahgo bindanoht'áa doo .
40:19:029:0	Áko t'ááłá'í jinítínígo dahakin nít'ée'ii , doodaii' hak'isóó , doodaii' halahkéí , doodaii' hazhé'é , doodaii' hamá , [ doodaii' hwe'asdzą́ą́ , ] doodaii' ha'áłchíní , doodaii' dahakéyahda shízhi' biniinaa bits'ą́ą́' dah dahizhdiikaii , éí hwee dahólǫ́ǫ́ nít'é'ígíí neeznádiindi ahą́ą́h nániiláago haa nídoolyééł , índa iiná doo ninít'i'ii hwee hodooleeł .
40:19:030:0	Nidi lą'í da'alą́ąjį'ígíí éí da'akéédę́ę' doo , índa da'akéédę́'ígíí da'alą́ąjį' doo .
