40:8:001:1	Jesus éí diné łóód ats'íís yiyáanii naałdzidii bee bąąh dah haz'ą́ągo néidiisá
40:8:001:0	Dził bąąhdę́ę́' hadáádzoodzáago , diné ayóó ánéelą́ą́' hakéé' nooyééł ,
40:8:002:0	áko jó'akon , diné ła' łóód ats'íís yiyáanii naałdzidii bee bąąh dah haz'ą́ą́ léi' haa níyá , áádóó hach'į' nahasáago ání , Bóhólníihii , íinínízin ládą́ą́' nááshididííłááł .
40:8:003:0	Áko Jesus k'ídeesníi'go hodeelchid kóníigo , Íinisin lą́ą ; łóód nąąh óodįįh . T'áá áko łóód ats'íís yiyáanii naałdzidii yę́ę hąąh ásdįįd .
40:8:002:1	Jesus éí siláo neeznádiingo yinanit'a'í nilíinii bá naal'a'í néidiisá
40:8:004:0	Áádóó Jesus áhodííniid , T'ááká diné ła'da bił hóólne' lágo , nidi nílááh dah diináahgo náá'iiłniihii bíni'dii átsé niníł'į́ , áádóó nááhidoonihii t'áá Mózes yee nihoní'ánígi át'éego nááhidííłnih , áko éí bee nilóód náádzí'ígíí diné bił béédahózin doo .
40:8:005:0	Áádóó Kapérniyamgi jiníyáago siláo neeznádiin yilt'éego binanit'a'í nilį́į́ léi' hach'į' niníyáago náhookąąh ,
40:8:006:0	áko áháłní , Bóhólníihii , diné shá naal'a'ígíí doo bitah nahwii'náágóó t'áá íiyisí ti'hooníihgo hooghandi sitį́ .
40:8:007:0	Áko Jesus áhodííniid , Ákǫ́ǫ́ deesháałgo nááhodideeshłááł .
40:8:008:0	Nidi siláo binanit'a'í hanáánáádzíi'go ání , Bóhólníihii , shighan góne' shił yah adíínáałgi doo bą́ą́h anishłį́į da , nidi t'óó saad bee handziih , áko shá naal'a'í náádidoodááł .
40:8:009:0	Háálá shí ałdó' shinanit'a'í hólǫ́ , áádóó siláo binanit'a'í nishłį́ , áko ła' , Ákǫ́ǫ́ díínááł , bidishniihgo dah diighááh , náánáła' , Hágo , bidishniihgo shaa yighááh , áádóó shinaalte' , Kónínééh , bidishniihgo t'áá áko éí yi'iił'įįh .
