40:14:001:1	John Tó Yee Asį́įhii bi'diisyį́
40:14:001:0	Áko íídą́ą́' Hérad , naat'áaniishchíín jílíinii , Jesus baa hozdiizts'ą́ą'go
40:14:002:0	há nidaal'a'í ábizhdííniid , Díí John Tó Yee Asį́įhii daaztsą́ą́dę́ę́' náádiidzáago át'į́į́ lá ; éí bąą díí adziil bee ayóó át'éego ádahooníiłii bii' hólǫ́ǫgo yinahjį' áánííł lá .
40:14:003:0	Háálá Hérad éí hatsilí Philip be'asdzą́ą́ Heródiyas wolyéii biniinaa John jiiłtsood , áko be'dziztł'ǫ́ǫgo awáalyaa góne' yah ajííłt'e' .
40:14:004:0	Háálá íídą́ą́' John áhodííniid , Nitsilí be'asdzą́ą́ bił nani'aashgo doo bee ná haz'ą́ą da .
40:14:005:0	Áko azhą́ hodiyeeshxééł hó'níi nidi diné áłah nilínígíí yinásdzííd , háálá John éí Diyin God yá halne'ii nilį́ dayó'ní .
40:14:006:0	Nidi Hérad bi'dizhchį́į́ yę́ęjį' anáhoolzhiizhgo , áłah silį́'ígíí binááł Heródiyas bich'é'é oolzhiizhgo Hérad yił hóóshǫǫd ,
40:14:007:0	áko at'ééd t'áá yiyííkeedígíí yeididoo'áałgo yee ádee hadoodzíí' .
40:14:008:0	Áko at'ééd bimá ábíłníigo kódííniid , John Tó Yee Asį́įhii bitsiits'iin kwe'é łeets'aat'ą́hí bii' si'ą́ągo shaa níkaah .
40:14:009:0	Áko aláahgo naat'áanii t'áá íiyisí bąąh bíni' , nidi ádee hadoodzí'ígíí índa baa iisdee'ígíí biniinaa baa doot'áałgo yee hooł'a' ,
40:14:010:0	áko ákǫ́ǫ́ i'ííł'a'go awáalyaadi John bitsiits'iin k'élne' ,
40:14:011:0	áko bitsiits'iin łeets'aat'ą́hí bee náką́ągo at'ééd baa yíką́ , áádóó at'ééd éí bimá yeiníką́ .
40:14:002:1	Diné ashdladi mííl yilt'éego ba'íltsood
40:14:012:0	Nít'éé' John hódahooł'aahii danilį́į́ nít'ée'ii yíkaigo hats'íís dah deidiiłtį́įgo yóó'ádayiilaa , áádóó dah diikaigo Jesus yił dahoolne' .
40:14:013:0	Ákohgo Jesus éidíígíí yiyíínii'go , áádóó dah diiyáago tsinaa'eeł bee doo naagháhígóó i'jííł'éél . Nidi diné yíl'áhígíí haa dahodiizts'ą́ą'go kin hadaas'áádę́ę́' t'áá ni' hakéé' niheezhjéé' .
40:14:014:0	Áko tsinaa'eeł bii'dę́ę́' Jesus hajííyáago , ayóó át'éego diné yíl'áago jiiłtsą́ , áko baa a'ááh jiniizį́į'go bąąh dah nidahaz'ánígíí náádabizhdiyiisá .
40:14:015:0	Nít'éé' hííłch'į'go hódahooł'aahii kódaaníigo haa yíkai , Kwe'é doo naagháhí da , áádóó t'áá íídą́ą́' k'adę́ę anáá'át'aah ; diné yíl'áhígíí nídayínóhkááh bidiní , áko bíni'dii kin dah naazhjaa'góó ch'iyáán deidooyį́łígíí t'áá bí ádá nideidiyoołnih .
40:14:016:0	Nidi Jesus áhodííniid , Doo nihidahaaskai da nidi t'áá nihí bada'nołtsóód .
40:14:017:0	Áko ádahałní , Łees'áán t'áá ashdla'í áádóó łóó' t'áá naakíhí t'éiyá nideiijaah .
40:14:018:0	Áko , Wóshdę́ę́' shaa nohnííł , jidííniid .
40:14:019:0	Áko diné yíl'áhígíí , Hootsogóó dinohbįįh , bizhdííniid , áádóó łees'áán ashdla'ígíí índa łóó' naakiígíí nízhdiinilgo , yá'ąąshgóó jidéez'į́į'go bik'i sozdoolzin , áádóó nijiitíihgo łees'ánígíí hódahooł'aahii bitaa jiniihgo , éí diné yíl'áhígíí yitaa deiznii' .
40:14:020:0	Áko t'áá ałtso da'ííyą́ą'go hwiih daazlį́į́' . Áko nidahaasti'go bi'oh da'jííyą́'ígíí náádadziisdláa'go ts'iizis naakits'áadah hadazdeesbįįd .
40:14:003:1	Jesus táłkáá' yigááł
40:14:021:0	Asdzání áádóó áłchíní t'áadoo wólta'í dinéhígíí t'áá bízhánígo ashdladi mííl daats'í da'ííyą́ą́' lá .
40:14:022:0	Ákohgo Jesus hódahooł'aahii , Tsinaa'eeł biih hohkáahgo wónaanígóó shilą́ąjį' da'doł'eeł , áko shí éí jíl'áhígíí nídayínóhkááh bidideeshniił , bizhdííniid .
40:14:023:0	Áko jíl'áhígíí nídayínóhkááh bizhdííniidóó bik'ijį' sozdidoolzįįł biniyé t'áá sáhí dził bíjiiyá . Áko i'íí'ą́ągo t'áá sáhí áadi nijighá ,
40:14:024:0	ákohgo tsinaa'eeł tá'ałníí'góó yi'oł , nít'éé' bidááhdę́ę́' níyolgo biniinaa tó bínízdiiłhałgo yi'oł .
40:14:025:0	Áko yikáíht'áahjį' ayííłką́ągo , táłkáá'góó joogáałgo baa nídzídzá .
40:14:026:0	Nít'éé' hódahooł'aahii táłkáá' joogáałgo dahoołtsą́ągo hwéédaasdzííd , áko , Ha'át'íí shį́į́ bich'į́įdii át'į́ ! daaníigo hak'ee bił yéé' dahazlį́į'go hadadeeshghaazh .
40:14:027:0	Nidi t'áá áko Jesus kóníigo hach'į' haadzíí' , Nihił dahózhǫ́ , shíyee' ásht'į́ ; t'áadoo nídaałdzidí .
40:14:028:0	Nít'éé' Peter hach'į' haadzíi'go ádííniid , Bóhólníihii , ni ánít'į́į́ ládą́ą́' táłkáa'gi shaa nínááh , shidiní .
40:14:029:0	Áko , Hágo , bizhdííniid . Áádóó tsinaa'eeł bii'dę́ę́' Peter hajííyáago Jesus baazhdoogááł biniyé táłkáá' jideeyá ,
40:14:030:0	nidi níyol bidziilgo hoł bééhoozingo nídzísdzííd , áko yaazhdeezhtłizhgo , Bóhólníihii , yisdáshíłteeh , jiníigo hazhdoolghaazh .
40:14:031:0	T'áá áko Jesus k'ídeeshchidgo hasił kóháłníigo , T'įįhdígo iinídláanii ! Ha'át'éegoshą' nił naaki hazlį́į́' ?
40:14:032:0	Áko tsinaa'eeł biih níjoot'áazhgo ííyol .
40:14:004:1	Jesus éí Genésaretdi bąąh dah nidahaz'áanii néidiyiiłjeeh
40:14:033:0	Nít'éé' tsinaa'eeł yii' naháaztánígíí hach'į' nitsidadeezgo'go ádaaní , T'áá aaníí Diyin God biYe' nílį́į́ lá .
40:14:034:0	Tsé'naa hoł ni'ní'éelgo kéyah Genésaret hoolyéejį' jíkai .
40:14:035:0	Ákwii diné kéédahat'ínígíí hwéédahoosįįdgo , éí kéyah bikáa'gi t'áá níłtéél nít'éé' hane' ádayiilaa , áko bąąh dah nidahaz'ánígíí t'áá ałtso haa dayiizhjaa'go ,
40:14:036:0	Bíni'dii ni'éé' bijánil t'éiyá nidi yidahidilchííd , dahałníigo nídahooskan , áko hodahideeshchidígíí t'áá ałtso hadaałt'é nídaasdlį́į́' .
