40:27:001:1	Jesus éí Páílat bidááhdę́ę́' niho'deedlóóz
40:27:001:0	Abínígo aláahgo nááda'iiłniihii índa diné yá aląąjį' naazíinii Jesus deidiyoołhéełgo yaa nídaast'įįd ,
40:27:002:1	Júdas daaztsą́ągi hane'
40:27:002:0	áko hweda'aztł'ǫ́ǫgo dah dahodiilóóz , áádóó [ Pántiyas] Páílat naat'áanii nilíinii yaa dahodeez'ą́ .
40:27:003:0	Júdas , nináhodiní'ánígíí há nihoot'ą́ągo bił bééhoozingo , yąąh bíni' yíi'a' , áko béésh łigaii tádiinígíí aláahgo nááda'iiłniihii índa diné yá aląąjį' naazíinii yaa néí'nil ,
40:27:004:0	kóníigo , Diné t'áadoo ádąąh dah hast'áanii bidił bits'ádoonahgo ninádiní'ą́ągo bąąhági ásdzaa . Nidi ádahodííniid , Nihíísh nihik'ehdi , t'áá ni haa shį́į́ yit'éego ánílééh .
40:27:005:0	Nít'éé' kin bii' sohodizin góne' éí béeso yah ayííłkaadgo dah diiyá , áádóó éí t'áá yigáłí dah ádiidlo' .
40:27:006:0	Aláahgo nááda'iiłniihii éí béeso nídeidiinilgo ádadííniid , Díí béeso dił bik'é nii'nilígíí bąą kin bii' sohodizin bibéeso bitah doo'niłgo doo bee haz'ą́ą da .
40:27:007:0	Áko yaa nídaast'įįdgo , łeets'aa' íí ł'íní bił haz'ání hoolyéegi éí dé'éyóní danilíinii łeehe'níił dooleełgo biniyé kéyah nidayiisnii' .
40:27:008:0	Éí bąą éí kéyah dííshjį́į́góó Kéyah Diłii hoolyé .
40:27:009:0	Ákohgo Jeremáíyah , Diyin God yá halne'ii , kóníigo yee haadzíi'ii bohoolyaa , Áádóó béésh łigaii tádiingo hak'énii'niliiéí Ízrel dine'é nídeidiinil ,
40:27:003:1	Jesus éí Páílat nahódééłkid
40:27:010:0	áko Bóhólníihii áshidííniid yę́ęgi át'éegołeets'aa' ííł'íní bił haz'ání hoolyéegi yik'é nideiznil .
40:27:011:0	Áádóó nít'éé' Jesus éí naat'áanii bidááhdę́ę́' nizhníyáago nahódééłkidgo ání , Da' niísh Jew dine'é Aláahgo biNanit'a'í nílį́ ? Áko Jesus áhodííniid , Jó , bee háínídzíí' .
