40:13:001:1	K'éé'dídléehii binahjį' hane' bee ak'idi'dootį́įłii
40:13:001:0	T'áá éí bijį́ Jesus éí kin si'ánídóó ch'ízhníyáago be'ek'id bąąhgi jineezdá .
40:13:002:0	Áko diné yíl'áhígíí haa áłah silį́į́' , éí bąą tsinaa'eeł biih jííyáago bii'dóó dah jineezdá , áádóó diné yíl'áhígíí t'áá át'é tábąąhdóó naazį́ .
40:13:003:0	Nít'éé' kójíníigo lą'ígóó hane' bee ak'idi'dootį́įłii bee bich'į' yájííłti' , K'éé'dídléehii léi' álástsii' k'iididooléélgóó ch'íníyá .
40:13:004:0	Áko álástsii' ła' nihiyiiłkaad nít'éé' ła' atiinjį' ahineezdee' . Atiinjį' ahineezdee'ígíí tsídii nidahaast'a'go ałtso yaa nahodeeskai .
40:13:005:0	Náánáła' tsétahjį' ahineezdee' , ákwe'é łeezh doo hózhǫ́ hólǫ́ǫ da , áko łeezh doo ditánígíí biniinaa t'áadoo hodíína'í hadaneesą́ ,
40:13:006:0	nidi doozhǫǫgo dah adii'ą́ągo hadaneesánígíí yideez , índa bihétł'óól ádingo biniinaa daniiłna' .
40:13:007:0	Náánáła' ch'il dadeeníinii bitahgóó ahineezdee' , áko ch'il dadeeníinii bilááh daneesą́ągo ałtso bííghą́ą́' .
40:13:008:0	Índa náánáła' łeezh yá'át'éehjį' ahineezdee' , áko bineest'ą' dahazlį́į'go , ła' neeznádiindi , ła' hastą́diindi , ła' tádiindi bilááh nídaasdlį́į́' .
40:13:002:1	Hane' bee ak'idi'dootį́įłii biniyé át'éii
40:13:009:0	Éí bąą t'áá hajaa' hólónígíí , háni' ajíists'ą́ą́' .
40:13:010:0	Ákohgo hódahooł'aahii haa yíkaigo ádahodííniid , Ha'át'íí lá biniyé hane' bee ak'idi'dootį́įłii bee bich'į' yáníłti' ?
40:13:011:0	Nít'éé' Jesus áháłní , Nihí nihich'į'go yá'ąąshii bee bóhólníihgo bił haz'áanii bee na'nitinii doo bééhózin da yę́ę éí nihił béédahózin dooleełgo nihaa deet'ą́ , nidi bí , éí doo baa deet'ą́ą da .
40:13:012:0	Háálá t'áá háiida ha' át'íida hwee hólónígíí biláahgo ła' haa náádoolyééł , áko lą'ígo hwee hólǫ́ǫ doo , nidi ha'át'íida hwee ádinígíí , éí t'áá hwee hólónígíi nidi haghadoolyééł .
40:13:013:0	Díí biniinaa hane' bee ak'idi'dootį́įłii bee hoł dahashne' , háálá dazhníł'į́į nidi , doo dajiiłtséeh da , áádóó dajíists'ą́ą' nidi , doo dazdiits'į́įh da , doo nidi bik'idazh'diitįįh da .
40:13:014:0	Áko Aizéíyah kóníigo haa hoolne'ígíí t'áá aaníí silį́į́' : T'áá aaníí dadoohts'a' dooleeł nidi , ts'ídá doo bik'idadi'doohtį́įł da , áádóó t'áá aaníí daah'į́į dooleeł nidi , ts'ídá doo deidoołtséeł da .
40:13:015:0	Háálá díí dine'é bijéí tsézhin nidahalináádóó jéé'ádahodeeskał , índa daniilch'iil , doodago éí dabináá' yee da'iidoołtsééł , áádóó dabijaa' yee dadi'doots'į́į́ł , índa dabijéí yee ak'idadi'dootį́į́ł , áko shich'į' ninádookahgo náádabidideeshłááł .
40:13:016:0	Nidi nihí danihináá' bik'idahojidlí , háálá éí bee da'ooh'į́ , áádóó nihí danihijaa' bik'idahojidlí , háálá éí bee da'doohts'a' .
40:13:003:1	K'éé'dídléehii binahjį' hane' bee ak'idi'dootį́įłii ááhyiłníinii
40:13:017:0	T'áá aaníí ánihidishní , Diyin God yá dahalne'ii índa diné ts'ídá t'áá ákogi ádaat'éii lą'í yilt'éego daah'ínígíí k'adę́ę dayiiłtsééh , nít'éé' t'áadoo dayiiłtsą́ą da , áádóó dadoohts'a'ígíí k'adę́ę deidiits'į́į́h , nít'éé' t'áadoo deidiizts'ą́ą' da .
40:13:018:0	K'ad k'éé'dídléehii baa hane' bee ak'idi'dootį́įłii ááhyiłníinii dadoohts'į́į́h .
40:13:019:0	T'áá háiida yá'ąąshii bee bóhólníihgo bił haz'áanii saad baa hozhdiits'į́į́h , nidi doo bik'izh'diitįįhgóó , bąąhági át'éii nilíinii yigháahgo , hajéí biyi' saad k'idoolyáhígíí hááyii'nííł ; éí atiinjį' ahineezdee'ígíí ájít'į́ .
40:13:020:0	Tsétahgóó ahineezdee'ígíí , éí saad jidiits'į́įhgo t'áá áko baa hoł hózhǫ́ǫgo nízhdiiléhígíí ájít'į́ ,
40:13:021:0	nidi saadígíí bihétł'óól hayi'di ádin , éí bąą t'óó kónígháníjį' hwee hodina' , áko saadígíí biniinaa hach'į' nahwii'náago , doodaii' atího'dil'į́įgo haa ní'diildahgo t'áá áko bits'áńjílwo'ígíí ájít'į́ .
40:13:022:0	Ch'il dadeeníinii bitahgóó ahineezdee'ígíí , éí saad jidiits'į́į́h , nidi nahasdzáán bikáa'gi bee da'iináanii baa nitsáhákees áádóó at'į́ hodíní'ahgo éí saad ałtso yighą́ąhgo , bineest'ą' t'áadoo haleeh da .
40:13:004:1	Tł'oh naadą́ą́' éí ch'il bitahgi hólóonii binahjį' hane' bee ak'idi'dootį́įłii
40:13:023:0	Índa łeezh yá'át'éehii biyi'jį' ahineezdee'ígíí , éí saad jidiits'a'go bik'izhdi'yiitįįhígíí ájít'į́ ; éí t'áá aaníí honeest'ą' haleehgo , ła' neeznádiindi , ła' hastą́diindi , ła' tádiindi bilááh ninádahadleeh .
40:13:024:0	Áádóó kóníigo náánáła' hane' bee ak'idi'dootį́įłii hoł ch'ínáánéít'ą́ , Yá'ąąshii bee bóhólníihgo bił haz'áanii éí kót'é : diné léi' bidá'ák'ehgi k'eelyéí yá'át'éehii k'iidíílá ,
40:13:025:0	nít'éé' diné da'ałhoshgo , hwe'ana'í níyáago tł'oh naadą́ą́' bitahgóó ch'il t'áá tł'oh naadą́ą́' nahalinígíí k'iidííláago dah nídiidzá .
40:13:026:0	Áko tł'oh naadą́ą́' hadaneesą́ą́dóó bineest'ą' dahazlį́į'go , ch'il éí tł'oh naadą́ą́' nahalinígíí ałdó' bił yíl'á silį́į́' .
40:13:027:0	Áko naat'áanii jílíinii há nidaal'a'ígíí haa yíkaigo ádahodííniid , Nihinanit'a'í , da' doósh álástsii' yá'át'éehii nidá'ák'ehgi k'idííníláa da ni' ? Ákoshą' ha'át'éego bitahgóó ch'il nichxǫ́'ígíí hazlį́į́' ?
40:13:028:0	Nít'éé' áhodííniid , Éíyee' ana'í ła' át'į́į́ lá . Áko nidaal'a'í ádahałní , Áko daats'í ákǫ́ǫ́ jidookahgo ch'il dazhdoonishgo ahandahizhdoołjoł nihííní'ní ?
40:13:029:0	Nidi áhodííniid , Dooda ; ch'il ahandahołjoołgo , tł'oh naadą́ą́' ałdó' t'áá bił dadoohnish sha'shin .
40:13:005:1	Mástad bílástsii' binahjį' hane' bee ak'idi'dootį́įłii
40:13:030:0	Bíni'dii t'áá áłah danéeséehgo da'iigéeshjį' ahalzhíísh , áko da'iigéeshjį' ahoolzhiizhgo da'iigéeshii ábidideeshniił , Ch'il áłtsé náádahołjoołgo didoodlił biniyé bida'ohtł'o' , nidi tł'oh naadą́ą́' t'éiyá nooh ná'áshchíí góne' yah adahohheeh , bidideeshniił .
40:13:031:0	Áádóó kóníigo náánáła' hane' bee ak'idi'dootį́įłii yee hoł nááhoolne' , Yá'ąąshii bee bóhólníihgo bił haz'áanii éí díí nahalin : diné ła' mástad bílástsii' néidii'ą́ągo , bidá'ák'ehgi k'iidíílá ;
40:13:006:1	Bááh bee niilyółí binahjį' hane' bee ak'idi'dootį́įłii
40:13:032:0	éí t'áá aaníí k'eelyéí t'áá ałtso ts'ídá bi'oh áníshéhígíí át'ée nidi ch'il t'áá ałtso yilááh áníłtsogo ninisééh , áko tsin sikaadii yileehgo tsídii nidahat'ahgo tsin bits'áoz'a' bąąhgóó bit'oh ádayiił'įįh .
40:13:007:1	Jesus hane' bee ak'idi'dootį́įłii yinahjį' na'nitin
40:13:033:0	Áádóó náánáła' hane' bee ak'idi'dootį́įłii yee hoł nááhoolne' , Yá'ąąshii bee bóhólníihgo bił haz'áanii éí asdzání ła' bááh bee niilyółí néidii'ą́ągo ak'áán táadi haaką́ągo yił tayooznii'go niilyółígíí éí nahalin .
40:13:034:0	Áko hane' bee ak'idi'dootį́įłii binahjį' Jesus díí t'áá ałtso diné yíl'áhígíí yee yił hoolne' , áádóó hane' bee ak'idi'dootį́įłii t'áágéedgo doo ha'át'íhída yee yił nahasne' da .
40:13:008:1	Tł'oh naadą́ą́' éí ch'il bitahgi hólóonii baa hane'ígíí ááhyiłníinii
40:13:035:0	Diyin God yá halne'ii kóníigo yee haadzíi'ii bohodoolnííł biniyé kót'éego Jesus na'nitin : Hane' bee ak'idi'dootį́įłii bee hahideesdzih , nahasdzáán niit'ą́ą́dóó nidanil'in yę́ę bee hadeesdzih .
40:13:036:0	Ákohgo diné yíl'áhígíí yits'ą́ą́' dah diiyáago , kin biyi' góne' yah ííyá . Áádóó bídahooł'aahii , Ch'il dá'ák'ehgi hazlį́į'ii binahjį' hane' bee ak'idi'dootį́įłii ááhyiłníinii bee nihił hólne' , daaníigo haa yíkai .
40:13:037:0	Áko hach'į' haadzíi'go áhodííniid , Álástsii' yá'át'éehii k'iidííláhígíí éí Diné Silį́į'ii át'į́ ,
40:13:038:0	áádóó dá'ák'eh éí nihokáá' dine'é át' é , índa álástsii' yá'át'éehii éí yá'ąąshii bee bóhólníihgo bił haz'áanii ba'áłchíní danilíinii ádaat'é , áádóó ch'ilígíí éí bąąhági át'éii nilíinii ba'áłchíní danilį́ .
40:13:039:0	Ana'í ch'il k'iidííláhígíí éí níłch'i bida'iiníziinii binanit'a'í át'į́ , índa agizhígíí , éí díí hoogáłígíí bił nihoolzhíshígíí át'é , áádóó da'dooyishii éí diyingo nidaal'a'í ádaat'į́ .
40:13:040:0	Éí bąą ch'il ahandahaashjoolgo adoolk'ą́'ígi át'éego , nihoolzhiizhdi ádoonííł .
40:13:041:0	Diné Silį́į'ii bidiyingo nidaal'a'í iidiyooł'aałgo , bee bóhólníihgo bił haz'áanii biyi'dóó biniinaa bąąhági ádahat'íinii t'áá ałtso índa bąąhági ádaat'íinii nídeidiyoolahgo ,
40:13:042:0	hodook'ą́ą́ł góne' adeidiyoołtł'ił ; áadi diné daachxa áádóó biwoo' ahídeidiłk'ash doo .
40:13:009:1	Naalye'é da'ílíinii nídees'į́į'ii
40:13:043:0	Áko índa ts'ídá t'áá ákogi ádaat'éii biTaa' bee bóhólníihgo bił haz'áanii biyi'di jį́honaa'éí nahalingo dadi'níłdíin dooleeł . Éí bąą t'áá hajaa' hólónígíí háni' ajíists'ą́ą́' .
40:13:010:1	Diichiłí ayóó át'éego ílíinii
40:13:044:0	Áádóó yá'ąąshii bee bóhólníihgo bił haz'áanii éí díí nahalin : naalye'é dá'ák'ehgi nées'į́į́' , éí diné ła' yik'íníyáago nínéidees'į́į́' , áko bił hózhǫ́ǫgo dah diiyáago , bee hólóonii ałtso baa néhéeznii' , áko índa dá'ák'eh yik'é na'níláago nayiisnii' .
40:13:045:0	Náá'áłdó' , yá'ąąshii bee bóhólníihgo bił haz'áanii éí díí nahalin : diné na'iiłniihí nilį́įgo diichiłí yá'át'éehii haintá ,
40:13:011:1	Łóó' bee hahaltsósí
40:13:046:0	éí diichiłí t'ááłá'í agháago ílį́į́ léi' yik'íníyáago dah diiyá , áádóó bee hólóonii ałtso baa néhéeznii'go diichiłí yik'é na'níláago nayiisnii' .
40:13:047:0	Náá'áłdó' yá'ąąshii bee bóhólníihgo bił haz'áanii , éí díí nahalin : łóó' bee hahaltsósí taah deistsoozgo łóó' t'áá ał'ąą ádaat'eełii áłah áyiilaa ;
40:13:048:0	éí hadéébįįdgo tábąąhjį' hadeistsoozgo dadineezbin , áádóó yá'ádaat'éehii ásaa' biih dadziiznil , nidi doo yá'ádaat'éehii t'éiyá yóó'adadziiskaad .
40:13:049:0	T'áá éigi át' éego nihoolzhiizhdi ádoonííł . Diyingo nidaal'a'í éí ts'ídá t'áá ákogi ádaat'éii bitahdóó bąąhági ádaat'éii yits'ádeidiyoonił ,
40:13:012:1	Naalye'é da'ílíinii da'ałk'idą́ą́' índa ádaaniidígíí
40:13:050:0	áádóó hodook'ą́ą́ł góne' adeidiyoołtł'ił ; áadi diné daachxa áádóó biwoo' ahídeidiłk'ash doo .
40:13:051:0	Díidíísh t'áá ałtso bik'ida'dootą́ ? bizhdííniid . Áko , Aoo' [ Bóhólníihii] , dahodííniid .
40:13:013:1	Jesus éí Názarethdi doo bidi'niidzį́į' da
40:13:052:0	Áko ánáábizhdoo'niid , Éí bąą bee haz'áanii yínda'niłtinii t'ááłá'í nítínígo yá'ąąshii bee bóhólníihgo bił haz'áanii yíhooł'aahii silį́į'ii , éí diné léi' kin bee bóhólníhígíí binaalye'é da'ílíinii bitahdóó ádaaniidíii índa t'áá da'ałk'idą́'ígíí ch'íyiiníiłii nahalin .
40:13:053:0	Ákohgo Jesus , éí hane' bee ak'idi'dootį́įłii ałtso yaa hoolne'go , áádóó dah diiyá ,
40:13:054:0	áko t'áá hó hakéyahdi nídzídzáago dabikin yii' áłah nádleeh góne' naz'neeztą́ą́' , áko bik'ee t'óó bił adahóóyóigo ádadííniid , Háádę́ę'shą' díí bee hódzáanii ákót'éii shóyoost'e' , índa áhooníiłii ayóó ádaat'éii yaa naagháii silį́į́' ?
40:13:055:0	Da' díísh doo kin ííł'íní biye' át'į́į da ? Da' bimáásh doo Mary wolyée da ? Áádóó da' dabitsilíísh doo James índa Jóseph áádóó Sáíman índa Júdas daolyée da ?
40:13:056:0	Áádóó da' dabideezhíísh doo t'áá ałtso bił kéédahwiit'į́į da ? Áko díí diné lá háádę́ę́' díidí t'áá ałtso shóyoost'e' lá ?
40:13:057:0	Áko hach'į' doo bił dahóózhǫǫd da . Nidi Jesus áhodííniid , Diyin God yá halne'ii t'áá ałtsogóó diné bił dajílį́ , nidi t'áá hakéyahgi índa bił hajííjéé' , éí doo bił ajílį́į da .
40:13:058:0	Áko doo da'oodlą́ą́góó biniinaa ákwe'é áhooníiłii ayóó ádaat'éii doo lą'í baa nijiyáa da .
