40:28:001:1	Jesus daaztsą́ą́dę́ę́' náádiidzá
40:28:001:0	Áko háá'áyį́į́h jį́ azlį́į́'dóó biiskání damį́įgo aleeh góne' naaniiníłką́ągo , Mary Mágdaliin áádóó Mary ła'ígíí tséní'ootséelgo Jesus yóó'ályaadi jidínóoł'įįł biniyé ákǫ́ǫ́ jiní'áázh .
40:28:002:0	Nít'éé' jó'akon , ayóó át'éego ni' nahaas'náá' , háálá Bóhólníihii bidiyingo naal'a'í yá'ąąshdę́ę́' hadááyá , áádóó tsé nahjį' ayííłmáazgo yik'i dah neezdá .
40:28:003:0	Atsiniltł'ish i'diłdla'ígi ánoolnin , áádóó bi'éé' éí yas nahalingo łigai .
40:28:004:0	Áko jishcháá' baa ádahojilyáanii nídadzisdzíidgo hatah dahoditłid , áádóó diné daneeznáanii nidahojílin dadzizlį́į́' .
40:28:005:0	Nidi diyingo naal'a'í éí asdzání áyidííniid , T'áadoo náłdzidí , háálá tsin ałnáoszid bikáa'jį' Jesus bił o'oolkaalígíí hanohtáago shił bééhózin .
40:28:006:0	Éí doo kwe'é da , háálá t'áá ádííniidígi át'éego daaztsą́ą́dę́ę́' náádiidzá . Hágo , Bóhólníihii sitį́į́ nít'éé' yę́ęjį' dóh'į́į́' .
40:28:007:0	Áko tsxį́įłgo nihílááh , Jesus daaztsą́ą́dę́ę́' náádiidzáá lá , dohníigo bídahooł'aahii bił hołne' , jó'akon , Gáliliigóó nihiba' jideeyá ; áadi dahwiidoołtsééł . Jó akonee' , nihił hweeshne' .
40:28:008:0	Áko nídzíldzid nidi , t'áá íiyisí hoł hózhǫ́ǫgo tséní'ootsééldóó tsxį́įłgo dashdii'áázh , áko bídahooł'aahii hane' baa nízhdoo'ááł biniyé dah ahizhdíníilchą́ą́' .
40:28:009:0	Nít'éé' jó'akon , Jesus hadááh níyáago , Nihił hózhǫ́ǫ le' ! hałní . Áko baazhní'áazhgo bikee' dziiłtsoodgo bich'į' nitsizhdinígo' .
40:28:002:1	Jishcháá' yaa ádahalyáanii áhóót'įįdígíí yaa dahalne'
40:28:010:0	Áko Jesus áháłní , T'áadoo náłdzidí , nihílááh , shik'isóó Gáliliigóó dookah , áadi dashiidoołtséełgo bee bił hołne' .
40:28:011:0	Áádóó joo'ash nít'éé' , jó'akon , aa ádahalyáanii ła' kin haal'áagi yíkaigo , ádahóót'įįdígíí t'áá ałtso aláahgo nááda'iiłniihii yee yił dahoolne' .
40:28:012:0	Áko diné yá aląąjį' naazíinii yił áłah silį́į'go yaa nídaast'įįd , áko siláo éí béeso lą'í yaa deiznilgo ,
40:28:013:0	ádaaní , Da'iilwoshgo hódahooł'aahii tł'ée'go yíkai lá , áko dahoneez'į́į'go yóó'adahastį́į́ lá , dadohníigo diné bił dahodoołnih .
40:28:014:0	Áko díidíígíí naat'áanii yidiizts'ą́ą'go bił t'áá áko doo biniyé bijadahidiigééł , áko t'áadoo bá nanohdeehígóó ádanihidiilnííł .
40:28:003:1	Jesus éí bídahooł'aahii ła'ts'áadahígíí naanish yeidiyiiz'ą́
40:28:015:0	Áko siláo béeso nídeidiinilgo , t'áá ádabi'doo'niidígi ádaadzaa , áádóó kót'éego hane'ígíí éí bijį́į́dóó díí jį́įjį' Jew dine'é bitahgóó nidadidlaad .
40:28:016:0	Ákohgo ídahooł'aahii ła'ts'áadah jilt'éhígíí Gáliliidi dził si'ánígóó Jesus há nihoní'áníjį' jíkai .
40:28:017:0	Áko Jesus dajiiłtsą́ągo bich'į' nitsidazhdinígo' , nidi ła' t'áá hoł naaki daazlį́į́' .
40:28:018:0	Áko Jesus haa níyáago kóníigo hach'į' haadzíí' , Yá'ąąshdi áádóó nahasdzáán bikáa'gi bee ídahólníihii t'áá ałtso shaa deet'ą́ .
40:28:019:0	Éí bąą nihílááh , ał'ąą dine'é t'áá ałtso ídahooł'aahii danilį́įgo ádaahłe' , aTaa' áádóó aYe' índa Níłch'i Diyinii bízhi' bee tó bee daahsį́į́h ,
40:28:020:0	áádóó bee nihich'į' hahásdzíi'ii t'áá ałtso yik'eh dahół'į́į dooleełgi bee nidanohtin , áádóó jó'akon , łahgo náhodeesdzáajį' t'áá áłahjį' nihił honishłǫ́ .
