40:18:001:1	Háishą' aláahdi ayóó át'éii nilį́ ?
40:18:001:0	Íídą́ą́' Jesus bídahooł'aahii baa yíkaigo ádabidííniid , Háishą' yá'ąąshii bee bóhólníihgo bił haz'áanii biyi'di aláahdi ayóó át'éii nilį́ ?
40:18:002:0	Nít'éé' áłchíní yázhí ła' hágo bizhdííniidgo , biníi'gi bidziisį' ,
40:18:003:0	áko ájíní , T'áá aaníígóó ánihidishní , Doo łahgo át'éego dahinohnáágóó índa doo áłchínígi át'éego ída'doołyaagóó , yá'ąąshii bee bóhólníihgo bił haz'áanii ts'ídá doo biih dadoohkah da .
40:18:004:0	Éí bąą t'áá háiida díí áłchíní yázhígi át'éego a'ohgo ádaa nitsídzíkeesígíí , éí yá'ąąshii bee bóhólníihgo bił haz'áanii biyi'di aláahgo ayóó át'éii jílį́ .
40:18:002:1	Bąąhági át'į́ ájiilaaígíí
40:18:005:0	T'áá háiida áłchíní yázhí kót'éhígíí ła' shízhi' bee bich'į' k'éznídzinígíí , éí shí shich'į' k'éznídzin .
40:18:006:0	T'áá háiida díí áłchínígi át'éego a'ohgo ádaa nitsídaakeesgo dashoodlánígíí ła'da bąąhági át'į́ ájiilaaígíí , t'áá hó tsé daashjéé' nitsaii hazéédéet'ą́ągo , tónteel bii' táłtł'ááh ho'dool'ééljí há yá'át'éeh doo nít'éé' .
40:18:007:0	Nihokáá' dine'é biniinaa bąąhági áhodooníiłgo na'íhontaah nihwiileehii doo bá hojooba' ájíníi da ! Na'íhontaah ts'ídá t'áádóo nídí áánííł , nidi hats'ą́ą́dóó áhooníiłii atihíláane'go há haz'ą́ !
40:18:008:0	Áko níla' éí doodaii' nikee' bee bąąhági ánít'į́ ánóhsingo , éí k'ínígéeshgo yóó'ahíłhan , nits'íís łahgo ádin nidi , éí doodaii' na'níłhod nidi iiná biih yíníyáájígo doo ná yá'át'éeh da , nidi níla' t'áá ałch'ijígo áádóó nikee' t'áá ałch'ijígo hool'áágóó hodook'ą́ąłjį' andi'yoolghą́ą́łjí agháago doo ná yá'át'éeh da .
40:18:003:1	Dibé yóó'ííyáii binahjį' hane' bee ak'idi'dootį́įłii
40:18:009:0	Áádóó nináá' éí bąąhági ánít'į́ ánóhsingo , éí hani'aahgo yóó'ahíłhan ; nináá' t'ááłá'í nidi iiná biih yíníyáájígo doo ná yá'át'éeh da , nidi nináá' t'áá ałch'ijígo hool'áágóó kǫ' bii' ti'hoo'nííh bił haz'ą́ąjį' andi'yoolghą́ą́łjí agháago doo ná yá'át'éeh da .
40:18:010:0	Díí áłchínígi át'éego a'ohgo ádaat'éii ła' dajiinohłáa dooleełgi bits'ąą ádaa ádahołyą́ , háálá ánihidishní , Éí diyingo nidaal'a'í baa ádahalyáanii yá'ąąshdi dahólǫ́ , éí t'áá áłahjį' shiTaa' yá'ąąshdi hólóonii yił da'ahiníl'į́ .
40:18:011:0	[ Háálá Diné Silį́į'ii yóó'adahaaskaígíí yisdéidiyoonił yiniyé níyá . ]
40:18:012:0	Haash yit'éego baa nitsídaahkees ? Diné ła' dibé neeznádiin bilį́į́' , nít'éé' ła' yóó'ííyáago , da' doósh náhást'édiindóó ba'aan náhást'éígíí dah daask'idjį' yi'doo łnihgo yóó'ííyáhígíí haidínóotaał da ?
40:18:013:0	T'áá aaníígóó ánihidishní , Nínéidiiłtį́įgo éí náhást'édiindóó ba'aan náhást'éígíí t'áadoo yóó'adahaaskaígíí biláahdi át'éego yóó'ííyáhígíí nínéidiiłtį́įgo yaa bił hózhǫ́ǫ doo .
40:18:004:1	Ak'is ach'į' bąąhági ádzaii
40:18:014:0	T'áá ákót'éego nihiTaa' yá'ąąshdi hólóonii díí áłchínígi át'éego a'ohgo ádaat'éii doo ła' ádoodįįł da nízin .
40:18:015:0	Áádóó nik'is nich'į' bąąhági ádzaago , baa díínáałgo , yee nich'į' ádąąh dah hast'ánígíí t'áá sáhí bił ch'ídíí'ááł . Áko nidiizts'ą́ą́' ládą́ą́' nik'is k'é nándoo'niid doo .
40:18:016:0	Nidi doo níists'ą́ą́'góó diné t'ááłá'ígo , doodaii' naakigo ákǫ́ǫ́ bił dííkah , áko oo'íinii naakida , táa'da hadahadziihígíí binahjį' saad t'ááłá'í ní'ánígo há hasht'éédeidoodlííł .
40:18:005:1	Be'estł'ǫ́ǫgo áádóó k'éé'oot'ahgo
40:18:017:0	Áádóó éí doo nááyiyíists'ą́ą́'góó da'oodlání áłah nádleehígíí bił ch'ínáádíít'ááł , áko áłah nádleehígíí ałdó' doo nááyiyíists'ą́ą́'góó , bíni'dii doo Jew dine'é danilíinii ła' índa tax nahalyéhígíí yiniyé naazdáii ła' át'į́įgo bee baa nitsíníkees doo .
40:18:018:0	T'áá aaníí ánihidishní , Ha'át'íida nahasdzáán bikáa'gi bee a'di'noo'ánígíí , t'áá éí yá'ąąshdi bee a'deet'ą́ą doo , áádóó ha'át'íida nahasdzáán bikáa'gi doo bee a'di'noo'ánígíí , t'áá éí yá'ąąshdi ałdó' doo bee a'deet'ą́ą da dooleeł .
40:18:019:0	Áádóó ánáánihidish'ní , Nahasdzáán bikáa'gi nihitahgi nidinołt'éego ha'át'íida bee aha'di'nooht'ą́ągo yínóhkeedígíí , shiTaa' yá'ąąshdi hólóonii nihá yi'doolííł .
40:18:006:1	Naal'a'í doo jooba'ii baa hane' bee ak'idi'dootį́įłii
40:18:020:0	Háálá t'áá azlį́į'gi naaki éí doodaii' táa'da shízhi' yee ahíikaigo , ákwe'é biníi'gi honishłǫ́ .
40:18:021:0	Ákohgo Peter hach'į' dah diiyáago áháłní , Bóhólníihii , shik'is shich'į' bąąhági ánát'įįhgoshą' díkwíidi bá yóó'anídideesh'áałgo doo bik'ijį' séł'ą́ą da doo ? T'áá daats'í tsosts'idídi ?
40:18:022:0	Áko Jesus áháłní , T'áá tsosts'idídi éí doo nidishníi da , nidi tsosts'idiin tsosts'idi ahą́ą́h nániiláago .
40:18:023:0	Éí bąą yá'ąąshii bee bóhólníihgo bił haz'áanii díí bił ahąąh naa'nilgo baa nitsáhákees : éí aláahgo naat'áanii léi' bá nidaal'a'í yąąh hadeis'áago éí bá niná'doolyééł biniyé bá yídéeshtah niizį́į́' .
40:18:024:0	Áko yá yi'ííníiłta'go neeznáadi mííl tálent bąąh háá'áhígíí bich'į' niidlóóz ,
40:18:025:0	nít'éé' doo niná'ódlééł át'éégóó biniinaa binanit'a'í kót'éego bá haadzíí' , Hwe'asdzą́ą́ áádóó ha'áłchíní índa hwee hólónígíí t'áá ałtso t'áá bił nahodi'yoonih , áko éí bee niná'doolyééł .
40:18:026:0	Nít'éé' naal'a'í nitsidinígo'go binanit'a'í náyookąąhgo ííłní , Shinanit'a'í , ha'íínílní , t'áadoo tsį́į́ł shíł'íní , t'áá ná niná'deeshdléełgo át'é .
40:18:027:0	Áko naal'a'í éí binanit'a'í bik'édí silį́į'go bąąh hayííł'áhígíí t'óó yik'i adeezogo béidííchid .
40:18:028:0	Nidi t'áá éí naal'a'í ch'íníyáago yił nidaal'a'ígíí ła' neeznádiin denériyas yąąh hayííł'áhígíí yik'íníyá , áko éí yisiłgo kóníigo yizák'íidiiníihgo yaa nídiidzá , Nąąh hááł'áhígíí shá niná'nídlé , yiłní .
40:18:029:0	Áko éí nitsidinígo'go nábooskango ábíłní , Ha'íínílní , t'áadoo tsį́į́ł shíł'íní , t'áá ná niná'deeshdléełgo át'é .
40:18:030:0	Nidi t'áadoo íiniizį́į' da . Hąąh háá'áhígíí niná'jídláajį' t'óó yah ahóółt'e' .
