46:2:001:1	Tsin ałnáoszid bąąhjį' Christ bił o'oolkaalígíí baa hane'
46:2:001:0	Shik'isóó, Diyin God yee na'nitinii bee nihił hodeeshnihgo nihaa níyáádą́ą́' saad naach'ąąhii índa saad bee hódzáanii doo bee yáshti'go nihaa níyáa da. 
46:2:002:0	Háálá nihitahgóó naasháago Jesus Christ áádóó t'áá éí tsin ałnáoszid bąąhjį' bił o'oolkaalígíí t'éiyá baa yáshti' doo niizį́į́'. 
46:2:003:0	Nihitaasháádą́ą́' doo shidziil da nít'éé', índa shił yée'go shitah hoditłid nít'éé', 
46:2:004:0	hódzą́ saad ayóó ánóolninii doo bee yáshti' da nít'éé', nidi Níłch'i Diyinii binaanish áádóó bibee adziilii ííshjání áshłéehgo hashne' nít'éé'. 
46:2:002:1	Diyin God biNíłch'i Diyinii ił ííshjání áyiilaii
46:2:005:0	Áko Diyin God bibee adziilii bik'ehgo da'iinohdlą́, diné bibee hódzáanii bik'ehgo éí dooda. 
46:2:006:0	Nidi hwe'oodlą' bee nidahizneesáanii t'éiyá saad bee hódzáanii bee nidahonishtin. Nidi doo díí nihokáa'gi hódzą́ągo bee hoot'áałii át'ée da; díí hoolzhishígíí bii' nidazhnit'áii nidi doo há bee hódzáanii át'ée da, háálá éí ázhdoodįįł. 
46:2:007:0	Nidi Diyin God bibee hódzáanii doo bééhózin da yę́ę, diné bits'ąą nanil'in yę́ę, k'ad baa hashne', éí hódzáanii Diyin God yee ayóó át'éii bił ałts'ą́ą́' da'niilk'iiz doo biniyé t'ah doo hahalzhíísh yę́ędą́ą́' t'áá bí yinahaz'ą́. 
46:2:008:0	Diyin God bibee hódzáanii díí hoolzhishígíí biyi' naat'áanii danilíinii doo ła' bił bééhózin da nít'éé'. Bił béédahózingo Bóhólníihii ayóó át'éii doo tsin ałnáoszid bąąhjį' yił ada'askaal da doo nít'éé'. 
46:2:009:0	Nidi Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego:Diné ts'ídá doo ła' hazhdeel'įįhii, doo nidi baa hozdiits'į́įhii,łá'í nidi doo baa nitsídzíkeesii, éí Diyin God ayóó'ádabó'níinii yá hasht'eyiilaa.  
46:2:010:0	Nidi nihí éí Diyin God biNíłch'i Diyinii bee nihił bééhózingo áyiilaa. Háálá Níłch'i Diyinii t'áá ałtsoní neiłkaah, Diyin God yinahaz'áanii doo bééhózin da yę́ę nidi bił bééhózin. 
46:2:011:0	Háálá diné ła'da náánáłahjį' diné bintsíkees doo hoł bééhózin da, diné bii' sizíinii t'áá bí yee nitsíkeesígíí t'éiyá bił bééhózin łeh. T'áá ákót'éego Diyin God bintsíkees doo ła'da hoł bééhózin da, nidi t'áá hazhó'ó Diyin God biNíłch'i Diyinii t'éiyá bił bééhózin. 
46:2:012:0	Doo da'oodlání nitsídaakeesígi át'éego doo nitsídeiikees da, nidi Diyin God yee nihik'ijisdli'ígíí baa ákodadíníidzįįł biniyé t'áá bí Níłch'i Diyinii nihainíł'a'. 
46:2:013:0	Áko nihokáá' dine'é bibee hódzáanii doo bee na'niitin da, nidi Níłch'i Diyinii yínanihiniłtinígíí bee na'nitin, diyin k'ehgo ádaat'éii Níłch'i Diyinii bik'ehgo bína'niiltin. 
46:2:014:0	Nidi Níłch'i Diyinii doo hwii' hólóonii éí Diyin God biNíłch'i Diyinii yee ak'ijidlíii doo hwee haleeh da. Éí t'áá ádzaaí át'é jinízin, áko doo hoł bééhoozį́į́' át'ée da, háálá éí Níłch'i Diyinii k'ehgo ak'izhdiitą́ągo t'éiyá t'áá yíní át'éii hoł bééhodoozįįł. 
46:2:015:0	Níłch'i Diyinii hwii' hólóonii éí t'áá ałtsoní hazhó'ó nijiłkaah, nidi hó t'éí doo ła'da hwéidoołkah da. 
46:2:016:0	Háishą' Bóhólníihii bintsíkees hoł bééhózingo, nidízhnóotįįłgo bízhneel'ą́? Nidi nihí éí Christ bintsíkees bee nitsídeiikees.
