18:24:001:1	Job éí Diyin God yich'į' saad hółǫ́
18:24:001:0	Ha'át'íí biniyé Aláahgo Ayóó'ábóodziilii anídóot'įįłii baa hoolzhiizhgo doo hasht'e'niyiiníił da,áádóó ha'át'íí biniyé anídóot'įįł bijį́įdi áhodooníłígíí diné béédahósinii ts'ídá doo bił béédahózin da? 
18:24:002:0	Diné ła' kéyah bee hoodzooígíí biniyé tsé adaaz'áago ádaalyaa yę́ę hadayiinííł;dibé naakaígíí t'áá na'níle'dii adeiniiłkaadgo t'áá bí yada'ałtso' łeh. 
18:24:003:0	Áłchíní bizhé'é ádaadinii dabitélii adeiniiłkaad;asdzání bąąh ádahasdįįdii nináda'iisdla'jį' bibéégashii ąąh nidayiinííł. 
18:24:004:0	Hojooba' ádeinízinii nahjį' hadeiniiłkaadgokéyahdóó badahojoobá'íígíí ahíhiikáahgo nídahidit'įįh. 
18:24:005:0	Shoo, honoojíigi télii da'ałchinii nahalingo naanishgóódahidikáahgo honoojíidi ba'áłchíní ch'iyáán yá hádaat'į́. 
18:24:006:0	Dá'ák'ehdi daneest'áanii náádayíiłjooł;diné doo yá'ádaashóonii bich'il na'atł'o'ii nínéiniłt'į́hígi nidahodikai. 
18:24:007:0	Áko bi'éé' t'áádaagééd danjahgo néílkááh;ayóó íídéesk'aazgo t'áadoo ák'ídayóltihígóó ádeile'. 
18:24:008:0	Dziłdi nihidahałtį́įhgo ninádaaltłoh,áádóó yiyaa adahidínóochéełii hádaat'į́įgo tsé biniit'aajį' áłah danilį́į łeh. 
18:24:009:0	Áłchíní bizhé'é ádaadinii bimá t'ahdii deiłt'o'go yílák'ee hadayiiłtł'iid,áádóó badahojoobá'íígíí t'áadoo ninádajódléłígóó ha'áłchíní yázhí hats'ą́ą́' ąąh nidayiinííł. 
18:24:010:0	Ha'éé' t'áádaagééd nidajikaigo dichin dajílį́įgotł'oh naadą́ą́' bida'astł'ónígíí nidajiiyeeh. 
18:24:011:0	Áliv tsin hadah hidiit'i'góó ákǫ́ǫ́ áliv bineest'ą' bik'ah hayída'iił'éesgo ak'ah biih nídaadzi'ii yiih dayiizííd;dibáá' yik'ee ti'dahooníihgo ch'il na'atł'o'ii bitoo' yąąh hadayii'éés. 
18:24:012:0	Kin haal'áádóó ayóó íits'a'go diné nidadi'ni',áádóó diné tídáánáanii chaał hadahoyiinííh,nidi Diyin God doo yaa ná'áhodílt'į́į da. 
18:24:013:0	Díí éí adinídíín yik'ijį' nidaalteehii ła' ádaat'į́;éí bik'ehgo dahonít'i'ígíí doo yéédahósin daáádóó doo yik'eh hidikáah da. 
18:24:014:0	Hool'įįhgo diné neiłtseedii nídii'nahgodiné bahojoobá'íii áádóó hojooba' ádaat'éii neiłtseed łeh,áko tł'ée'go ani'įįhii nilį́į łeh. 
18:24:015:0	Diné adiléii hiłyidoojį́łígíí yiba' át'éego,Doo ła' shiizdoołtséeł da, níi łeh,áádóó binii'jį' yik'é'éłtih. 
18:24:016:0	Tł'ée'go hooghan yigháda'anil;jį́įgo ádá nída'dilkałgo bąą adinídíín yits'ąą nida'ádí'nil. 
18:24:017:0	Háálá abínígo adididla'ígíí aniné bichaha'oh át'é nahalingo yaa nitsídaakees;bił béédahózingo aniné bichaha'oh yik'ee bił daayée' łeh. 
18:24:018:0	Tó adadziisxaalígi át'éego hoł yóó'ahodoogááł;nihokáa'gi kéédahojit'ínígóó hóyée'go bá hada'iidziih;hach'il na'atł'o'ii deíl'áhígóó doo t'áá k'ad ła' ákwii deeshnish da. 
18:24:019:0	Doo nahałtingóó áádóó hadoh éí yas too' néiłtsih;t'áá ákót'éego diné ádił nida'iisíi'ii jishcháá' nídabiłtsih. 
18:24:020:0	Hamá nidi haidiyoonah;ch'osh bił jilkango dahodoolghał;ts'ídá doo hwéénínááhániih da doo,áko t'iis naa'anííkaadígi át'éego doo yá'áshǫ́ǫ́góó ááníiłii nidoot'ih. 
18:24:021:0	Asdzání ba'áłchíní ádinígíí doo ákǫ́ǫ́ ájííł'įįd daáádóó asdzání bąąh áhásdįįdii doo baa jijooba' da nít'éé'. 
18:24:022:0	Diyin God bibee adziilii bee diné ayóó át'éii nidahaleehígíí ádích'į' niyii'éésh;Diyin God nídii'nahgo diné ákónízahjį' jiináa dooleełígíí doo hoł bééhózin da. 
18:24:023:0	Hasih haz'ą́ yeidi'áahgo ák'inídiildził,nidi ádajít'éii hazhó'ó haisííd. 
18:24:024:0	T'óó kónígháníjį' ayóó át'éii nidahaleeháádóó bikéé' ádahadįįh;diné t'áá ałtso noonéłígi át'éego ajiildééh,índa tł'oh naadą́ą́' k'égishígíigi át'éego nahjį' kóho'doolnííł. 
18:24:025:0	Háiyee' doo ákót'ée da dohníinii biyooch'íidiísh nishłį́įgo áshóhłééháádóó baa yáshti'ígíísh doo ílį́į da óhłééh?
