18:23:001:1	Job éí Diyin God bich'į' ná'iideeshkąął nízin
18:23:001:0	Ákohgo Job ánááhodoo'niidgo ání, 
18:23:002:0	T'áá díí jį́ t'áá íiyisí shináháshch'íi'go saad honish'į́;dinish'nínígíí biláahgo shił nahonigaah. 
18:23:003:0	Dooládó' shił bééhózingo Diyin God bik'íjóya' laanaa da;dah sidáadi baosha' laanaa da. 
18:23:004:0	Ákwii Diyin God shá yaa nídóot'įįłiibee bił hodeeshnih,áádóó bił ałgha'disht'áah doo nisin. 
18:23:005:0	Saad yee shich'į' hááhidoodzihígíí shił bééhodoozįįł,áádóó áshididooniiłígíí bik'idi'deeshtį́į́ł nisin. 
18:23:006:0	Ayóó ábóodziilígíísh yee shighadi'doot'ááł?Dooda, t'áá aaníí shíídóołts'įįł. 
18:23:007:0	Áadi diné t'áá ákogi ááníiłii daats'í hoł ałgha'dit'áahgo yíneel'ą́;ákót'éego shi'ánihwii'aahii hool'áágóó shéé'doołnih. 
18:23:008:0	Jó, náás díyáago doo áadi naagháa da,índa t'ą́ą́' díyáago doo haa ákóniisįįh da; 
18:23:009:0	nishtł'ajígo nijilnishgi háhodíínísh'į́į' nidi, doo hwiistséeh da,índa nish'náájígo nazhnit'inígíí biniinaa doo hwiistséeh da. 
18:23:010:0	Nidi deeshááłgóó shá bił bééhózin;ałtso nashíneeztą́ą'go óola ąąh hadoolyį́'ígi át'éego ch'ídeeshááł. 
18:23:011:0	Bikék'eh hashchį́į́góó nidahidishtaałgoBóhólníihii bik'eh honish'į́įgo t'áadoo nahjį' háíyáa da. 
18:23:012:0	Bik'eh ó'oo'níiłii yee hahaasdzíi'ii t'áadoo bits'áníyáa da;t'áá ákónéehee shich'iyą'ígíí biláahgo saad yee shich'į' haadzí'ígíí t'áá íiyisí ílį́įgo ádííníshtą' nít'éé'. 
18:23:013:0	Nidi bintsíkees doo łahgo ánáyoodlíił da. Háishą' łahgo át'éego ánábidoodlííł?T'áá ádeeshłííł, néiniidzįįhígíí áyoolííł. 
18:23:014:0	Niidiní'áanii ałtso shá hadaałt'é íidoolííł;ákódaat'éii t'óó ahayóí yaa nitsíkees. 
18:23:015:0	Éí bąą bit'áahgi honishłónígíí bik'ee shił yéé';baa nitsískeesgo t'áá íiyisí binásdzid. 
18:23:016:0	Diyin God éí doo shidziilgóó áshósin;Ayóó'ábóodziilii nilíinii bik'ee shił niníyéé', 
18:23:017:0	háálá t'ah doo shił chahałheeł yę́ędą́ą́' t'áadoo áshółdįįhí da,índa chahałheeł shik'iidooldohígíí bits'ąą t'áadoo yich'ą́ą́h nideelnii' da.
