18:37:001:0	Áko da'di'nínígíí bik'ee shijéí dilyisgo nitseeltłi'. 
18:37:002:0	Hahadziihgo da'di'nínígííáádóó hahadziihgo hodiits'a'ígíí ts'ídá hazhó'ó yísíníłts'ą́ą́'. 
18:37:003:0	Yót'áahdi da'níłts'ą́ą́'góó adahosiilts'įįhgo ánáyiil'įįháádóó nihokáa'gi t'áá ałtsogóó atsiniltł'ish tanooshzhee'go ánáyiil'įįh. 
18:37:004:0	Áádóó bik'ijį' ayóó át'éego adi'níigo biinéé' bee anáhosiilts'į́į́h;biinéé' diits'į́įhgo éí atsiniltł'ish anídahata'ígíí doo ánéísįįh da. 
18:37:005:0	Diyin God biinéé' t'óó bik'e'ayóigo bee da'di'ní;ayóó át'éii áyoolíłígíí doo t'áá yíní át'éejį' nihił béédahózin da. 
18:37:006:0	Yas ííłní, Nahasdzáán bikáa'jį' díchííł.Ni'dizhoołígíí índa ayóó át'éego nahałtinígíí ííłní, Ni' t'ózhoł,índa, Bidziilgo nidahółtin. 
18:37:007:0	Diné t'ááłá'í nítínígo bindaanish ni' kónáyiil'įįh,áko honaanish nilíinii diné t'áá ałtso yaa ákodahiniizįįh. 
18:37:008:0	Áko índa nidaaldlooshii a'áán góne' anídahajeehgoáadi nídabeehah. 
18:37:009:0	Shádi'ááhdę́ę'go nááts'ó'oołdísii nídadilwo',áádóó náhookǫsdę́ę'go éí nídadiłk'as. 
18:37:010:0	Diyin God biyol bee tó nídaatį́į́h;be'ek'id naazyínígóó tó nídaatį́į́h. 
18:37:011:0	Tósiil éí k'os diłhił yii' háidiłbį́į́h,índa k'os diłhił biyi' da'níłts'ą́ą́'góó atsiniltł'ish anídahata'go ííł'į́. 
18:37:012:0	K'os yich'į' hahadziihgo naanídeílzhoodgo áyósin,áko nahasdzáán nidahonees'ą́ą́góó dine'é kéédahat'į́į́góó t'áá ałtso bohoolnííł. 
18:37:013:0	Nihokáá' dine'é hasht'éédoolnííł biniyé,doodaii' bee nídahwiidootsoh biniyé, doodaii' nihokáá' dine'é yaa a'ááh nízin doo biniyé nídahodiłtį́įhgo áyósin. 
18:37:014:0	Shoo, Job, díí yísíníłts'ą́ą́',ge', t'óó bida'ayóigo Diyin God binaanish danilíinii baa nitsíníkees. 
18:37:015:0	Diyin God binaanish ła'yiyiilaaígíísh nił bééhózin,áádóó k'os diłhił biyi'dóó atsiniltł'ish anídahata'go inídíłdla'go ánáyiil'įįhígíísh nił bééhózin? 
18:37:016:0	K'os dah deílzhoodgo áyósinígíísh nił bééhózin?Ts'ídá t'áá yíní át'éegi bił ééhózinii éí t'óó bi'ayóigo binaanishígíísh nił bééhózin? 
18:37:017:0	Shádi'ááhdę́ę́' dich'ihgo nihokáá' hodéezyéelgo,éé' bee honeezílíii biih nánídáahii nílíinii, 
18:37:018:0	béésh nídoolyį́į'go bii' adéest'į́į́' bidziilgo ályaaígi át'éegoDiyin God bił yá dah dííłbałígíísh bíninil'ą́? 
18:37:019:0	Bee bił dahodiilnihígíí bínanihiníłtin;jó, t'óó nihił daatł'ée'go biniinaa saad ałkéé' nidadii'niłgi doo bídaniil'ą́ą da. 
18:37:020:0	Hadeesdziihígíísh bee bił hodoonih?Diné ła' áshídi'dooldįįłísh dínóozįįł? 
18:37:021:0	Áko ałtso iiyołdóó yóó'ahalzho'goyádiłhił biyi'dę́ę́' bee adinídíinii éí diné doo jinóoł'į́į́' át'ée da. 
18:37:022:0	Óola biisdííłtóolii nahalingo náhookǫsdę́ę́' ayóó ánóolninii hahwiileeh;Diyin God éí t'óó bik'e'ayóigo binaagóó haz'ą́. 
18:37:023:0	Aláahgo Ayóó'ábóodziilii doo bik'ídaniikáah da;ayóó át'éego ayóó ábóodziil áádóó doo haa dayit'éii át'é,índa t'áá ákogi át'éii t'óó ahayóígíí binahjį' doo ade áhósin da. 
18:37:024:0	Éí bąą nihokáá' dine'é dabidósin;nihokáá' dine'é honisą́ danízinii doo bił nilį́į da.
