18:27:001:1	Job éí doo yá'ádaashóonii kódabidi'doolníłígíí yaa halne'
18:27:001:0	T'ah nááyówehgo Job t'ááłáhígi át'éego yááłtihgo ání, 
18:27:002:0	Ts'ídá t'áá aaníí Diyin God hiná: éí t'áá ákogi át'éego shá ha'doodzihii shits'ą́ą́' nahjį' kóyiilaa,áádóó Aláahgo Ayóó'ábóodziilii t'áá íiyisí shináháshch'íi'go áshiilaa. 
18:27:003:0	T'ah kwe'é hinishnáagoáádóó Diyin God biyol bee t'ahdii nídísdzihgo kóshiilaa; 
18:27:004:0	éigi át'éego doo yá'áshǫ́ǫ́góó doo hadeesdzih da,doodaii' na'adlo' doo ła' bee hadeesdzih da. 
18:27:005:0	Dooda yéi, t'áá ákogi át'éego shaa yádaałti' ts'ídá doo nihidóshne' át'ée da;dasétsą́ bijį́įjį' doo shina'adlo'góó hinishnánígíí ts'ídá doo nahjį' nidósh'ááł át'ée da. 
18:27:006:0	T'áá ákogi ánísht'éhígíí t'áá shizááká yíníshtą'; doo bidideeshchił da;hinínaadę́ę́' áát'įįdígíí biniinaa shijéí doo nitseedáágóó áshósin. 
18:27:007:0	Shi'ana'í jílíinii háni'dii doo yá'áshóonii jileeh,áádóó atíshijiléehii háni'dii doo t'áá ákogi át'éii jileeh. 
18:27:008:0	Diné doo Diyin God k'ehgo ájít'éii t'áadoo le'é há bilááh silį́į' nidi,Diyin God éí hwii' sizíinii nahjį' kóyiilaagoshą' ha'át'íísh bee hoł chohoo'į́į doo? 
18:27:009:0	Hach'į' hodiiznáa'gosozdilzingoósh Diyin God t'áá hodidoots'į́į́ł? 
18:27:010:0	Da' t'áásh hó Aláahgo Ayóó'ábóodziilii baa hoł hózhǫ́ǫ doo?T'áásh áłahjį' Diyin God bich'į' sozdilzin doo? 
18:27:011:0	Diyin God bibee adziilii bee nanihidínéeshtįįł;Aláahgo Ayóó'ábóodziilii binahat'a' doo nihits'ąą nanish'in da doo. 
18:27:012:0	Jó, t'áá ánółtso t' áá nihí danóoł'į́į́';ákoshą' ha'át'íí biniyé nihí t'áadoo biniyéhígóó yee' hadah hisoohdzíí'? 
18:27:013:0	Diyin God éí diné doo yá'áshóonii kót'éii yeididoo'ááł,áádóó diné ade adahodzósinii yik'ee ti'dahwiidoonihii Aláahgo Ayóó'ábóodziilii díí yee atíhodoolííł. 
18:27:014:0	Bada'áłchíní k'ee'ąą dínéest'ą́ągo diltłish bee nidadootsił yiniyé ádaat'į́áádóó bada'áłchíní náás ahoolchííłgóó ch'iyáán doo yee hwiih daole' át'ée da doo. 
18:27:015:0	Nidahasdzíi'ii daninéego naałniih t'áá bił łeeh dabidii'níił doo,áádóó hwe'asdzą́ą́ danilíinii bąąh ádzísdįįdii éí doo t'áá k'ad haa dáácha da doo. 
18:27:016:0	Azhą́ łeezh yáájiitsih nahalingo béésh łigaii ałk'i yáájiitsih nidi,áádóó ha'éé' dooleełii hashtł'ish dits'idí ahanjiitłeeh nahalingo ahanijiijáah nidi, 
18:27:017:0	ahanijiijááh shį́į́ dooleeł nidi, diné t'áá ákogi ádaat'éii dabi'ée' doo,áádóó diné t'áadoo bee bik'ídahót'ahíii béésh łigaii ałtaa deidoonih. 
18:27:018:0	Hakin nijí'aahígíí ch'osh ałchozhii bighanígi át'é,índa ha'asídí chaha'oh áyiilaaígi át'é. 
18:27:019:0	Ajit'íinii jintéehgo hanaalye'é doo bénáhoodzį́į́' át'ée da doo;ch'éédzídzi'go hayódí yę́ę ádin. 
18:27:020:0	Tó ak'i ch'ídzíłhałígi át'éego t'óó báhádzidgo hoł yéé' áhooł'įįh;tł'ée'go níyoltsoh hoł yóó'iighááh. 
18:27:021:0	Ha'a'aahdę́ę́' diyołgo hoł nídiiyołgo doo hwééhoozįįh da;nijighá yę́ędóó hoł yóó'iiyoł. 
18:27:022:0	Doo haa jooba'góó ts'ídá t'áá bizááká hach'į' níyol łeh;níyol bitsxe'ii bits'áhodeeshłeeł, ch'ééh jinízin. 
18:27:023:0	Ts'íigo lą́ą, dahałníigo hach'į' ahídaakad doo,áádóó hoł nídiiyolgo yóó'ahóda'az'įįd doo.
