18:9:001:1	Job éí Diyin God yich'į' t'ą́ą́' háádoodzih doo yíneel'ą́ą da
18:9:001:0	Áádóó Job ánáádoo'niidgo ání, 
18:9:002:0	Ákódaat'éhígíí t'áá aaníinii át'éego shił bééhózin,nidi diné dadootsaałiishą' haash yit'éego Diyin God yich'į' t'áá ákogi át'ée doo?  
18:9:003:0	Áádóó diné ła' Diyin God bił ałgha'disht'áah doo jinízingot'ááłáhídi míildi bízneeztą́ą' nidi,t'ááłáhídi bich'į' t'ą́ą́' háázhdoodzihígíí doo bízhneel'ą́ą da. 
18:9:004:0	Diyin God t'áá íiyisí bijéí hóyą́ áádóó ayóó ábóodziil;háíyee' bich'į' áhozdizneestł'isgo bee náás adizhyeesdéél? 
18:9:005:0	Diyin God éí dził nahjį' kóyiił'įįhgo doo hoł béédahózin da;báháchįįhgo dził nídeidiyeenił. 
18:9:006:0	Éíyee' ni' náyiigha'go nahjį' kódeile',áádóó bíyah danii'áii daditsxiz łeh. 
18:9:007:0	Jį́honaa'éí yich'į' haadzihgo doo ha'a'aah daáádóó sǫ' yich'ą́ą́h niná'áłbał. 
18:9:008:0	T'áá bí t' éiyá yót'ááh hiníláii adahaas'áago áyiilaaáádóó tónteel yilk'oołígíí yikáá' tádíghááh. 
18:9:009:0	Diyin God éí Náhookǫs áádóó sǫ' dah naazhjaa'ígíí Oráíyan wolyéiiáádóó Dilyéhé índa shádi'ááhjígo sǫ' eel'áhígíí áyiilaa. 
18:9:010:0	Ayóó ádaat'éii doo bik'izhdootą́ą́' ádaat'éiit'áá aaníí t'óó bida'ayóii doo jóołta' ánéelą́ą́' ádaat'éii yaa naaghá. 
18:9:011:0	Shoo, shíighahgóó ch'ínádááh, nidi doo yiistséeh daáádóó t'áá náás yigáałgo doo baa ákoniisįįh da. 
18:9:012:0	Jó, t'áá nídideeshłééł nízin shį́į́ náyiilááh. Háísh bidínóołtł'ah?Háísh ábididooniił, Ha'át'íí lá baa naniná? 
18:9:013:0	Diyin God báhóóchįįdgo doo t'ą́ą́' hónéidoodlíił da;diné ádaa dahoji'niihgo áká anídajijahii Diyin God bidááhdóó yaa ádajít'é. 
18:9:014:0	Bił ałgha'disht'áah doo biniyé saad ałkéé' nidasínilgo nidi dooládó' bi'oh nidinishdle' da.Hait'éegoshą' Diyin God bich'į' t'ą́ą́' háádeesdzih? 
18:9:015:0	Azhą́ t'áá ákogi ánísht'ée nidi, t'áadoo bee bich'į' nát'ą́ą́' hanáosdziihí da,áádóó sheinít'íinii bich'į' ádaa ná'iideeshkąął. 
18:9:016:0	Bich'į' ádííniidgo áádóó shich'į' haadzíi'go,ákondi shíists'ą́ą́' nít'é'ígíí doo wooshdlą́ą da doo. 
18:9:017:0	Háálá níyoltsoh atíháł'į́ nahalingo nashé'éłjizh,áádóó t'áadoo biniinaanígóó t'óó ahayóígóó atíshoolííł. 
18:9:018:0	Nídísdzihígíí nidi shich'į' yaa nichį'got'áá íiyisí shił niiłch'iihgo áshósin. 
18:9:019:0	Dziil beinísht'į́įgo, shoo, bíjígo ayóó ábóodziil.Doo haada yit'éii beinísht'į́įgo háíyee' ákohgo baa nídíít'įįł? shididooniił. 
18:9:020:0	Azhą́ t'áadoo bee ádąąh dahosist'ání da nidi, ádíshnínígíí t'áá shí shik'éidoot'ih;azhá t'áadoo bee shik'íhót'ahí da nidi, doo ákwii ánísht'éhígíí bee shééhodoozįįł. 
18:9:021:0	T'áadoo bee shik'íhót'ahí da; doo ádił nitsínískees da doo,áko ádił niná'ásht'įįh. 
18:9:022:0	T'áá ałtso aheełt'é; éí bąą ádíshní,T'áadoo bee bik'íhót'ahíii índa doo yá'ádaashóonii t'áá áłah atííł'į́. 
18:9:023:0	T'áadoo hooyání diné bich'į' hodii'nááh yiniinaa daaztsą́ągodiné t'áadoo át'éhígóó naagháhígíí atíbi'diilyaii yá nahałt'i'. 
18:9:024:0	Nahasdzáán éí diné doo yá'ádaashóonii baa deet'ą́;nihokáá'góó ándahwii'aahii dabinii' yik'íná'áłtih,áko bí doo át'į́į́góoshą' háí ákót'į́? 
18:9:025:0	K'ad shíyoołkáłígíí éí naal'a'í tsį́įłgo yilwołígíí bilááh át'éego t'ahaa'go shíyoołkááł;yá'át'éehii t'áadoo dayiiłtséhí bił yóó'ahwiighááh. 
18:9:026:0	Tsinaa'eeł tsxį́įłgo ahi'eełígíí nahalingoáádóó atsá éí yidoolghałii tsį́įłgo yił hidideełígíí nahalingot'ahaa'go shíyoołkááł. 
18:9:027:0	Baa saad shiiłhéhígíí t'óó beidiyeeshnahgoyínííł nishłį́ neeshninígíí nahjį' kódeeshłíiłgo,Shił hózhǫ́ǫ dooleeł, dííniidgo, 
18:9:028:0	bik'ee ti'hooshníhígíí t'áá át'é béésísdzííd.T'áadoo íínít'įįdí da, doo shididííniiłígíí shił bééhózin. 
18:9:029:0	T'áá íídą́ą́' shaa náhást'įįdgoha'át'íísh biniyé t'áadoo biniyéhígóó naasdzil? 
18:9:030:0	Yas too' bee tá'ádísgizáádóó táláwosh bitsxe'ii bee shíla' chin ts'ídá ałtso bąąh néíł'éelgo; 
18:9:031:0	azhą́ ákósdzaa nidi, tó yígeed biih shidiyííłhą́ą́ł,áádóó shi'éé' nidi shaa'ih danízin doo. 
18:9:032:0	Shí diné nishłínígi át'éego bí doo diné nilį́į da,áko aa dahwiinít'į́įgi ahidiit'áazhgo saad bich'į' nát'ą́ą́' ninádeesh'áłígíí doo sih da. 
18:9:033:0	Nihita' yidoozįįłgo kojí yá'át'ééh nihididooniiłgonihá niididoo'áałii nihee ádin. 
18:9:034:0	Háni' bitsihał shits'éitįįh,índa t'óó bee báhádzidígíí shiyahodółhéés lágo, 
18:9:035:0	áko índa doo bik'ee shił yéé'góó yáshti' doo,nidi shiyi'di doo ákóhoot'ée da.
