18:5:001:0	Ná'iinikąąh, ła'da daats'í nich'į' hadoodzih;háí diyingo naal'a'íshą' bich'į' sodidíílzįįł? 
18:5:002:0	Jó, diné doo áhályáanii hashké nídzinii bizéé' yit'įįhínda diné doo ak'idiitįįhii oołch'į́įdgo biiłhééh. 
18:5:003:0	Ch'il łeeh níísánígi át'éego diné doo hóyáanii náás ayoo łdiłgo yiiłtsą́,nidi t'áadoo hooyání kééhat'ínígi hóyée'jį' bá haasdzíí'. 
18:5:004:0	Biye'ké éí hasih haz'ą́ bits'ą́ądi doo deeghánídi dahólǫ́ǫgodáń'dítį́įhgi bich'į' nidahwii'ná, áádóó t'áadoo yisdábóníłí da. 
18:5:005:0	Azneest'áanii diné dichin danilíinii hats'ą́ą́' deiyą́;azhą́ ch'il deeníní bitahdi náneest'ą́ą nidi, áádę́ę́' háádayii'níiłgo deiyą́índa hanaalye'é aghada'ii'níiłii yaa nahodeeskai. 
18:5:006:0	Ade áhoot'é doo łeeshtahdóó haleeh da,índa ach'į' nahwii'ná doo łeeyi'dę́ę́' haniséeh da; 
18:5:007:0	tsííd yááhiiltaałígi át'éego ach'į' nahwii'ná biniyé diné bi'dichííh. 
18:5:008:0	Diyin God hásht'į́į dooáádóó biniyé ásht'íinii Diyin God baa dideesh'ááł nisin; 
18:5:009:0	ayóó ádaat'éii áádóó doo bééjólkaah ádaat'éiiínda t'óó bik'ee ił adahayóii doo jóołta' ánéelą́ą́'góó áyoolííł; 
18:5:010:0	níłtsą́ nahasdzáán yaa néidi'ááh,índa kédaayahgóó tó yaa néidi'ááh, 
18:5:011:0	áko a'ohgo ádaat'éii chánah ádeile',áádóó atinídadindleehii wódahgo sih haz'ą́ąjį' ahikáahgo ádaalne'. 
18:5:012:0	Diné binda'adlo'go indahagizii yąąh nahwiiłkaad,áko yindaalnishii doo bee bada'ídeeł da. 
18:5:013:0	Dahojíyáanii honda'adlo'ii yee nihwiiłnééh áádóó hondahagizii t'áadoo hodina'í baa tsístł'ah jiikááh. 
18:5:014:0	T'áá jį́įgo chahałheeł bił ałk'ą́ą́h jiikááh,ałné'é'áahgo éí tł'ée'go ájít'į́ nahalingo nidajildeeh. 
18:5:015:0	Diltłish deeníinii nahalingo bizaad dabizǫ́ǫziiínda atída'ał'íinii bits'ą́ąjį' badahojoobá'íii yisdáyiinííł. 
18:5:016:0	Áko diné badahojoobá'íii bił chodahoo'į́,áádóó doo t'áá ákwii át'éii t'áá éí bizéé' dáda'deeskaal. 
18:5:017:0	Jó, Diyin God éí diné hasht'enináyiidlósígíí bił hózhǫ́;éí bąą Aláahgo Ayóó'ábóodziilii ná'níłtsxisgo doo ji'į́į da,  
18:5:018:0	háálá hada'diłniih nidi ákǫ́ǫ́ yąąh áda'ale',tí'diił'įįh nidi bíla' ná'áłdziih. 
18:5:019:0	Hastą́ągo bee ach'į' nahwii'ná bits'ą́ąjį' t'áá aaníí yisdánídoołtééł,tsosts'idi aleeh góne'ígíí ałdó' doo naa nídóot'įįł da. 
18:5:020:0	Dahodííchįįdgo aniné yits'ąą naa áhályą́ą doo;anaa' hazlį́į'go diltłish bibee adziilii yits'ąą naa áhályą́ą doo. 
18:5:021:0	Atsoo' bee atsxis nahalingo doo yá'át'ééhgóó yáti' bits'ąą nandi'nil'in dooínda atída'oolíiłii doo bik'ee niyanahalyiz da doo. 
18:5:022:0	Ayóó át'éego atí'oolníiłgo índa dahodííchįįdgo t'óó beídloh doo,áádóó nihokáá'góó naaldlooshii báádahadzidii doo bééníldzid da doo. 
18:5:023:0	Dá'ák'ehgóó tséhígíí doo nide át'ée da doo;nihokáá'góó naaldlooshii da'ałchinii doo naa nídaat'į́į da doo. 
18:5:024:0	Níbaal bii' nighanígíí bee hasht'ehodít'éii át'éego nił bééhodoozįįłáádóó kééhót'ínígi t'áadoo yeinít'ínígóó náníníl'įįh doo. 
18:5:025:0	Áádóó ałdó' díí nił bééhózin doo: na'áłchíní da'ahílchíihii t'óó ahayóí dooínda ch'il hááhinoot'į́łígi át'éego na'áłchíní yíl'áa doo. 
18:5:026:0	Tł'oh naadą́ą́' ts'ídá ałtso neest'ánígi át'éegosą́ bibadidíínáałgo yóó'ándi'doolnííł. 
18:5:027:0	Shoo, díí nidasiilkáá', Job nílíinii, áko t'áá aaníí át'é;ná yá'át'éeh doo biniyé yísíníłts'ą́ą'go nił bééhodoozįįł.
