57:1:001:1	K'é ha'níinii
57:1:001:0	Paul , Christ Jesus baa hashne'go biniinaa awáalyaaí nishłíinii , áádóó Timothy nihik'is nilíinii , Failííman ayóó'ííníi'níigo bił nideiilnishígíí ,
57:1:002:0	áádóó Áfiya nihilah [ ayóó'ádeíníi'nínígíí] , áádóó Arkípas bił siláo daniidlínígíí áádóó nighangi da'oodlání áłah nádleehígíí bich'į' naaltsoos íilnééh :
57:1:002:1	Failííman be'ayóó'ó'ó'ni' índa bi'oodlą'
57:1:003:0	Diyin God nihiTaa' áádóó Bóhólníihii Jesus Christ bibee ajooba' áádóó bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi le' .
57:1:004:0	T'áá áłahjį' shisodizin bee nénáshniihgo shiDiyin God bich'į' ahééh nisin .
57:1:005:0	Háálá Bóhólníihii Jesus índa Diyin God bidiyį́į́' danilíinii t'áá ałtso ayóó'ííní'níigo áádóó baa dzíínílíigo naa hodiists'a' .
57:1:006:0	Áko Christ bits'ą́ą́dóó yá'ádaat'éehii t'áá yíní át'éegi bee ak'i'diitįįh binahjį' ne'oodlą' idééłníi doo biniyé sodiszin .
57:1:003:1	Paul éí Onésimas yá ná'ookąąh
57:1:007:0	Shik'is nílíinii , ayóó'í'ííní'nínígíí t'áá íiyisí baa nihił hóózhǫǫd , áádóó bee ha'iisisni' , háálá Diyin God bidiyį́į́' ninahjį' bijéí bik'éédahóótaad .
57:1:008:0	Ákót'é bąą Christ biniit'aa t'áá íiyisí doo sisti'góó kódíínííł nidideeshniił daats'í ,
57:1:009:0	nidi shí Paul , hastóí nishłį́įgo áádóó k'ad Jesus Christ baa hashne'go biniinaa awáalyaaí nishłį́įgo ayóó'ánósh'níigo nánooshkąąhjígo shił yá'át'ééh .
57:1:010:0	Onésimas , Christ bee shiye' nilíinii , bá nánooshkąąh , éí awáalyaadi sédáago oodlání k'ehgo bizhé'é sélį́į́' .
57:1:011:0	Éí t'ah nahą́ądę́ę́' doo ná choo'į́į da nít'éé' , nidi k'ad éí ná choo'į́ , shí ałdó' shá choo'į́ .
57:1:012:0	Nidi k'ad nich'į' nihééhoníł'a' , t'áá shí shiye' nídíł'a' nahalingo akǫ́ǫ́ náhodíł'a' .
57:1:013:0	Hane' yá'át'éehii baa hashne'go biniinaa awáalyaaí nishłį́įgo shá nanil'a' yę́ęgi shá naal'a' doo nisin nít'éé' .
57:1:014:0	Nidi íinínízinii t'áá bídin doo ha'át'íhída baa niséyáa da , áko doo t'áá k'ad bíninishchéehgo shaa jiidííbaał da , nidi t'áá ni íinínízinii bik'ehgo ádii'nííł .
57:1:015:0	Hool'áágóó shónáhwiidííłt'eeł daats'í biniyé haa danízahjį' nits'áho'deelt'e' sha'shin ,
57:1:016:0	áádóó índa doo naalte' jílį́į́góó , nidi naalte' jílį́į́ nít'ée'ii biláahdi át'éego nik'is ayóó'ííní'níinii jílį́į dooleeł ! Shí shich'į'go t'áá íiyisí ákót'éego haa nitséskees , nidi nijígo t'éiyá t'ah aláhídi át'éego t'áá diné jílį́įgo áádóó Bóhólníihii bee hoł háíní'áázh jílį́įgo haa nitsíníkees dooleeł !
57:1:017:0	Áko shik'is jílį́ shííní'níigo , t'áá náshididííłtéłígi át'éego nááhodidííłtééł .
57:1:018:0	Nich'į' doo ákǫ́ǫ́ ádzaa ládą́ą́' , éí doodaléi' bąąh háínítsi ládą́ą́' éí shígo shik'ijį' naaltsoos bik'i díízoh .
57:1:019:0	Shí Paul díí shíla' bee ak'e'ashchí : T'áá shí niná'deeshdlééł . Azhą́ hinínáago bee naa háíł'áhígíi nidi , éí doo béinidiyeeshnih da .
57:1:020:0	Haa'íshą' shik'is , Bóhólníihii binahjį' baa hózhónígi át'éego áshidíílííł . Bóhólníihii bee shik'ééhodííłtah .
57:1:021:0	Ak'eh honíł'ínígíí bee naa jóshłíigo , ándishnínígíi nidi biláahgo ádííníiłgo shił bééhózingo nich'į' ak'e'ashchí .
57:1:004:1	K'é ha'níigo bee naaltsoos niilt'i'ii
57:1:022:0	Áádóó sédáa dooleełgi ałdó' t'áá áłdįįłt'éego shá ádíílííł ; shá sodadołzingo t'ah nít'ée'da lá t'áá ánółtso nihaa nánísdzáa łeh nisingo bíká shił chohoo'į́ .
57:1:023:0	Épafras , Christ Jesus baa hwiilne'go biniinaa bił awáalyaa sékéhígíí k'é niłní ,
57:1:024:0	Mark áádóó Aristárkas áádóó Díímas índa Luke , shił nidaalnishígíí , ałdó' k'é daniłní .
57:1:025:0	NihiBóhólníihii Jesus Christ bibee ajooba' nihii' naazíinii yił hólǫ́ǫ le' . T'áá ákót'ée doo .
